date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-27 08:42:55,Alison4Congress,,1,1,2,"The people of CA-15 are unsatisfied with Swalwell’s performance. Elect Alison Hayden to serve the people! #alison4congress",,,#alison4congress,1232949220300058624,https://twitter.com/Alison4Congress/status/1232949220300058624
2020-02-22 13:19:14,Alison4Congress,,1,1,3,"The deadline to register to vote online in California has already passed, but if you did not register, not to worry, there are still other ways to cast your ballot! All you have to do is register at your local county elections office, voting center, or polling place! #VoteRed",,,#VoteRed,1231206818271023104,https://twitter.com/Alison4Congress/status/1231206818271023104
2020-02-21 20:53:09,Alison4Congress,,0,0,0,"@mercnews Send your reporter to hear from Candidate CA15 Who is moving to return the power to #WeThePeople - Local control of Education, Planning, Cut taxes, Fees, Regulations, Parents rights @POTUS @Alison4Congress",,@mercnews @POTUS @Alison4Congress,#WeThePeople,1230958659636621312,https://twitter.com/Alison4Congress/status/1230958659636621312
2020-02-19 16:03:16,Alison4Congress,the1murdock,2,16,13,"Their students take up slots in our finest schools bc they are 100% Gov't funded, while Americans can't afford the tuition or graduate with $100K in loans! Something wrong about this! @POTUS",,@POTUS,,1230160932304642048,https://twitter.com/Alison4Congress/status/1230160932304642048
2020-02-19 15:50:24,Alison4Congress,lindyli,3,4,3,"Why didn't Bernie Sanders stay there? His life's -only- work is as a politician, has been to change the #USA into a Communist country. There are no lines to get into Russia-but masses to get here. WAKE UP idealists! We have our issues but the miseries there are horrific @POTUS",,@POTUS,#USA,1230157695073673216,https://twitter.com/Alison4Congress/status/1230157695073673216
2020-02-19 15:35:34,Alison4Congress,LABeachGal1,1,0,1,"Democratic Socialist making a point? standing for America?",,,,1230153961627250690,https://twitter.com/Alison4Congress/status/1230153961627250690
2020-02-08 13:46:16,Alison4Congress,MZHemingway,0,4,3,"#DNCRigging is behind this. The Democratic party is hijacked. California will fare no better. VOTE YOUR VALUES. #Constitution #AmericansFirst Hayden for Congress in CA-15 against Eric Swalwell http://AlisonCongress2020.com Https://secure.winred.com/AlisonHayden/donate",,,#DNCRigging #Constitution #AmericansFirst,1226140190562910208,https://twitter.com/Alison4Congress/status/1226140190562910208
2020-02-04 12:31:03,Alison4Congress,talktwofabian,0,8,9,"Alameda County and CA-15 deserves a Representative in Congress who has their interests front and center , I am that candidate! Vote Alison Hayden for Congress CA-15 Https://secure.winred.com/AlisonHayden/donate",,,,1224671708507803648,https://twitter.com/Alison4Congress/status/1224671708507803648
2020-01-26 20:25:39,Alison4Congress,Alison4Congress,0,1,0,"@Elled26 @rtandon3 @TuckerCarlson @marklevinshow Let's UNITE and turn CA around! Our Representatives are about the wrong things, on our dime Let's finish the wall, secure the safety, well-being of families and communities, work where you live, lower healthcare costs @POTUS",,@Elled26 @rtandon3 @TuckerCarlson @marklevinshow @POTUS,,1221529656232312837,https://twitter.com/Alison4Congress/status/1221529656232312837
2020-01-26 04:17:19,Alison4Congress,FactZeroFiction,1,10,8,"Sounds ominous. @RepSwalwell has the inside scoop so let's watch and see. I look forward to bringing the cares of CD15 constituents to the House: jobs/training, lower taxes&amp;regs, local control, parent rights, schools, research/support for mental illness, addictions, M.E/CFS+++",,@RepSwalwell,,1221285965005672448,https://twitter.com/Alison4Congress/status/1221285965005672448
2020-01-24 07:04:13,Alison4Congress,,2,9,7,"A boisterous group of mostly unhappy constituents came out to Swalwell's town hall. They called him out on his lies & how he didn't answer questions asked. We are ready for a change, ~a Representative responsive to our concerns-not personal ambition Vote CA-15 Alison4Congress",,,,1220603194587279360,https://twitter.com/Alison4Congress/status/1220603194587279360
2020-01-04 17:40:05,Alison4Congress,,1,5,3,"It is urgent that parents understand what CA is doing to our children! As parents we need to fight BACK to save our children’s minds from those that do NOT have their best interests at heart!",,,,1213515457539399680,https://twitter.com/Alison4Congress/status/1213515457539399680
2020-01-03 20:47:14,Alison4Congress,DLoesch,0,1,1,"Good move in all the heat!",,,,1213200166477393920,https://twitter.com/Alison4Congress/status/1213200166477393920
2020-01-03 20:32:10,Alison4Congress,,0,2,0,"Impressions of our Representative from American Greatness,",,,,1213196376357490688,https://twitter.com/Alison4Congress/status/1213196376357490688
2020-01-03 18:45:45,Alison4Congress,Alison4Congress,0,5,3,"RT for ACTION",,,,1213169592123527168,https://twitter.com/Alison4Congress/status/1213169592123527168
2020-01-03 18:41:44,Alison4Congress,,0,4,1,"URGENT CALL to ACTION-Call your Senator regarding parents' right to know CA sex ed curriculum https://www.youtube.com/watch?v=8QK8cM_MnbkSupport",,,,1213168583758344192,https://twitter.com/Alison4Congress/status/1213168583758344192
2020-01-03 18:07:34,Alison4Congress,,0,2,2,"CALL TO ACTION! Support parent rights to know what is taught to your children! https://www.youtube.com/watch?v=8QK8cM_Mnbk",,,,1213159985749712897,https://twitter.com/Alison4Congress/status/1213159985749712897
