date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-02 18:29:59,AnnMRavel,eqca,0,3,6,"And I am proud to be endorsed by @eqca - champions for the right values: equality, justice and fairness.",,@eqca,,1234546510341103621,https://twitter.com/AnnMRavel/status/1234546510341103621
2020-03-01 19:58:44,AnnMRavel,davelevinthal,0,1,4,"Quite a scandal in the making!@davelevinthal",,,,1234206458268413952,https://twitter.com/AnnMRavel/status/1234206458268413952
2020-02-28 05:49:35,AnnMRavel,Lenny_Mendonca,1,1,2,"That was not a hard decision. The First Amendment by it’s clear terms “Congress shall make no law....” refers to government action only @Lenny_Mendonca",,@Lenny_Mendonca,,1233267985365684224,https://twitter.com/AnnMRavel/status/1233267985365684224
2020-02-28 03:17:39,AnnMRavel,LevinsonJessica,0,0,10,"I’m honored @LevinsonJessica",,@LevinsonJessica,,1233229752023994368,https://twitter.com/AnnMRavel/status/1233229752023994368
2020-02-27 20:53:16,AnnMRavel,,0,2,2,"9th Circuit: Employers Can't Rely on Prior Pay to Justify Gender Disparities | National Law Journal. Finally, this specious justification for discrimination may now end.",,,,1233133019122110465,https://twitter.com/AnnMRavel/status/1233133019122110465
2020-02-27 20:04:21,AnnMRavel,BenAllenCA,0,1,5,"Thank you@BenAllenCA",,,,1233120706172346368,https://twitter.com/AnnMRavel/status/1233120706172346368
2020-02-24 17:19:35,AnnMRavel,RobertMaguire_,0,5,9,"@RobertMaguire - this is the terrible reality of campaigns at every level of government. I knew this as commissioner of the #FEC and #FPPC, but it has become more starkly true for me while running as a grass roots candidate for CA State Senate.",,@robertmaguire,#FEC #FPPC,1231992078663475200,https://twitter.com/AnnMRavel/status/1231992078663475200
2020-02-22 16:53:22,AnnMRavel,lunaticopresid1,0,0,0,"Please add me!",,,,1231260705912786946,https://twitter.com/AnnMRavel/status/1231260705912786946
2020-02-21 15:30:21,AnnMRavel,AlexPadilla4CA,0,0,7,"If you want our government to be truly for the people - vote! Register all the way through Election Day in California .",,,,1230877426923606023,https://twitter.com/AnnMRavel/status/1230877426923606023
2020-02-20 17:27:07,AnnMRavel,tribelaw,0,0,3,"When I was a Deputy Assistant AG at DOJ, @tribelaw, Infound inspiration in the quotations in the building. A memorable one: “Justice Alone Sustains Society Founded on the Principles of Right Expressed in the Natural Laws Administered by Public Officers.”",,@tribelaw,,1230544424972611584,https://twitter.com/AnnMRavel/status/1230544424972611584
2020-02-16 15:33:00,AnnMRavel,CHawksRun,3,1,10,"Yes, the person who knowingly authorized those payments, Trump, has criminally violated campaign finance laws. There is not a need for any other theory.",,,,1229066152271208448,https://twitter.com/AnnMRavel/status/1229066152271208448
2020-02-16 13:13:58,AnnMRavel,protctdemocracy,6,29,64,"As a former Deputy Assistant Attorney General in the Obama DOJ, I am proud to join over 1000 of my fellow alumni in standing for the rule of law.",,,,1229031164293214209,https://twitter.com/AnnMRavel/status/1229031164293214209
2020-02-15 19:43:28,AnnMRavel,,0,1,5,"Our endorsements for California's March 3 early primary election- and a very good one in my race. Thank you ⁦@mercnews⁩",,@mercnews,,1228766798822047744,https://twitter.com/AnnMRavel/status/1228766798822047744
2020-02-15 17:09:56,AnnMRavel,,0,0,5,"Only the best of the evil world leaders support our president.",,,,1228728160843227136,https://twitter.com/AnnMRavel/status/1228728160843227136
2020-02-15 05:13:35,AnnMRavel,FundHer,0,2,5,"Thank you @FundHer for supporting strong women who will make a difference for the people of this state.",,@FundHer,,1228547885639204870,https://twitter.com/AnnMRavel/status/1228547885639204870
2020-02-14 16:23:31,AnnMRavel,Robin_DoranCA,0,0,2,"So happy to be here to participate and to learn more about the trends in our valley.",,,,1228354090884685825,https://twitter.com/AnnMRavel/status/1228354090884685825
2020-02-14 16:21:39,AnnMRavel,scottbudman,0,1,3,"This is related to all the serious and so far unaddressed problems in Silucon Valley: lack of affordable housing, homelessness and transportation gridlock.",,,,1228353621814734848,https://twitter.com/AnnMRavel/status/1228353621814734848
2020-02-12 22:51:38,AnnMRavel,GuyMarzorati,0,0,0,"@GuyMarzorati . It is these outsized influences on our elected officials that make people feel that they actually have no voice in the policy that affects their lives. And they have good reason to believe it.",,@GuyMarzorati,,1227726987365535745,https://twitter.com/AnnMRavel/status/1227726987365535745
2020-02-11 18:52:56,AnnMRavel,,0,5,8,"I have taken on powerful interests my entire career, even @PGE4Me, and won. At a time when the utility put profits over people, it plans to raise rates once again. I'm running for #SD15 to make a difference &amp; fight anyone taking advantage of us. Join me: http://www.RavelforCA.com",,@PGE4Me,#SD15,1227304527612829699,https://twitter.com/AnnMRavel/status/1227304527612829699
2020-02-10 17:15:24,AnnMRavel,,0,0,0,"",,,,1226917595795750920,https://twitter.com/AnnMRavel/status/1226917595795750920
2020-02-10 04:46:53,AnnMRavel,seyyedreza,0,1,0,"Lovely.",,,,1226729224255365122,https://twitter.com/AnnMRavel/status/1226729224255365122
2020-02-07 06:13:28,AnnMRavel,cari_templeton,1,0,2,"Thanks so much for the recommendation, @cari_templeton.",,@cari_templeton,,1225663849614860289,https://twitter.com/AnnMRavel/status/1225663849614860289
2020-02-04 15:21:11,AnnMRavel,,2,10,15,"Grateful to have the ENDORSEMENT from @mercnews bc of my history fighting for #SD15 and taking on special interests! I fought big tobacco other threats to our health and workers' rights. Character matters and that's why I will fight for you in #CALeg",,@mercnews,#SD15 #CALeg,1224714523879378944,https://twitter.com/AnnMRavel/status/1224714523879378944
2020-02-03 22:09:22,AnnMRavel,,0,9,4,"Trump allies use Twitter to sow confusion about voting on the eve of the Iowa caucuses - The Washington Post",,,,1224454861090983938,https://twitter.com/AnnMRavel/status/1224454861090983938
2020-02-03 14:03:11,AnnMRavel,,0,3,3,"An oasis of bipartisanship: Republicans and Democrats distrust social media sites for political and election news",,,,1224332508298276864,https://twitter.com/AnnMRavel/status/1224332508298276864
2020-02-01 04:55:16,AnnMRavel,,0,4,6,"Zach Galifianakis and Ann Ravel Discuss Dark Money's Influence on Politics https://newamerica.org/ca/news/zach-galifianakis-and-ann-ravel-discuss-dark-moneys-influence-politics/ via @newamerica This is worth revisiting.",,@NewAmerica,,1223469845431193600,https://twitter.com/AnnMRavel/status/1223469845431193600
2020-01-30 18:48:05,AnnMRavel,tribelaw,0,5,2,"Imagine if every public official said that because their work is vital to the public they can violate the law with impunity. Who would condone that?",,,,1222954655090495489,https://twitter.com/AnnMRavel/status/1222954655090495489
2020-01-30 04:16:47,AnnMRavel,DarkMoneyFilm,0,2,4,"Local journalism is essential to keeping local officials accountable to the people.",,,,1222735382317371392,https://twitter.com/AnnMRavel/status/1222735382317371392
2020-01-27 21:33:53,AnnMRavel,,0,7,13,"I'm running for #California State Senate to continue my track record of fighting for the people. Please watch, RT and join our campaign: http://www.ravelforca.com @CapitolAlert @politicoca @mercnews",,@CapitolAlert @politicoca @mercnews,#California,1221909212998950913,https://twitter.com/AnnMRavel/status/1221909212998950913
2020-01-27 04:28:19,AnnMRavel,,0,3,5,"CA State Senate: Ann Ravel faces opponent kept afloat by big oil #SD15",,,#SD15,1221651122273669120,https://twitter.com/AnnMRavel/status/1221651122273669120
2020-01-25 14:56:25,AnnMRavel,,0,0,5,"Our democracy depends on news literacy",,,,1221084411690532864,https://twitter.com/AnnMRavel/status/1221084411690532864
2020-01-21 01:56:01,AnnMRavel,tribelaw,0,0,0,"And doesn’t take the lawyer’s obligation of professional responsibility seriously@tribelaw",,,,1219438469874737154,https://twitter.com/AnnMRavel/status/1219438469874737154
2020-01-17 06:23:24,AnnMRavel,ProChoiceCA,2,9,25,"Truly honored to be endorsed by NARAL@ProChoiceCA - and to continue our fight for reproductive freedom in the CA State Senate with other candidates for State office.",,,,1218056204410224640,https://twitter.com/AnnMRavel/status/1218056204410224640
2020-01-15 21:51:54,AnnMRavel,shayforsanjose,0,1,6,"My fabulous staff and volunteers are spreading the word about the importance of civic engagement.",,,,1217565095477182464,https://twitter.com/AnnMRavel/status/1217565095477182464
2020-01-14 14:38:16,AnnMRavel,,0,1,1,"How Our Government Put Money and Oil Before the People of North Dakota",,,,1217093580331732992,https://twitter.com/AnnMRavel/status/1217093580331732992
