date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-26 20:50:03,Anthonyjphan,JRBinSV,0,0,0,"Thanks!",,,,1232769820594040832,https://twitter.com/Anthonyjphan/status/1232769820594040832
2020-02-26 18:41:28,Anthonyjphan,JRBinSV,1,0,0,"Hey what’s bunching? Not familiar with concept",,,,1232737460498485248,https://twitter.com/Anthonyjphan/status/1232737460498485248
2020-02-25 20:33:17,Anthonyjphan,VoteAlexLee2020,0,0,0,"Valid point",,,,1232403210653974528,https://twitter.com/Anthonyjphan/status/1232403210653974528
2020-02-25 06:16:49,Anthonyjphan,eastbaycitizen,0,0,0,"Often times IE will do that when high res photos of the candidates are not easily accessible",,,,1232187676469555200,https://twitter.com/Anthonyjphan/status/1232187676469555200
2020-02-24 12:56:50,Anthonyjphan,realAndrewHahn,0,0,0,"Welcome back",,,,1231925956949901312,https://twitter.com/Anthonyjphan/status/1231925956949901312
2020-02-23 20:56:53,Anthonyjphan,,0,1,0,"I’m encouraging City of Santa Clara voters to Vote No on Measure C. I care about this more than my own election. Measure C will alienate communities of color and deprive them of equal representation in government. It’s not radical to say Measure C is reminiscent of Jim Crow days.",,,,1231684378058584065,https://twitter.com/Anthonyjphan/status/1231684378058584065
2020-02-23 20:37:29,Anthonyjphan,SantaClaraCity,0,0,0,"This is what happens when you keep reorganizing city functions...an elected city clerk turning their office into a political operation? Who could’ve seen that one coming?",,,,1231679494164897792,https://twitter.com/Anthonyjphan/status/1231679494164897792
2020-02-15 06:48:45,Anthonyjphan,,0,0,1,"I’ll keep fighting to protect and expand access to critical health care services for women—that’s why I’ve received a 100% rating from @PPact for the third time in a row.",,@PPact,,1228571832883634176,https://twitter.com/Anthonyjphan/status/1228571832883634176
2020-02-15 00:21:00,Anthonyjphan,,0,0,0,"This Valentine’s Day, show your partner you’re serious about the future by voting, together.",,,,1228474254259212288,https://twitter.com/Anthonyjphan/status/1228474254259212288
2020-02-14 11:31:36,Anthonyjphan,Steven_B_Falk,0,0,0,"Tell em how it is",,,,1228280627100696576,https://twitter.com/Anthonyjphan/status/1228280627100696576
2020-02-14 01:31:31,Anthonyjphan,MatthewMahood,0,1,5,"That’s big news. Congrats to the @SVForum and @TheSVO team! @MatthewMahood @madisonnguyen @edtruong",,@SVForum @TheSVO @MatthewMahood @madisonnguyen @edtruong,,1228129609662615552,https://twitter.com/Anthonyjphan/status/1228129609662615552
2020-02-13 22:50:11,Anthonyjphan,adrianfine,0,0,1,"Same",,,,1228089008875376640,https://twitter.com/Anthonyjphan/status/1228089008875376640
2020-02-07 15:52:49,Anthonyjphan,,0,0,0,"If NIMBYism is today’s standard of progressivism, then I’d rather be called something else. No growth=no progress, literally.",,,,1225809649422569473,https://twitter.com/Anthonyjphan/status/1225809649422569473
2020-02-06 16:51:30,Anthonyjphan,,0,0,0,"We're all footnotes at best in the annals of history. #ThankYouMitt",,,#ThankYouMitt,1225462029198098432,https://twitter.com/Anthonyjphan/status/1225462029198098432
2020-02-05 16:08:58,Anthonyjphan,,0,0,2,"@SVLeadershipGrp’s outgoing CEO @CarlGuardino receiving the Key to the City of Milpitas. We thank you for making this region a better place.",,@SVLeadershipGrp @CarlGuardino,,1225088937313492993,https://twitter.com/Anthonyjphan/status/1225088937313492993
2020-02-05 16:02:28,Anthonyjphan,,0,0,4,"Last night, my colleagues and I honored outgoing @SVLeadershipGrp CEO @CarlGuardino with a Key to the City for his many contributions to Milpitas and the greater Bay Area region. Here’s a throwback to us working on transportation in 2016. Thanks for all you do!",,@SVLeadershipGrp @CarlGuardino,,1225087303967621120,https://twitter.com/Anthonyjphan/status/1225087303967621120
2020-02-02 07:45:04,Anthonyjphan,eastbaycitizen,0,0,1,"SoCal isn’t serious about housing..",,,,1223874964312317952,https://twitter.com/Anthonyjphan/status/1223874964312317952
