date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-02 23:00:07,Ash_Kalra,JimThompson18,0,0,2,"Great seeing you @JimThompson18 ",,@JimThompson18,,1234614492589219840,https://twitter.com/Ash_Kalra/status/1234614492589219840
2020-03-02 16:11:16,Ash_Kalra,BernieSanders,1,5,36,"Thank you @BernieSanders for standing with our public schools and our teachers!",,@BernieSanders,,1234511601526427648,https://twitter.com/Ash_Kalra/status/1234511601526427648
2020-03-02 16:07:42,Ash_Kalra,,0,5,19,"Not all heroes wear capes. #NotMeUs",,,#NotMeUs,1234510705228779520,https://twitter.com/Ash_Kalra/status/1234510705228779520
2020-03-02 05:38:30,Ash_Kalra,,0,0,1,"@lascafeteras came up from LA to get the massive crowd hyped up and full of joy before hearing from #tiobernie today in San Jose! #notmeus @berniesanders",,@lascafeteras @BernieSanders,#tiobernie #notmeus,1234352362149433344,https://twitter.com/Ash_Kalra/status/1234352362149433344
2020-03-02 01:46:55,Ash_Kalra,,15,139,1690,"Honored to meet Senator Mike Gravel at today’s San José @berniesanders rally! #NotMeUs @GravelInstitute",,@BernieSanders @GravelInstitute,#NotMeUs,1234294082274385922,https://twitter.com/Ash_Kalra/status/1234294082274385922
2020-03-02 01:09:53,Ash_Kalra,tran_scends,0,1,17,"We finished an amazing rally in San José. Sending the Senator down to y’all now! #NotMeUs",,,#NotMeUs,1234284761541009410,https://twitter.com/Ash_Kalra/status/1234284761541009410
2020-03-02 01:08:42,Ash_Kalra,,2,11,48,"Remember, actual voters are not as linear in their thinking as political pundits or consultants. @PeteButtigieg inspired many with his historic run and eloquence in articulating the case against Trump. Many of his fans will support @berniesanders for President. #notmeus",,@PeteButtigieg @BernieSanders,#notmeus,1234284462554279938,https://twitter.com/Ash_Kalra/status/1234284462554279938
2020-03-02 00:22:34,Ash_Kalra,grrrrrrrrrrl,1,3,26,"Great to see you!",,,,1234272853991649281,https://twitter.com/Ash_Kalra/status/1234272853991649281
2020-03-02 00:22:15,Ash_Kalra,,2,7,37,"This is what democracy looks like! #NotMeUs @berniesanders in San José!",,@BernieSanders,#NotMeUs,1234272771879751680,https://twitter.com/Ash_Kalra/status/1234272771879751680
2020-03-01 20:07:51,Ash_Kalra,,10,255,1231,"I didn’t even start close to the end of the line and didn’t make it all the way to the front with an hour and a half before the @berniesanders rally in downtown San José! #notmeus",,@BernieSanders,#notmeus,1234208751848054784,https://twitter.com/Ash_Kalra/status/1234208751848054784
2020-03-01 19:48:22,Ash_Kalra,,7,48,165,"Um.... just got to downtown San José... and the line for the @BernieSanders rally that doesn’t start for another 2 hours is enormous! San José is feelin’ the Bern! #NotMeUs",,@BernieSanders,#NotMeUs,1234203848006258688,https://twitter.com/Ash_Kalra/status/1234203848006258688
2020-03-01 19:21:58,Ash_Kalra,,0,2,12,"Before heading to the @berniesanders rally, I had to put in some work for my Council Member Sergio Jimenez! Please vote for Sergio! @Sergio4D2",,@BernieSanders @Sergio4D2,,1234197206489391104,https://twitter.com/Ash_Kalra/status/1234197206489391104
2020-03-01 16:44:36,Ash_Kalra,BernieSanders,1,4,25,"Imagine a candidate that doesn’t have to go begging to the billionaire class. That is beholden to the people, not the wealthy. That has a grassroots movement, not a multi-billionaire detached from the people. That has teachers as his top funders. Imagine @BernieSanders. #NotMeUs",,@BernieSanders,#NotMeUs,1234157600939204608,https://twitter.com/Ash_Kalra/status/1234157600939204608
2020-03-01 04:10:42,Ash_Kalra,ClimateStrikeCA,0,2,24,"Thank you @ClimateStrikeCA for your endorsement! It means so much to have the support of the youth who are leading the fight against climate change!",,@ClimateStrikeCA,,1233967874890289152,https://twitter.com/Ash_Kalra/status/1233967874890289152
2020-03-01 01:13:21,Ash_Kalra,,2,0,10,"Enjoyed joining my colleague @RobertRivas_CA at the Showing Up for Racial Justice (SURJ) South County to share our work in the legislature on issues surrounding racial &amp; social justice! Great crowd of committed activists ",,@RobertRivas_CA,,1233923246963036161,https://twitter.com/Ash_Kalra/status/1233923246963036161
2020-03-01 00:17:48,Ash_Kalra,,6,33,152,"My mission as an elected official is to reduce suffering. There is no other Presidential candidate whose platform is more aligned with my mission as a public servant than @berniesanders &amp; I’m so honored to have his endorsement in my reelection to the CA State Assembly! #NotMeUs",,@BernieSanders,#NotMeUs,1233909263661035521,https://twitter.com/Ash_Kalra/status/1233909263661035521
2020-03-01 00:03:40,Ash_Kalra,,0,1,6,"My brother & canvassed today for @JoshBecker2020 for State Senate along with other friends! Josh is so well received at the doors being knowledgeable on a wide range of issues. He’ll be a phenomenal addition to our State Senate! Oh, and we met a bunch of furry friends, too! ",,@JoshBecker2020,,1233905710397702145,https://twitter.com/Ash_Kalra/status/1233905710397702145
2020-02-29 22:21:02,Ash_Kalra,,1,7,26,"So, @BernieSanders shouldn’t campaign in other candidates’ home states?! What a strange take. They’re manufacturing attacks of all kinds now. Don’t get mad. Spend the next 3 days canvassing in Super Tuesday states. Or make calls. Oh. And make another contribution! #NotMeUs",,@BernieSanders,#NotMeUs,1233879879893962752,https://twitter.com/Ash_Kalra/status/1233879879893962752
2020-02-29 19:14:39,Ash_Kalra,,1,3,10,"Great to see the huge turnout for @DaveCortese for State Senate this morning at their GOTV weekend campaign walk!",,@DaveCortese,,1233832973461422080,https://twitter.com/Ash_Kalra/status/1233832973461422080
2020-02-29 17:12:32,Ash_Kalra,,0,0,2,"Join me today at 4 pm at the Gilroy Library for a Barnstorm for @BernieSanders as we Get the Vote Out for our guy! #NotMeUs #Bernstorm https://www.mobilize.us/sandersca/event/249021/",,@BernieSanders,#NotMeUs #Bernstorm,1233802243767291905,https://twitter.com/Ash_Kalra/status/1233802243767291905
2020-02-29 04:57:15,Ash_Kalra,,1,4,7,"Enjoyed being part of the @Justice_Collab convening today at @welcometomannys &amp; hearing from many impassioned advocates for criminal justice reform! It was great to have a mid-afternoon break to watch a screening of @JustMercyFilm to help give context to our afternoon panel.",,@Justice_Collab @welcometomannys @JustMercyFilm,,1233617202437222401,https://twitter.com/Ash_Kalra/status/1233617202437222401
2020-02-29 04:23:57,Ash_Kalra,thehill,0,3,8,"5 million stops for over a decade and stopping it only when a judge forces you to and defending it as recently as last year... is a mistake. Must be different rules if you’re a multi, multi, multi billionaire.",,,,1233608823903936512,https://twitter.com/Ash_Kalra/status/1233608823903936512
2020-02-28 21:47:56,Ash_Kalra,,0,0,2,"Here for the Justice Guarantee Convening hosted by The Justice Collaborative! Great panels all day at @welcometomannys with a break to see @JustMercyFilm down the street at @roxietheater ",,@welcometomannys @JustMercyFilm @roxietheater,,1233509160744079364,https://twitter.com/Ash_Kalra/status/1233509160744079364
2020-02-28 18:38:16,Ash_Kalra,RoKhanna,0,1,22,"#KeepHopeAlive",,,#KeepHopeAlive,1233461432311664640,https://twitter.com/Ash_Kalra/status/1233461432311664640
2020-02-28 18:16:43,Ash_Kalra,orgasvic,1,0,6,"It is definitely complicated. Happy to chat further about what the legislature is trying to do in subsequent legislation expected to be voted on in during this legislative session.",,,,1233456010070609920,https://twitter.com/Ash_Kalra/status/1233456010070609920
2020-02-28 18:14:22,Ash_Kalra,SloaneStephens,0,0,7,"It looks like it helps preventing someone with it from spreading it. But, a mask does little from contracting it. So, it has some utility but not to the extent people may believe.",,,,1233455417738452992,https://twitter.com/Ash_Kalra/status/1233455417738452992
2020-02-28 17:20:09,Ash_Kalra,orgasvic,1,0,2,"I appreciate your kind words. Repealing ab5 means that Dynamex Supreme Court ruling that created ABC test applies across all employment sectors without clarifications, no business to business exemptions, no flexibility. There is legislation being drafted re: freelancers/musicians",,,,1233441773067747329,https://twitter.com/Ash_Kalra/status/1233441773067747329
2020-02-28 16:51:18,Ash_Kalra,atrupar,0,1,3,"@tedlieu exposes the complete dereliction of duty by Pompeo and the tRump cult. He won’t even deny that coronavirus is a hoax, a claim being parroted by others in the Administration! What a sad, scary joke.",,@tedlieu,,1233434513516007424,https://twitter.com/Ash_Kalra/status/1233434513516007424
2020-02-28 16:07:18,Ash_Kalra,,1,1,9,"@BernieSanders is the only Democratic candidate polling ahead of Trump head-to-head in Wisconsin and Pennsylvania! The years long economic boom in this nation has left too many behind, especially in critical swing states. Bernie speaks to their angst better than anyone. #NotMeUs",,@BernieSanders,#NotMeUs,1233423440293462017,https://twitter.com/Ash_Kalra/status/1233423440293462017
2020-02-28 06:18:21,Ash_Kalra,TheBernReport,2,2,13,"Gonna be a nail biter! Let’s go #NotMeUs nation!",,,#NotMeUs,1233275224553971712,https://twitter.com/Ash_Kalra/status/1233275224553971712
2020-02-28 04:27:48,Ash_Kalra,,0,2,10,"Congratulations @SEIU521 for your determination &amp; advocacy for your workers and the residents of Santa Clara County that you serve! Congrats to the bargaining team and the thousands of workers who rallied and united a community to make today a reality! @RikoMendez36",,@SEIU521 @RikoMendez36,,1233247405694283779,https://twitter.com/Ash_Kalra/status/1233247405694283779
2020-02-28 01:49:06,Ash_Kalra,,6,4,41,"Today, we were honored to have Governor @gavinnewsom with us in San José at the Grand Opening ceremony of the Mabury Bridge Housing Community! This was a true collaboration between San Jose &amp; the state, @VTA @HomeFirstSCC &amp; @HabitatEBSV @sliccardo @Jimbealljr",,@GavinNewsom @VTA @HomeFirstSCC @HabitatEBSV @sliccardo @Jimbealljr,,1233207464436224000,https://twitter.com/Ash_Kalra/status/1233207464436224000
2020-02-28 01:27:50,Ash_Kalra,fightdenial,0,6,16,"I believe that we will win! #NotMeUs",,,#NotMeUs,1233202113804587008,https://twitter.com/Ash_Kalra/status/1233202113804587008
2020-02-27 22:29:16,Ash_Kalra,,1,0,3,"Yesterday was Canada Day at the Capitol and we were honored to have Consul General @RanaSarkar_ with us to discuss how we can continue to strengthen the California-Canada relationship! @CanCGSF",,@RanaSarkar_ @CanCGSF,,1233157178241908737,https://twitter.com/Ash_Kalra/status/1233157178241908737
2020-02-27 21:42:50,Ash_Kalra,,1,1,14,"Always great to connect with wonderful @SEIU1000 public service workers! Thank you for your service and support! ",,@SEIU1000,,1233145492948697088,https://twitter.com/Ash_Kalra/status/1233145492948697088
2020-02-27 19:28:54,Ash_Kalra,,0,1,3,"I look forward to celebrating African American History Month this evening and recognizing wonderful community leaders: Keith Hames, Linda Stuckey-Alexander, Demone Carter & Hillary McHenry! @lifeafterhiphop @SJAACSA",,@lifeafterhiphop @SJAACSA,,1233111785038704640,https://twitter.com/Ash_Kalra/status/1233111785038704640
