date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-01 17:20:09,AsmAguiarCurry,RESCUEorg,3,1,6,"Honored to introduce this bill #CALeg",,,#CALeg,1234166546391416832,https://twitter.com/AsmAguiarCurry/status/1234166546391416832
2020-02-26 20:13:26,AsmAguiarCurry,,1,0,10,"Californians should have access to high-quality #parks; they improve communities' physical, psychological, &amp; environmental health by providing space for recreation, events, &amp; activities. Funding for Lakefront Park is a big win for #LakeCounty! #AD4 #CALeg",,,#parks #LakeCounty #AD4 #CALeg,1232760605225844736,https://twitter.com/AsmAguiarCurry/status/1232760605225844736
2020-02-22 18:46:33,AsmAguiarCurry,,0,0,4,"Stopped by “#REALID Saturday” at the #Davis DMV this morning and met lots of folks getting their REAL ID! DMV staff are here to help you get your REAL ID until 5pm, and at offices in Chico, Laguna Hills, Reedley, San Ysidro, Seaside and Ukiah. Don’t miss out!",,,#REALID #Davis,1231289190110810112,https://twitter.com/AsmAguiarCurry/status/1231289190110810112
2020-02-22 02:13:33,AsmAguiarCurry,,2,0,2,"We’re looking for interns, college students! Check out our flyer for our #Davis district office internship and make sure to get your application in by next Friday! #CALeg",,,#Davis #CALeg,1231039292975144961,https://twitter.com/AsmAguiarCurry/status/1231039292975144961
2020-02-21 19:25:08,AsmAguiarCurry,,0,0,1,"#AD4: @CA_DMV REAL ID Saturday is TOMORROW at DMVs in #Davis &amp; #Ukiah, one day just for #REALID applications, 8am-5pm. No appointment necessary; complete the application at http://eDLapp.dmv.ca.gov &amp; bring necessary documents listed at http://REALID.dmv.ca.gov. Don't miss out!",,@CA_DMV,#AD4 #Davis #Ukiah #REALID,1230936509517201408,https://twitter.com/AsmAguiarCurry/status/1230936509517201408
2020-02-21 01:31:43,AsmAguiarCurry,EssnAccessHlth,1,2,4,"The federal administration's changes to the #TitleX family planning program threaten California's progress over 3 decades in this field. I stand with @EssnAccessHlth, @AGBecerra, and California’s entire statewide provider network in the fight to #SaveTitleX.",,@EssnAccessHlth @AGBecerra,#TitleX #SaveTitleX,1230666377322565632,https://twitter.com/AsmAguiarCurry/status/1230666377322565632
2020-02-19 18:12:14,AsmAguiarCurry,,0,0,0,"Tune in to @CAgovernor Gavin Newsom's State of the State address now live from the Assembly chambers. #CASOTS #CALeg",,@CAgovernor,#CASOTS #CALeg,1230193390093910016,https://twitter.com/AsmAguiarCurry/status/1230193390093910016
2020-02-18 19:54:35,AsmAguiarCurry,CASOSvote,0,2,1,"Today is the last day to register to vote online for the March election! Do it now at http://registertovote.ca.gov. Don't miss out! #VoteCalifornia",,,#VoteCalifornia,1229856757100335104,https://twitter.com/AsmAguiarCurry/status/1229856757100335104
2020-02-14 19:54:39,AsmAguiarCurry,PPActionCA,0,2,15,"Sharing the love this #ValentinesDay with @PPActionCA! Excited to have their support on #AB1965, designed to improve access to services that can prevent HPV and cervical cancer. #HealthPolicyValentines #StandWithPP #CALeg",,@PPActionCA,#ValentinesDay #AB1965 #HealthPolicyValentines #StandWithPP #CALeg,1228407225024053248,https://twitter.com/AsmAguiarCurry/status/1228407225024053248
2020-02-02 23:39:22,AsmAguiarCurry,49ers,0,0,0,"Longtime fan here ready for the big game; bring that win home, #Niners! #SBLIV #CaliforniaProud",,,#Niners #SBLIV #CaliforniaProud,1224115119895875585,https://twitter.com/AsmAguiarCurry/status/1224115119895875585
2020-01-28 01:51:28,AsmAguiarCurry,,0,1,2,"This year's Holocaust Remembrance Day is also the 75th anniversary of Auschwitz-Birkenau's liberation. We remember the 1.1 million lives lost at Auschwitz alone, & many more who suffered during the Holocaust. In honor of victims and survivors, we say: never forget; never again.",,,,1221974039586951174,https://twitter.com/AsmAguiarCurry/status/1221974039586951174
2020-01-26 02:28:18,AsmAguiarCurry,APILegCaucus,0,0,3,"Happy #LunarNewYear2020 to all those celebrating today! Wishing you a peaceful and prosperous Year of the Rat. #CALeg",,,#LunarNewYear2020 #CALeg,1221258532877520896,https://twitter.com/AsmAguiarCurry/status/1221258532877520896
2020-01-23 03:43:09,AsmAguiarCurry,,1,1,8,"I’m proud to support the urgent fight for reproductive freedom, and reproductive and sexual health care. #ExpandNotBan @PPActionCA",,@PPActionCA,#ExpandNotBan,1220190203005923329,https://twitter.com/AsmAguiarCurry/status/1220190203005923329
2020-01-23 03:43:02,AsmAguiarCurry,,1,4,15,"Standing w/ my #CALeg colleagues on the 47th anniversary of #RoeVWade, reaffirming my commitment to expanding sexual and reproductive healthcare in 2020! I introduced a bill to improve access to preventive services for cervical cancer. Learn about AB 1965:",,,#CALeg #RoeVWade,1220190175071916037,https://twitter.com/AsmAguiarCurry/status/1220190175071916037
2020-01-22 18:57:06,AsmAguiarCurry,,0,1,5,"Full house this AM at #Woodland Innovation Forum on Ag, Food, and Health! Attendees of many sectors focused on connecting ag, food, business, tech, health, environment, government, &amp; more to help #YoloCounty &amp; #CA thrive. Thanks to all local partners who put this together! #CALeg",,,#Woodland #YoloCounty #CA #CALeg,1220057818738262017,https://twitter.com/AsmAguiarCurry/status/1220057818738262017
2020-01-03 07:17:05,AsmAguiarCurry,ilike_mike,0,0,1,"This is not good.",,,,1212996286107942912,https://twitter.com/AsmAguiarCurry/status/1212996286107942912
2020-01-01 17:39:25,AsmAguiarCurry,,1,1,14,"#HappyNewYear from our family to yours! Wishing you and your loved ones a healthy and happy year; we’re excited for 2020! #CALeg #AD4",,,#HappyNewYear #CALeg #AD4,1212428123884535808,https://twitter.com/AsmAguiarCurry/status/1212428123884535808
2019-12-27 02:18:03,AsmAguiarCurry,,0,0,2,"Best wishes to all celebrating #Kwanzaa today. May peace, unity, and love fill your holiday season and the coming year!",,,#Kwanzaa,1210384316166889474,https://twitter.com/AsmAguiarCurry/status/1210384316166889474
2019-12-26 00:37:12,AsmAguiarCurry,,0,0,3,"#MerryChristmas to all those celebrating today! Wishing you a joyful day with loved ones.",,,#MerryChristmas,1209996546583875584,https://twitter.com/AsmAguiarCurry/status/1209996546583875584
2019-12-23 01:43:40,AsmAguiarCurry,,0,1,2,"To all those celebrating the start of the Festival of Lights tonight, wishing you a #HappyHanukkah and a joyful, peaceful holiday season.",,,#HappyHanukkah,1208926110068531200,https://twitter.com/AsmAguiarCurry/status/1208926110068531200
2019-12-13 05:42:42,AsmAguiarCurry,APICASac,0,0,2,"We are delighted to add Sam to our team!!",,,,1205362387269771266,https://twitter.com/AsmAguiarCurry/status/1205362387269771266
2019-12-12 02:13:27,AsmAguiarCurry,ScholarShare529,0,3,4,"Happening now! @ScholarShare529, the state-sponsored 529 college savings plan, is offering a $50 Target gift card for families that open a new ScholarShare 529 account to kick-start saving for college and higher education. Check it out! https://www.scholarshare529.com/",,@ScholarShare529,,1204947339607044096,https://twitter.com/AsmAguiarCurry/status/1204947339607044096
2019-12-04 17:32:25,AsmAguiarCurry,,0,1,4,"No amount of rain can stop us! Join the Yolo Healthy Aging Alliance and their outstanding partners at the Older Adult Town Hall until 11:30 this morning at the Woodland Senior Center, 2001 East St, to discuss how we can make our communities age-friendly. #CALeg #YoloCounty",,,#CALeg #YoloCounty,1202279504929902597,https://twitter.com/AsmAguiarCurry/status/1202279504929902597
2019-12-03 19:01:02,AsmAguiarCurry,,0,1,2,"It's #GivingTuesday! Today is a great opportunity to give to the organizations and causes that inspire you and are changing our communities one step at a time. #helpingchange #nonprofits #givingwithcare",,,#GivingTuesday #helpingchange #nonprofits #givingwithcare,1201939418514259969,https://twitter.com/AsmAguiarCurry/status/1201939418514259969
