date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-27 05:15:40,AsmBillQuirk,ACrosbie_FUSD,1,1,5,"It is a distinction well deserved Ann. Looking forward to recognizing you soon. #futureisfemale",,,#futureisfemale,1232897063353847815,https://twitter.com/AsmBillQuirk/status/1232897063353847815
2020-02-27 02:12:11,AsmBillQuirk,RepJoshHarder,0,0,2,"Yes! Nutria are not our friends. They are an invasive species that cause lots of destruction.",,,,1232850888772866049,https://twitter.com/AsmBillQuirk/status/1232850888772866049
2020-02-26 17:14:12,AsmBillQuirk,CAStateParks,0,0,6,"This is exciting! A new park is coming to #AD20! The ""Ashland Common New Park"" will include an an amphitheater, open space area, outdoor fitness, playground and more. Can't wait to go to the grand opening #ParksForAll",,,#AD20 #ParksForAll,1232715501186371585,https://twitter.com/AsmBillQuirk/status/1232715501186371585
2020-02-25 22:55:57,AsmBillQuirk,,0,4,25,"Today is #WorldSpayDay. Its so important that we spay and neuter our pets in order to reduce the amount of furry animals that end up in #animalshelters. My wife and I have adopted 3 senior dogs, but today, I almost adopted this little one #AdoptDontShop w/@ASPCA",,@ASPCA,#WorldSpayDay #animalshelters #AdoptDontShop,1232439117104836608,https://twitter.com/AsmBillQuirk/status/1232439117104836608
2020-02-25 19:40:52,AsmBillQuirk,,0,1,10,"This morning I spoke to a group of about 100 college students. We chatted about preparing for post-college careers, #ClimateCrisis, bi-partisanship and my background as a climate scientist. Best of all, there were students from @CalStateEastBay in the room. Go Pioneers!",,@CalStateEastBay,#ClimateCrisis,1232390019609845761,https://twitter.com/AsmBillQuirk/status/1232390019609845761
2020-02-25 17:30:31,AsmBillQuirk,APICASac,0,2,7,"Glad to have Charmaine join Team BQ!",,,,1232357219351449600,https://twitter.com/AsmBillQuirk/status/1232357219351449600
2020-02-25 04:01:22,AsmBillQuirk,nbcbayarea,0,2,2,"If you have any information about this hit and run in Castro Valley please share. A 12-year old was killed",,,,1232153590032039936,https://twitter.com/AsmBillQuirk/status/1232153590032039936
2020-02-18 20:14:21,AsmBillQuirk,,0,0,4,"Illegal dumping is a problem everywhere in CA. Today, I introduced AB 2368 to deal with a small component of this epidemic. Pictured is Evan from my office, this is the FIRST time he puts a bill across the desk.",,,,1229861734573174784,https://twitter.com/AsmBillQuirk/status/1229861734573174784
2020-02-14 22:21:44,AsmBillQuirk,BobNBC,0,0,2,"Great work done by @UnionCityPD, @HaywardPD and others to bring peace to the grieving families of these two young boys.",,@UnionCityPD @HaywardPD,,1228444238506946561,https://twitter.com/AsmBillQuirk/status/1228444238506946561
2020-02-14 21:21:24,AsmBillQuirk,,0,2,17,"We’re doing it again! Today, @AsmReyes47 @AsmGarcia @rudysalasjr @SenatorLeyva and I introduced a package of bills to protect our kids from #lead exposure. We are responding to shocking findings from a recent State Auditor report",,@AsmReyes47 @AsmGarcia @rudysalasjr @SenatorLeyva,#lead,1228429056892256256,https://twitter.com/AsmBillQuirk/status/1228429056892256256
2020-02-12 22:48:31,AsmBillQuirk,,0,1,8,"This morning students from @HaywardHigh took over the Capitol. Their visit included a tour, led by staff, and a Q&amp;A about what’s it’s like to work in the Capitol. Hope you had a great time! See you all soon.",,@HaywardHigh,,1227726203030630400,https://twitter.com/AsmBillQuirk/status/1227726203030630400
