date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-02 22:48:38,AsmFrazier,,1,0,2,"Have questions about voting or about what's on your ballot? Visit the CA Secretary of State's website for answers! https://www.sos.ca.gov/elections/voting-resources/voting-california/",,,,1234611603452022784,https://twitter.com/AsmFrazier/status/1234611603452022784
2020-02-28 20:30:44,AsmFrazier,,1,0,0,"Share facts, not fear. https://www.cdc.gov/coronavirus/2019-ncov/about/share-facts.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fcoronavirus%2F2019-ncov%2Fabout%2Fshare-facts-stop-fear.html",,,,1233489734825103360,https://twitter.com/AsmFrazier/status/1233489734825103360
2020-02-28 00:35:46,AsmFrazier,ABC10,0,0,1,"Follow the Press Conference happening now for more #CoronaVirusUpdates. Thank you Solano County Public Health!",,,#CoronaVirusUpdates,1233189012971520000,https://twitter.com/AsmFrazier/status/1233189012971520000
2020-02-27 21:19:10,AsmFrazier,,0,0,2,"#ThrowBackThursday to earlier this week when my friends from @IBEW came by for their lobby day! – at California State Capitol",,@IBEW,#ThrowBackThursday,1233139536072364032,https://twitter.com/AsmFrazier/status/1233139536072364032
2020-02-27 18:40:05,AsmFrazier,kron4news,0,2,5,"This is as simple as washing your hands frequently and covering your mouth when you cough or sneeze & stay home if you think you might be sick.",,,,1233099499469324289,https://twitter.com/AsmFrazier/status/1233099499469324289
2020-02-26 20:57:55,AsmFrazier,,0,0,2,"""Nellie"" may be getting a few laughs on the House floor but the destruction that Nutria can cause to waterways and levee's is nothing to laugh at. Thank you @RepJoshHarder for driving the message home for #TheDelta &amp; the Central Valley!",,@RepJoshHarder,#TheDelta,1232771801073123328,https://twitter.com/AsmFrazier/status/1232771801073123328
2020-02-25 20:05:00,AsmFrazier,,0,2,3,"Only one month left before submissions for the 2020 Census will be accepted. Did you know 72% of CA population fall under a group normally undercounted during a Census?",,,,1232396093490483200,https://twitter.com/AsmFrazier/status/1232396093490483200
2020-02-21 23:33:19,AsmFrazier,,0,0,2,"I had the great pleasure of talking with the Vacaville Neighborhood Boys & Girls Club on their trip to the Capital this week. Vacaville is #1!!! – at California State Capitol",,,,1230998967820804096,https://twitter.com/AsmFrazier/status/1230998967820804096
2020-02-20 18:10:55,AsmFrazier,,1,1,1,"I'm asking @DHSgov to delay the #REALID implementation date by three years so that the approx. 9 million Californians that still need one can do so &amp; same for the 72% of Americans that still need one!",,@DHSgov,#REALID,1230555443639963649,https://twitter.com/AsmFrazier/status/1230555443639963649
2020-02-20 17:46:21,AsmFrazier,,0,0,4,"It was great seeing @GavinNewsom yesterday at the #CASOTS &amp; to hear his plan to focus on addressing homelessness and people living on the streets w/ mental illness.",,@GavinNewsom,#CASOTS,1230549261617512454,https://twitter.com/AsmFrazier/status/1230549261617512454
