date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-26 19:09:30,AsmGrayson,DVC_updates,2,0,2,"A great free workshop for students tomorrow at DVC!",,,,1232744517054296064,https://twitter.com/AsmGrayson/status/1232744517054296064
2020-02-26 19:05:48,AsmGrayson,dillonliam,1,4,18,"We cannot achieve our goal of building housing for all Californians at all income levels if some local jurisdictions continue to place a disproportionate financial burden on the backs of new home buyers",,,,1232743586241728513,https://twitter.com/AsmGrayson/status/1232743586241728513
2020-02-24 21:01:30,AsmGrayson,cayimby,1,5,22,"Thank you @cayimby for your support! Together we are going to build more housing!",,@cayimby,,1232047924869124096,https://twitter.com/AsmGrayson/status/1232047924869124096
2020-02-19 20:27:20,AsmGrayson,,1,0,3,"He is absolutely right that our communities need both immediate relief and long term solutions in the form of increased housing production and smart transit oriented development. I look forward to working with Gov @GavinNewsom and my colleagues on these issues this year #caleg",,@GavinNewsom,#caleg,1230227386572005376,https://twitter.com/AsmGrayson/status/1230227386572005376
2020-02-19 20:25:44,AsmGrayson,AssemblyDems,2,1,8,"I applaud the @CAgovernor for dedicating his State of the State address this morning to some of California’s most pressing issues: our homelessness, housing, and affordability crises.",,@CAgovernor,,1230226986917720064,https://twitter.com/AsmGrayson/status/1230226986917720064
2020-02-14 21:33:11,AsmGrayson,,0,0,1,"“Ashbury” found their valentine and future home!",,,,1228432019496914944,https://twitter.com/AsmGrayson/status/1228432019496914944
2020-02-14 21:14:20,AsmGrayson,,1,0,2,"Chloe the Cat has found her “purr-fect” companions!",,,,1228427277760786432,https://twitter.com/AsmGrayson/status/1228427277760786432
2020-02-14 21:06:39,AsmGrayson,,1,0,1,"There are more dogs and cats still looking for companions! My wife, Tammy, and I are having a great time saying hello to them all!",,,,1228425341271625729,https://twitter.com/AsmGrayson/status/1228425341271625729
2020-02-14 21:03:36,AsmGrayson,,1,0,2,"“Lovebird” has found their forever home and been adopted!",,,,1228424574926114816,https://twitter.com/AsmGrayson/status/1228424574926114816
2020-02-14 18:35:04,AsmGrayson,,0,1,0,"Whether you’re looking to adopt a pet or to visit @ARFtweets Valentine’s Day themed photo booth, I hope you’ll stop by today!",,@ARFtweets,,1228387196962426880,https://twitter.com/AsmGrayson/status/1228387196962426880
2020-02-14 18:33:42,AsmGrayson,,1,1,6,"My dog, Shasta, and I will be at @ARFtweets this afternoon saying hello and helping people and pets find their “purr-fect companions”!",,@ARFtweets,,1228386852505153538,https://twitter.com/AsmGrayson/status/1228386852505153538
2020-02-14 18:30:39,AsmGrayson,,1,1,1,"In celebration of #ValentinesDay today, I am teaming up with @ARFtweets to waive all fees to help pets find their forever homes!",,@ARFtweets,#ValentinesDay,1228386083244662784,https://twitter.com/AsmGrayson/status/1228386083244662784
2020-02-10 17:55:18,AsmGrayson,SpecialOlympics,0,0,9,"Last night Zack Gottsagen became the first person with Down Syndrome to present at the #Oscars! It was a highlight of the night for my family and me, and I’m sure so many others! #ChooseToInclude #RepresentationMatters",,,#Oscars #ChooseToInclude #RepresentationMatters,1226927638754652162,https://twitter.com/AsmGrayson/status/1226927638754652162
2020-01-27 22:41:19,AsmGrayson,AuschwitzMuseum,0,2,7,"Today on International Holocaust Remembrance Day we mourn the millions of innocent Jewish victims and more who were murdered. We must #NeverAgain allow such atrocities to occur, and must continue to fight anti-Semitism, bigotry, and hate.",,,#NeverAgain,1221926184776171520,https://twitter.com/AsmGrayson/status/1221926184776171520
2020-01-21 18:15:43,AsmGrayson,,0,2,9,"Met two very kind @SFBART officers on my ride yesterday as they were saying hello to everyone on our train. Thank you for working to keep BART friendly and safe",,@SFBART,,1219685016201883648,https://twitter.com/AsmGrayson/status/1219685016201883648
2020-01-09 20:26:53,AsmGrayson,AssemblyDems,0,0,3,"A huge congratulations to Chief Clerk Sue Parker and Chief Sergeant Alisa Buckley!",,,,1215369370437685248,https://twitter.com/AsmGrayson/status/1215369370437685248
2020-01-06 23:56:57,AsmGrayson,AssemblyDems,1,2,13,"I was proud to author and pass legislation in 2019 to end predatory lending, stop unjust evictions, increase mental health services for our first responders, and help fund the CA Special Olympics—just to name a few! Can’t wait to work together to accomplish more in 2020 #CALeg",,,#CALeg,1214335072372871168,https://twitter.com/AsmGrayson/status/1214335072372871168
2019-12-25 17:20:32,AsmGrayson,,0,1,5,"Wishing everyone a holiday season surrounded by loved ones and filled with joy! Merry Christmas and happy holidays!",,,,1209886657920425984,https://twitter.com/AsmGrayson/status/1209886657920425984
2019-12-18 14:42:29,AsmGrayson,sacbee_news,2,6,12,"Yes, we’ve restricted the ability of bad-acting landlords to unjustly and unfairly force Californians out of their homes #AB1482",,,#AB1482,1207310167655628801,https://twitter.com/AsmGrayson/status/1207310167655628801
2019-12-17 18:55:08,AsmGrayson,,0,0,1,"I hope you will join me tomorrow in Vallejo for a Holiday Open House! More details on the FB event page here: https://www.facebook.com/events/494131497865012/ @CityofVallejo @VisitVallejo @vjotimesherald",,@CityofVallejo @VisitVallejo @vjotimesherald,,1207011362662039552,https://twitter.com/AsmGrayson/status/1207011362662039552
2019-12-17 18:52:54,AsmGrayson,VallejoFire,0,0,1,"Great job @VallejoFire! Our community is lucky to have you!",,@VallejoFire,,1207010799996112896,https://twitter.com/AsmGrayson/status/1207010799996112896
2019-12-16 23:34:26,AsmGrayson,,0,1,4,"Thank you @foodbankccs for allowing me to join you at one of your food distribution sites! Wonderful to spend time with Food Bank staff, volunteers, and recipients! #EndHunger",,@foodbankccs,#EndHunger,1206719261399371776,https://twitter.com/AsmGrayson/status/1206719261399371776
2019-12-16 19:15:51,AsmGrayson,CASOSvote,0,0,0,"Helpful information on how to participate in the presidential primary election for No Party Preference voters #BeAVoter",,,#BeAVoter,1206654187703980032,https://twitter.com/AsmGrayson/status/1206654187703980032
2019-12-12 01:00:51,AsmGrayson,,0,2,4,"CA must also take action. I've been working on legislation to update the Credit Services Act of 1984 & expand consumer protections. My bill, AB 699, will significantly enhance the transparency and disclosure of services being purchased, intended results, and costs.",,,,1204929070867156992,https://twitter.com/AsmGrayson/status/1204929070867156992
2019-12-12 00:58:41,AsmGrayson,,1,1,2,".@Google has taken an important step to update its financial products and services policy to restrict the advertisement of non-certified debt settlement, debt management services, and credit repair services.",,@Google,,1204928524521332737,https://twitter.com/AsmGrayson/status/1204928524521332737
2019-12-12 00:56:07,AsmGrayson,,1,1,2,"While CA has some of the strongest consumer protections for other industries, current law does not require credit service organizations to provide even basic info about the services they will render, a cost estimate, a timeline for when their services will be complete, and more.",,,,1204927880808951808,https://twitter.com/AsmGrayson/status/1204927880808951808
2019-12-12 00:08:39,AsmGrayson,CityofVallejo,0,1,2,"Wonderful news! Congratulations to @sixflagsDK",,@sixflagsDK,,1204915935364009985,https://twitter.com/AsmGrayson/status/1204915935364009985
2019-12-03 21:30:42,AsmGrayson,,0,0,5,"Today is #GivingTuesday, a great opportunity to give to organizations that inspire you and are helping to make our communities better places to live #helpingchange #nonprofits #givingwithcare",,,#GivingTuesday #helpingchange #nonprofits #givingwithcare,1201977081287999488,https://twitter.com/AsmGrayson/status/1201977081287999488
2019-12-03 21:27:20,AsmGrayson,,0,0,3,"Tonight is my Annual Holiday Open House & Toy Drive at my Concord District Office! I hope you’ll stop by and say hello! More info on my FB page here: https://facebook.com/events/817036798754554/?ti=icl",,,,1201976234151776258,https://twitter.com/AsmGrayson/status/1201976234151776258
2019-11-29 17:12:03,AsmGrayson,,0,1,1,"If you’re participating in Black Friday today, remember to shop local and support our community business owners! #SmallBusinessSaturday",,,#SmallBusinessSaturday,1200462438673473536,https://twitter.com/AsmGrayson/status/1200462438673473536
