date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-02 20:10:33,AsmMarcBerman,,0,2,2,"The risk from #COVID19 remains low in #California, but there are easy steps you can take to protect yourself. - Wash your hands &amp; use hand sanitizer - Avoid sick people - Cover your nose/mouth when sneezing/coughing - Eat well, stay hydrated, &amp; get plenty of sleep. #AD24",,,#COVID19 #California #AD24,1234571816867434496,https://twitter.com/AsmMarcBerman/status/1234571816867434496
2020-03-02 00:20:43,AsmMarcBerman,,2,0,16,"Beautiful day for a 5.6 mile hike at the @MidpenOpenSpace Rancho San Antonio Open Space Preserve in #ad24 with Aimee and her dad! Beautiful views of the bay, lots of gophers, and some , , &amp; ! – at Rancho San Antonio County Park",,@MidpenOpenSpace,#ad24,1234272387299807232,https://twitter.com/AsmMarcBerman/status/1234272387299807232
2020-02-28 20:35:08,AsmMarcBerman,,0,1,1,"Starting in mid-March, each household will receive an invitation to respond to the #Census. It is your civic duty! Lucky, there are three ways to respond this year - online , by mail , or by phone . Whichever you choose, just be sure you're counted! #2020Census #AD24",,,#Census #2020Census #AD24,1233490843614531585,https://twitter.com/AsmMarcBerman/status/1233490843614531585
2020-02-28 19:32:42,AsmMarcBerman,,0,1,0,"I had a great tour of the new @StanfordMed hospital this morning. The residents of #ad24 and beyond are very fortunate to have such a world class and cutting edge medical facility in our backyard. – at New Stanford Hospital",,@StanfordMed,#ad24,1233475130174644225,https://twitter.com/AsmMarcBerman/status/1233475130174644225
2020-02-28 02:56:43,AsmMarcBerman,,0,0,3,"Another awesome District Office Open House in the books! Thanks to all of the amazing #ad24 constituents who joined us tonight with great questions and comments!",,,#ad24,1233224482342330368,https://twitter.com/AsmMarcBerman/status/1233224482342330368
2020-02-27 15:20:15,AsmMarcBerman,,0,2,3,"District Office Open House HAPPENING TODAY Stop by my district office this afternoon between 4pm-6pm to chat with me &amp; my staff. 5050 El Camino Real, Suite 117 Los Altos, CA 94022 Details: http://ow.ly/R3eu50y7qJa #AD24",,,#AD24,1233049211886809089,https://twitter.com/AsmMarcBerman/status/1233049211886809089
2020-02-25 22:19:27,AsmMarcBerman,,1,7,11,"An incomplete #2020Census count will diminish California's voice in Washington D.C. &amp; jeopardize billions of dollars for #education, #transportation, &amp; #housing. Visit http://census.ca.gov for more info. #AD24 ",,,#2020Census #education #transportation #housing #AD24,1232429928676593665,https://twitter.com/AsmMarcBerman/status/1232429928676593665
2020-02-24 16:20:14,AsmMarcBerman,,0,1,3,"Who's coming to the District Office Open House on Thursday?! It was a packed house last year, and I'm looking forward to seeing just as many people there this year. Details: http://ow.ly/kDdY50y7qyf #AD24",,,#AD24,1231977143598559238,https://twitter.com/AsmMarcBerman/status/1231977143598559238
2020-02-23 22:42:28,AsmMarcBerman,gisellemarie,0,0,1,"We’re looking into it. As with all things, it’s a little complicated.",,,,1231710945585426432,https://twitter.com/AsmMarcBerman/status/1231710945585426432
2020-02-23 20:47:32,AsmMarcBerman,,2,3,20,"Last year our Safe Parking bill wasn’t signed into law, but as this article notes it did significantly increase awareness of & attention on college student homelessness & food insecurity. We’ll have some new ideas this year to help these amazing students.",,,,1231682024546504705,https://twitter.com/AsmMarcBerman/status/1231682024546504705
2020-02-23 18:09:03,AsmMarcBerman,,0,0,11,"I was honored to give the keynote speech at last night’s Sunnyvale Silicon Valley Chamber of Commerce 55th Annual Murphy Awards, where we honored teachers, local businesses, big companies, & community leaders for their outstanding contributions to @CityofSunnyvale!",,@CityofSunnyvale,,1231642137877336064,https://twitter.com/AsmMarcBerman/status/1231642137877336064
2020-02-22 17:35:06,AsmMarcBerman,,0,1,1,"A few weeks ago I attended a @PPICNotes luncheon to chat about the #2020Census. If preparing for the #Census were a football game, we'd be halfway through the 3rd quarter. It's time for everyone to get in the game to help ensure a complete count! Watch https://bit.ly/3bVtauk",,@PPICNotes,#2020Census #Census,1231271206835367936,https://twitter.com/AsmMarcBerman/status/1231271206835367936
2020-02-22 01:12:34,AsmMarcBerman,,0,0,6,"Thanks to the various local @LWV chapters who stopped by today to talk about housing, elections, census, climate change, transportation &amp; much more. And thanks for all you do to educate your communities! @LWVNCSMC @lwvpaloalto",,@LWV @LWVNCSMC @lwvpaloalto,,1231023943923843072,https://twitter.com/AsmMarcBerman/status/1231023943923843072
2020-02-22 00:23:37,AsmMarcBerman,,0,1,3,"Thanks @wrighting for stopping by to update me on all of the great work @EnviroVolun is doing to inspire a love of science &amp; nature in students in low-income communities throughout the Bay Area and beyond!",,@wrighting @EnviroVolun,,1231011625336852480,https://twitter.com/AsmMarcBerman/status/1231011625336852480
2020-02-21 18:56:05,AsmMarcBerman,,1,1,3,"Scholarships are available for the 2020 @codeorg Professional Learning Program for middle &amp; high school teachers! #ComputerScience Teachers, apply now! https://bit.ly/2ukvXMP Parents, nominate a teacher! https://bit.ly/2V7k5J3 No previous experience necessary. #AD24",,@codeorg,#ComputerScience #AD24,1230929199210192897,https://twitter.com/AsmMarcBerman/status/1230929199210192897
2020-02-21 05:45:11,AsmMarcBerman,,0,3,15,"Thank you @Stanford &amp; @StanfordLaw for inviting me to come talk about why it’s so important for #California and all of our communities to get a complete count in the upcoming #2020Census! Great to join others from @sanmateoco &amp; @SCCgov. @CACompleteCount @SCCCensus @CACensus – at Stanford Law School",,@Stanford @StanfordLaw @sanmateoco @SCCgov @CACompleteCount @SCCCensus @CACensus,#California #2020Census,1230730161563131905,https://twitter.com/AsmMarcBerman/status/1230730161563131905
2020-02-20 19:50:13,AsmMarcBerman,,0,1,1,"One week until our District Office Open House! Hope you can make it! Visit my website for details and to RSVP! http://ow.ly/X0Vq50y7qjP #AD24",,,#AD24,1230580433827569664,https://twitter.com/AsmMarcBerman/status/1230580433827569664
