date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-02 17:22:18,AsmMarcLevine,,0,1,1,"The #CALeg is working with @CAgovernor to ensure that public agencies have all the resources they need to combat the emerging threat of the novel coronavirus. Stay informed: http://bit.ly/3a6jMCu",,@CAgovernor,#CALeg,1234529478812078080,https://twitter.com/AsmMarcLevine/status/1234529478812078080
2020-02-29 20:15:04,AsmMarcLevine,,0,0,1,"While #LeapDay is once every four years, but did you know that the Census is once every ten years? Don't miss out on being counted in the 2020 Census. Connect with @CACompleteCount @cacensus for more info. #becounted",,@CACompleteCount @CACensus,#LeapDay #becounted,1233848181177360385,https://twitter.com/AsmMarcLevine/status/1233848181177360385
2020-02-27 18:25:51,AsmMarcLevine,,0,0,1,"Thank you @marincountyfire Chief Jason Weber and @SoCoFireDist Chief Mark Heine for your support of my #AB3258 and the relief it could offer property owners in the North Bay and across California. Read more: http://ow.ly/Y9nZ50yxNdk",,@marincountyfire @SoCoFireDist,#AB3258,1233095919844724736,https://twitter.com/AsmMarcLevine/status/1233095919844724736
2020-02-20 22:49:46,AsmMarcLevine,,1,0,2,"Our students deserve every resource available to ensure their success in the classroom. My #AB2646 will affirm our commitment to fully fund K-12 education and give schools the funding they need for students to be successful in the 21st century. Read more: http://ow.ly/sGy550yrYxO",,,#AB2646,1230625619567923200,https://twitter.com/AsmMarcLevine/status/1230625619567923200
2020-02-20 01:25:10,AsmMarcLevine,,0,0,1,"An inspiring conversation with students from @UCBerkeley &amp; the work ahead to make higher education accessible &amp; affordable for every California student.",,@UCBerkeley,,1230302339090698240,https://twitter.com/AsmMarcLevine/status/1230302339090698240
2020-02-19 21:20:55,AsmMarcLevine,,1,0,1,"Today, @CAgovernor @GavinNewsom didn’t mince words when it came to the need for immediate action to address California’s housing &amp; homelessness crisis. This bold agenda will require a shared commitment to listen to the voices of the North Bay. Read more: http://ow.ly/veLm50yqSub",,@CAgovernor @GavinNewsom,,1230240873709015041,https://twitter.com/AsmMarcLevine/status/1230240873709015041
2020-02-19 19:35:09,AsmMarcLevine,,0,0,1,"Over 120,000 Japanese Americans were illegally incarcerated by the US government during WWII. On this #DayofRemembrance, learn more about this dark chapter in our nation's history &amp; the brave Japanese Americans that persisted. More: http://ow.ly/raKH50y2p1S",,,#DayofRemembrance,1230214257612132354,https://twitter.com/AsmMarcLevine/status/1230214257612132354
2020-02-19 18:14:46,AsmMarcLevine,,0,0,1,"Tune in now to watch @CAgovernor @GavinNewsom's 2020 State of the State address. #caleg",,@CAgovernor @GavinNewsom,#caleg,1230194028324388864,https://twitter.com/AsmMarcLevine/status/1230194028324388864
2020-02-18 22:25:47,AsmMarcLevine,,0,0,0,"Good things happen in the North Bay. Congratulations to Susan Gilmore and North Bay Children's Center on this recognition!",,,,1229894810405871616,https://twitter.com/AsmMarcLevine/status/1229894810405871616
2020-02-18 20:29:57,AsmMarcLevine,,0,0,0,"Thank you @LarryMantle @AirTalk for an engaging discussion today about my #AB2070 &amp; efforts to increase voter participation in California. If you missed it, you can listen to our conversation here:",,@LarryMantle @AirTalk,#AB2070,1229865659049312258,https://twitter.com/AsmMarcLevine/status/1229865659049312258
2020-02-17 17:35:07,AsmMarcLevine,,0,0,1,"This #PresidentsDay spend some time learning about the 44 Americans who once led our nation. More: http://ow.ly/GhCx50y2nTv",,,#PresidentsDay,1229459273505280000,https://twitter.com/AsmMarcLevine/status/1229459273505280000
2020-02-14 22:08:46,AsmMarcLevine,,0,1,1,"My #AB2301 will bring California’s consumer privacy law in line with the rapidly expanding use of DNA technology and prioritize privacy when it comes to our most sensitive personal information. Read more: http://ow.ly/gsc950yn0Ey",,,#AB2301,1228440977179803648,https://twitter.com/AsmMarcLevine/status/1228440977179803648
2020-02-13 22:37:51,AsmMarcLevine,,0,0,1,"By increasing the timely access to care, my #AB2242 will save lives and improve outcomes for those suffering a mental health emergency. Read more: http://ow.ly/uHKR50ym14j",,,#AB2242,1228085904620826624,https://twitter.com/AsmMarcLevine/status/1228085904620826624
2020-02-11 22:50:49,AsmMarcLevine,,0,1,1,"PG&E’s poorly planned and poorly executed Public Safety Power Shutoffs in 2019 exposed deep flaws in the utility that require our immediate action. The time to act is now. Read more: http://ow.ly/qsOu50yjVmH",,,,1227364392402063360,https://twitter.com/AsmMarcLevine/status/1227364392402063360
2020-02-08 00:06:57,AsmMarcLevine,AsmMarcLevine,0,1,2,"Thank you @endepilepsyGLA for your support of this important legislation!",,@endepilepsyGLA,,1225934002155966464,https://twitter.com/AsmMarcLevine/status/1225934002155966464
2020-02-07 20:56:46,AsmMarcLevine,,0,2,5,"As a parent of a child with epilepsy, I know firsthand the fears that parents and guardians feel everyday sending their children to school. That's why I am proud to partner with @AsmBlancaRubio &amp; @EpilepsyFdn introducing #AB2116. Read more: http://ow.ly/hQLU50ygMt5",,@AsmBlancaRubio @EpilepsyFdn,#AB2116,1225886141771108352,https://twitter.com/AsmMarcLevine/status/1225886141771108352
