date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-02 20:15:22,AsmPhilTing,,0,1,2,"In CA, if you’ve marked your ballot for a Pres candidate no longer in the race, but have NOT mailed it or dropped it off, you can take your ballot to the Registrar of Voters, a Vote Center or polling place & get a replacement ballot to make a different choice. #CaliforniaPrimary",,,#CaliforniaPrimary,1234573030677868544,https://twitter.com/AsmPhilTing/status/1234573030677868544
2020-03-02 04:46:30,AsmPhilTing,,1,0,2,"CA now has a plan to protect our state’s ocean ecosystem from the effects of the #ClimateCrisis and sea-level rise. @OPC_California approved the blueprint this week.",,@OPC_California,#ClimateCrisis,1234339272775200770,https://twitter.com/AsmPhilTing/status/1234339272775200770
2020-02-29 19:11:18,AsmPhilTing,,0,0,2,"Welcome to my newest constituent, Julia Roberts!",,,,1233832131635245056,https://twitter.com/AsmPhilTing/status/1233832131635245056
2020-02-28 21:18:09,AsmPhilTing,,0,1,3,"I joined @UWBayArea &amp; @ChineseNewcomer in Chinatown today to promote the CA Earned Income Tax Credit, an effective anti-poverty tool! Workers earning less than $30K may qualify for a #CalEITC refund. Families with young kids may be eligible for more. Info: https://a19.asmdc.org/press-releases/20200228-new-young-child-tax-credit-higher-income-limits-among-highlights-years",,@UWBayArea @ChineseNewcomer,#CalEITC,1233501665451376641,https://twitter.com/AsmPhilTing/status/1233501665451376641
2020-02-28 16:43:10,AsmPhilTing,,0,0,0,"Glad to see another corner market able to offer fresh produce under the Healthy Refrigeration Grant Program I championed in the #CaBudget! With the help of @phi_wellness, Rivera Mart in Sacramento used a grant to buy a refrigerator this month, giving customers healthy choices.",,@phi_wellness,#CaBudget,1233432467572318208,https://twitter.com/AsmPhilTing/status/1233432467572318208
2020-02-28 01:12:56,AsmPhilTing,,0,1,15,"Parks are not a luxury. They’re tangible reflections of the quality of life within a community. Thrilled @RecParkSF has been awarded an $8.5M state grant for a new waterfront park in India Basin. Asm @DavidChiu &amp; I also secured another $4M from the #CABudget for the project.",,@RecParkSF @DavidChiu,#CABudget,1233198366567194624,https://twitter.com/AsmPhilTing/status/1233198366567194624
2020-02-27 16:56:31,AsmPhilTing,,0,2,2,"Have thoughts about state issues, legislation or the #CaBudget? Would love to hear them! @KevinMullin &amp; I are hosting a Coffee &amp; Conversation get-together on March 13 in South San Francisco. Please drop by. Details &amp; RSVP here: https://a19.asmdc.org/event/20200313-youre-invited-coffee-california-assemblymembers-phil-ting-kevin-mullin",,@kevinmullin,#CaBudget,1233073435883913218,https://twitter.com/AsmPhilTing/status/1233073435883913218
2020-02-27 00:14:08,AsmPhilTing,,0,0,6,"This is great! After a month of a car-free Market St: Muni is running 6% faster 25% increase in bicyclists Not much spillover traffic on side streets",,,,1232821181218054144,https://twitter.com/AsmPhilTing/status/1232821181218054144
2020-02-26 17:34:29,AsmPhilTing,,0,1,2,"While market share of zero & low emission vehicles in CA is at the highest percentage ever, disappointing to see 2019 #ZEV sales dip. We must do more to incentivize consumers to make the switch. If we want clean air, we need clean cars. #CleanCars2040.",,,#ZEV #CleanCars2040,1232720603079032832,https://twitter.com/AsmPhilTing/status/1232720603079032832
2020-02-25 22:47:46,AsmPhilTing,,0,0,0,"If you still need a #RealID, I cannot emphasize enough that now is the time to get one. It’ll be required to board a domestic flight without a passport beginning 10/1. Wait times are reasonable for walk-ins without appts at most DMV offices. More tips:",,,#RealID,1232437054731980805,https://twitter.com/AsmPhilTing/status/1232437054731980805
