date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-27 20:16:09,BauerKahan,,1,2,4,"#TeamRBK will be at the Livermore Counts Census Education and Recruitment event Saturday, February 29th! We will be answering questions to ensure that you are informed about the importance of the upcoming Census! We hope to see you there! @CityofLivermore",,@CityofLivermore,#TeamRBK,1233123676146388993,https://twitter.com/BauerKahan/status/1233123676146388993
2020-02-26 17:07:29,BauerKahan,lilyjamali,1,1,2,"Very cool!!",,,,1232713808688271360,https://twitter.com/BauerKahan/status/1232713808688271360
2020-02-20 22:45:59,BauerKahan,,1,3,38,"Turns out its been family week here in #TeamRBK land! When our Assembly Fellow Andrew's wife &amp; kids came by today, we had to get them in on the bill introduction action! @AssemblyFellows",,@AssemblyFellows,#TeamRBK,1230624670430285824,https://twitter.com/BauerKahan/status/1230624670430285824
2020-02-19 22:39:50,BauerKahan,AlexCVassar,0,0,2,"Good looking out! Thank you!",,,,1230260734052818945,https://twitter.com/BauerKahan/status/1230260734052818945
2020-02-19 21:35:37,BauerKahan,,0,1,24,"Made my day when I got a special assist introducing one of my bills today. Thanks Dad! #caleg #takeyourdadtoworkday",,,#caleg #takeyourdadtoworkday,1230244573202370560,https://twitter.com/BauerKahan/status/1230244573202370560
2020-02-18 23:30:44,BauerKahan,,1,0,1,"Great article about the important legislation we introduced today! It will give our Attorney General and local district attorneys the tools they need to hold PG&E accountable for their actions when they ignore safety regulations. #AB2356 #CAleg",,,#AB2356 #CAleg,1229911153666510848,https://twitter.com/BauerKahan/status/1229911153666510848
2020-02-18 17:36:12,BauerKahan,,0,0,5,"Thank you to our coauthors for standing with us @Steve_Glazer Sen Hill @Scott_Wiener @DavidChiu @AsmGrayson @MarcLevine @AsmMoniqueLimon @AsmCottie @AsmRobertRivas @AsmChristySmith @AsmMarkStone @BuffyWicks",,@Steve_Glazer @Scott_Wiener @DavidChiu @AsmGrayson @MarcLevine @AsmMoniqueLimon @AsmCottie @AsmRobertRivas @AsmChristySmith @AsmMarkStone @BuffyWicks,,1229821932888977408,https://twitter.com/BauerKahan/status/1229821932888977408
2020-02-18 17:36:12,BauerKahan,,1,0,0,"The devastating loss of loved ones, homes and in some cases, entire communities must not be endured again. By empowering local jurisdictions to enforce existing safety regulations, we aim to stop the next disaster before it starts. #caleg",,,#caleg,1229821932264022016,https://twitter.com/BauerKahan/status/1229821932264022016
2020-02-18 17:36:12,BauerKahan,,1,1,2,"This morning I joined @AlamedaCountyDA to introduce The Utility Accountability and Wildfire Prevention Act of 2020 #AB2356. The bill will expand authority to the AG and DAs to bring an action against an electrical corp for failure to comply with safety standards &amp; regulations.",,@AlamedaCountyDA,#AB2356,1229821931207020544,https://twitter.com/BauerKahan/status/1229821931207020544
2020-02-14 19:48:51,BauerKahan,PPActionCA,1,1,11,"That's right! Love this so much thanks @PPActionCA! Roses are red legislation is fun I heart planned parenthood together we'll make sure violators are on the run!",,@PPActionCA,,1228405764387000320,https://twitter.com/BauerKahan/status/1228405764387000320
2020-02-12 20:27:25,BauerKahan,CMAdocs,0,5,13,"Thank you @CMAdocs for inviting me to participate in such an important discussion around how we can continue California's efforts to provide all persons with comprehensive and complete health care.",,@CMAdocs,,1227690693876826112,https://twitter.com/BauerKahan/status/1227690693876826112
2020-02-08 19:38:41,BauerKahan,DublinPIO,0,0,3,"Can’t wait for this great #AD16 tradition!",,,#AD16,1226228877078327296,https://twitter.com/BauerKahan/status/1226228877078327296
2020-01-22 20:45:33,BauerKahan,,0,4,10,"Everyone should have the freedom to make decisions about their reproductive lives and healthcare free from political interference. Protecting and expanding this fundamental freedom is more urgent now than ever. #7in10ForRoe @ProChoiceCA",,@ProChoiceCA,#7in10ForRoe,1220085114320740352,https://twitter.com/BauerKahan/status/1220085114320740352
2020-01-22 19:21:57,BauerKahan,AssemblyDems,0,0,1,"I'm proud to be working with @PPActionCA to introduce legislation that will protect patients from online harassment and bullying",,@PPActionCA,,1220064071979954177,https://twitter.com/BauerKahan/status/1220064071979954177
2020-01-21 04:02:32,BauerKahan,,0,0,1,"It was an honor to join the Interfaith Coalition of Contra Costa today for their annual Martin Luther King Day Celebration. We were all inspired to recommit ourselves to achieving Dr. King’s dream of a just society for all. Join us. #MLKDay",,,#MLKDay,1219470307406143488,https://twitter.com/BauerKahan/status/1219470307406143488
2020-01-19 18:49:23,BauerKahan,,0,4,19,"It was such an honor to address the Walnut Creek and Tri Valley Women’s Marches yesterday. We will continue to organize and show up to make sure that women’s issues are never ignored.",,,,1218968715200360448,https://twitter.com/BauerKahan/status/1218968715200360448
2020-01-17 21:58:07,BauerKahan,,1,23,150,"It's always easy to find a photo of government being led by men, without a woman in sight. Today, it was the opposite. Today was 1st time in CA that an all-female team led the Assembly Floor. What an honor to work with these women! #caleg @CaWomensCaucus #makinghistory",,@CaWomensCaucus,#caleg #makinghistory,1218291433070661634,https://twitter.com/BauerKahan/status/1218291433070661634
2020-01-09 18:48:04,BauerKahan,,1,0,4,"I am proud to Co-Author this bill that would introduce the strictest standards in the nation to prevent youth vaping. California won’t allow big tobacco to use their old tricks to target our children. #CAleg https://www.thenationalherald.com/278428/lt-gov-kounalakis-ca-lawmakers-back-new-bill-to-ban-store-sales-of-flavored-tobacco-products/",,,#CAleg,1215344502610677760,https://twitter.com/BauerKahan/status/1215344502610677760
2020-01-08 23:14:33,BauerKahan,,0,1,2,"I hope to see you at my Senior Scam Stoppers event next Tuesday, January 14th at Rossmoor! You can RSVP here: https://lcmspubcontact.lc.ca.gov/PublicLCMS/ADInfo/einvites/AD16/2269_Senior_Scam_Stopper_Seminar.html",,,,1215049179866644482,https://twitter.com/BauerKahan/status/1215049179866644482
2020-01-07 22:23:14,BauerKahan,PPActionCA,2,0,16,"I am incredibly proud to receive a 100% voting record from @PPActionCA! I will always stand up for a women’s right to choose, and as the Chair of the Select Committee on Women’s Reproductive Health I will continue to lead that fight in California.",,@PPActionCA,,1214673877118242816,https://twitter.com/BauerKahan/status/1214673877118242816
2020-01-07 20:05:41,BauerKahan,BeverlyMKumar,0,1,6,"We were so honored to have you! What an amazingly talented bunch!",,,,1214639262357839873,https://twitter.com/BauerKahan/status/1214639262357839873
2020-01-06 20:42:54,BauerKahan,,1,2,19,"I am so excited the legislature is finally back in session today! 2019 was an amazing year in which we accomplished so much. I can’t wait to see what we accomplish in 2020!",,,,1214286241283239936,https://twitter.com/BauerKahan/status/1214286241283239936
2019-12-23 22:06:05,BauerKahan,,1,0,18,"Happy Holidays!",,,,1209233744504086528,https://twitter.com/BauerKahan/status/1209233744504086528
2019-12-20 23:01:30,BauerKahan,abc7newsbayarea,0,0,0,"Thank you for highlighting this important issue! I look forward to addressing and supporting solutions in the upcoming year that keep our animals safe.",,,,1208160524795428864,https://twitter.com/BauerKahan/status/1208160524795428864
2019-12-13 23:18:01,BauerKahan,DanvilleSanRamo,0,0,2,"Congratulations @sabinazafar!",,@sabinazafar,,1205627966761209856,https://twitter.com/BauerKahan/status/1205627966761209856
2019-12-11 19:42:31,BauerKahan,TIME,0,0,1,"Congratulations to @GretaThunberg on being named Time’s person of the year! The youth are our future, and they are leading on the climate crisis. Greta deserves this honor and more for speaking truth to the powers fighting against her future.",,@GretaThunberg,,1204848957542686721,https://twitter.com/BauerKahan/status/1204848957542686721
2019-12-04 23:53:57,BauerKahan,DanvilleSanRamo,0,1,4,"Congratulations to @councilstepper and @LisaABlackwell on being named to their new positions! I am looking forward to continuing to work with you both!",,@councilstepper @LisaABlackwell,,1202375519200673792,https://twitter.com/BauerKahan/status/1202375519200673792
2019-12-04 23:47:20,BauerKahan,DanvilleINFO,0,1,4,"My staff had a wonderful time attending this event last night honoring outgoing Mayor Storer and all of the community service award winners! Here’s to another great year in Danville and #AD16!",,,#AD16,1202373852027707393,https://twitter.com/BauerKahan/status/1202373852027707393
2019-11-14 19:34:29,BauerKahan,,0,7,7,"Our children shouldn't be afraid to go to school. Parents shouldn't receive the calls that these poor parents in Santa Clarita received today. I'm heartbroken for the Saugus HS community, and I'm terrified that this has become the norm for our country. #ENOUGH",,,#ENOUGH,1195062466364882944,https://twitter.com/BauerKahan/status/1195062466364882944
2019-11-13 23:07:40,BauerKahan,amyhollyfield,0,0,2,"Thank you to @NancyOMalleyDA1 @ContraCostaDA @CCCdistrict3 and @Nate_Miley for joining me today to announce the funding we’ve secured to fight illegal dumping. The art put together by local children seen at the end of the video exemplifies the importance! #welivehere #caleg",,@NancyOMalleyDA1 @ContraCostaDA @CCCdistrict3 @Nate_Miley,#welivehere #caleg,1194753726130507777,https://twitter.com/BauerKahan/status/1194753726130507777
2019-11-07 18:34:56,BauerKahan,Jim_Hawley,0,0,2,"Amazing work being done @BerkeleyLab!",,@BerkeleyLab,,1192510763761405952,https://twitter.com/BauerKahan/status/1192510763761405952
2019-11-06 23:24:07,BauerKahan,BerkeleyLab,0,0,8,"Thanks for having me! @BerkeleyLab",,@BerkeleyLab,,1192221152992620545,https://twitter.com/BauerKahan/status/1192221152992620545
2019-11-05 18:32:14,BauerKahan,pleasantonpd,0,0,1,"Thank you, ASO Ayers!",,,,1191785306934009857,https://twitter.com/BauerKahan/status/1191785306934009857
2019-10-23 18:00:43,BauerKahan,,1,1,2,"I hope to see you tonight!",,,,1187066333168422912,https://twitter.com/BauerKahan/status/1187066333168422912
2019-10-23 16:30:34,BauerKahan,pleasantonpd,1,1,3,"Love this!",,,,1187043647872651269,https://twitter.com/BauerKahan/status/1187043647872651269
2019-10-22 17:25:18,BauerKahan,SierraClubCA,1,2,18,"Awesome! My A+ from the Sierra Club is one grade I'm very proud of. Committed to protecting our environment and addressing our climate crisis together!",,,,1186695032473960449,https://twitter.com/BauerKahan/status/1186695032473960449
2019-10-17 19:14:49,BauerKahan,,0,0,2,"“Tesla Park is worth saving for the benefit of all Californians.” Thank you to the @IndepNewspaper for understanding the gravity of the situation and the importance of my bill AB 1086.",,@IndepNewspaper,,1184910655662391296,https://twitter.com/BauerKahan/status/1184910655662391296
2019-10-17 18:10:43,BauerKahan,henrykleeKTVU,1,1,7,"Officer Henricksen will be remembered as a hero, proudly serving his community for many years and inspiring us in his fight against this terrible disease. My thoughts and prayers are with his loved ones and the entire @pleasantonpd family.",,@pleasantonpd,,1184894522364289024,https://twitter.com/BauerKahan/status/1184894522364289024
