date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-02 20:03:46,BillDoddCA,,2,1,6,"Our Democratic process benefited from having @amyklobuchar's voice in the race. I know she'll continue fighting for progress in Washington, D.C.",,@amyklobuchar,,1234570112906063872,https://twitter.com/BillDoddCA/status/1234570112906063872
2020-03-02 18:15:50,BillDoddCA,,0,0,0,"Live in Benicia and looking for ways to serve your community? Take a look at openings for local boards & commissions. Topics range from Arts, Sustainability, Historic Preservation, Libraries, Open Space, Housing, Planning & more. https://www.ci.benicia.ca.us/index.asp?SEC=168344BF-D432-4104-A49E-CCC4A509780B&amp;DE=9C9F472E-22C7-4EF2-9728-532CF27290C9&amp;Type=B_PR",,,,1234542951440642048,https://twitter.com/BillDoddCA/status/1234542951440642048
2020-03-02 18:04:37,BillDoddCA,AlexPadilla4CA,0,0,1,"The #Prop13SchoolBond on your March 3 ballot will allocate critical funding to repair and upgrade our local schools and public universities -- all without impacting our tax rates. Delaying would only increase our long-term costs. That's why I'm supporting this important measure.",,,#Prop13SchoolBond,1234540126857875459,https://twitter.com/BillDoddCA/status/1234540126857875459
2020-03-02 01:39:03,BillDoddCA,JoeBiden,1,3,6,"Election Day is Tuesday, March 3rd. Be sure to vote in this critical Primary Election. We need to choose the Democratic standard bearer who can win in November and get things done to advance equity, opportunity, sustainability & prosperity. That’s why I’m endorsing @JoeBiden.",,@JoeBiden,,1234292099228454912,https://twitter.com/BillDoddCA/status/1234292099228454912
2020-03-02 01:33:19,BillDoddCA,,0,0,8,"Thanks to @PeteButtigieg for his unflappable campaign and commitment to moving America forward. I know he’ll continue working to advance our Democratic values.",,@PeteButtigieg,,1234290655905452037,https://twitter.com/BillDoddCA/status/1234290655905452037
2020-02-28 23:06:33,BillDoddCA,SenBillDodd,1,1,0,"Thanks to everyone who came out to my Senior Issues Forum in Pleasant Hill today. If you weren't able to attend, you can check out the resource list on my website https://sd03.senate.ca.gov/senior-resources.",,,,1233528947708530689,https://twitter.com/BillDoddCA/status/1233528947708530689
2020-02-28 19:35:25,BillDoddCA,BillDoddCA,0,1,10,"Access to clean, affordable water is a human right, but too many low-income families face water shutoffs or choices between water and food or rent. @NextGen_Policy @LCJandA @policylink @CRLAFoundation @foodandwater @clcv @PCLeague @cejapower @CalRivers @WhollyH2o @LWVC @EJCW @ewg",,@NextGen_Policy @LCJandA @policylink @CRLAFoundation @foodandwater @clcv @PCLeague @cejapower @CalRivers @WhollyH2o @LWVC @EJCW @ewg,,1233475811837186048,https://twitter.com/BillDoddCA/status/1233475811837186048
2020-02-28 19:18:24,BillDoddCA,,0,4,7,"The @CaWaterBoards released its report required by my Low-Income Water Rate Assistance Act, detailing a plan to realize the guarantee of the human right to water in CA. Thanks to @NRDC @NRDCWater @cleanh2oca @cleanh2oaction @CWaterC @UCLALuskin &amp; others.",,@CaWaterBoards @NRDC @NRDCWater @cleanh2oca @cleanh2oaction @CWaterC @UCLALuskin,,1233471531868655616,https://twitter.com/BillDoddCA/status/1233471531868655616
2020-02-28 19:07:10,BillDoddCA,BillDoddCA,0,0,2,"You can learn more about visiting Jack London State Park here: https://jacklondonpark.com/. @calparks @Sonoma_Valley @jacklondonpark",,@calparks @Sonoma_Valley @jacklondonpark,,1233468704580460544,https://twitter.com/BillDoddCA/status/1233468704580460544
2020-02-28 17:43:32,BillDoddCA,,0,1,4,"Happy to be on hand to honor Tjiska Van Wyk for her 8 years as Executive Director of @jacklondonpark. She did incredible work to boost visitorship and improve the natural &amp; historic elements of the park. If you haven't been to Jack London State Park, check it out this weekend!",,@jacklondonpark,,1233447657613299712,https://twitter.com/BillDoddCA/status/1233447657613299712
2020-02-27 01:29:29,BillDoddCA,,1,0,4,"Proud to earn the @NapaRegister endorsement for re-election to the Senate. We've made progress over the last few years, but there's still much we need to accomplish and I'm eager to continue fighting to advance our region and all of CA.",,@NapaRegister,,1232840142148100101,https://twitter.com/BillDoddCA/status/1232840142148100101
2020-02-26 19:16:05,BillDoddCA,,0,2,3,"Hope to see you this Friday, 2/28 at 9:30AM at my Senior Issues Forum at the Pleasant Hill Senior Center. We'll have a panel of experts to discuss important services and resources. @PleasantHill_CA @PleasantHillRec @ChoiceinAging @CCCounty",,@PleasantHill_CA @PleasantHillRec @ChoiceinAging @CCCounty,,1232746171824660480,https://twitter.com/BillDoddCA/status/1232746171824660480
2020-02-26 18:51:48,BillDoddCA,SenBillDodd,1,0,2,"It's Eating Disorders Awareness Week. If you or a loved one are struggling, help is available. The NEDA Helpline is open Mons-Thurs 6am-6pm Pacific Time and Fridays 6am-2pm. To speak to a Helpline Volunteer live please call 800-931- 2237 or chat online at http://www.nationaleatingdisorders.org/helplinechat.",,,,1232740059847127040,https://twitter.com/BillDoddCA/status/1232740059847127040
2020-02-26 01:29:02,BillDoddCA,PPNorCalAction,0,1,5,"Standing with @PPNorCalAction &amp; @PPActionCA for women's reproductive rights is the right thing to do. I'll continue to make sure CA sets the national standard for putting women's health and rights first.",,@PPNorCalAction @PPActionCA,,1232477639761256449,https://twitter.com/BillDoddCA/status/1232477639761256449
2020-02-26 01:23:53,BillDoddCA,BillDoddCA,1,1,4,"CA is the fifth-largest economy in the world, and no woman in our state should go without top-notch maternity care. The disparity in outcomes for women & infants of color is absolutely unacceptable and my bill will help address that appalling disparity. #SB1237",,,#SB1237,1232476345759748097,https://twitter.com/BillDoddCA/status/1232476345759748097
2020-02-26 01:21:44,BillDoddCA,,1,1,10,"I introduced #SB1237 to improve access to high-quality maternity care. Nurse-Midwives improve outcomes for mothers and babies, especially those in rural or inner-city settings. Thanks to coauthor @AsmAutumnBurke, @cnmamidwives &amp; @BW4WLA",,@AsmAutumnBurke @cnmamidwives @BW4WLA,#SB1237,1232475802995838976,https://twitter.com/BillDoddCA/status/1232475802995838976
2020-02-24 22:11:14,BillDoddCA,,0,2,6,"It's Eating Disorders Awareness Week. 30 million Americans suffer from an eating disorder at some point in their lives. Join @fionama, @NEDAstaff, @CieloHouse, @EDRCSV &amp; me in raising awareness, so we can help connect people with resources &amp; support.",,@fionama @NEDAstaff @CieloHouse @EDRCSV,,1232065474935975936,https://twitter.com/BillDoddCA/status/1232065474935975936
2020-02-20 19:32:14,BillDoddCA,,0,0,6,"Working with @CMUA_Tweets in introducing a new bill to ensure critical facilities continue to operate in the event of a power outage. We need to make sure that public health and safety are protected.",,@CMUA_Tweets,,1230575909641474048,https://twitter.com/BillDoddCA/status/1230575909641474048
2020-02-20 01:02:15,BillDoddCA,,0,0,1,"",,,,1230296574288228352,https://twitter.com/BillDoddCA/status/1230296574288228352
2020-02-19 19:24:59,BillDoddCA,,1,0,2,".@GavinNewsom's #StateOfTheState made clear that he's committed to addressing our key issues, especially housing &amp; homelessness. He's demonstrated the vision, values &amp; vigor to get the job done. CA is an enterprising, pluralizing state of dreamers &amp; doers.",,@GavinNewsom,#StateOfTheState,1230211697354215424,https://twitter.com/BillDoddCA/status/1230211697354215424
