date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-02 23:28:21,BuffyWicks,dailycal,5,33,66,"Honored to be endorsed by the @DailyCal! ""Only one candidate for CA State Assembly for #AD15 has her plans all laid out—&amp; they range from fighting homelessness &amp; rising housing costs, to protecting against climate change. @BuffyWicks is the only candidate fit for this position.""",,@dailycal @BuffyWicks,#AD15,1234621598851747840,https://twitter.com/BuffyWicks/status/1234621598851747840
2020-03-01 23:36:20,BuffyWicks,,0,1,21,"And a big shout out to my dear friends @LarryGrisolano @benensonj @SonalRShah @mhalle @ceciliacabello @miamatier and others on #TeamPete. Extraordinary job and such a talented candidate and team. Thank you for putting your heart and soul into helping move this nation forward.",,@LarryGrisolano @benensonj @SonalRShah @mhalle @ceciliacabello @miamatier,#TeamPete,1234261219353120768,https://twitter.com/BuffyWicks/status/1234261219353120768
2020-03-01 23:35:13,BuffyWicks,,2,7,80,"Mayor Pete is a uniquely talented and gifted young man and I hope we see much more of him in the coming years.",,,,1234260936782778368,https://twitter.com/BuffyWicks/status/1234260936782778368
2020-02-27 22:34:48,BuffyWicks,nytimes,12,197,364,"Playing politics with public health is completely unacceptable — but then again, gagging doctors and scientists is standard operating procedure for this president and his corrupt administration. Let the experts speak without restraint. #COVID19",,,#COVID19,1233158570964766721,https://twitter.com/BuffyWicks/status/1233158570964766721
2020-02-15 22:13:27,BuffyWicks,,1,28,29,"It's critical we abide by these principles while pursuing environmental justice. Because—if we truly want equitable policies to improve health & environ justice in CA—they *must* be informed by the communities most impacted by our state's shameful legacy of environ. *injustice*.",,,,1228804540020867072,https://twitter.com/BuffyWicks/status/1228804540020867072
2020-02-15 22:13:26,BuffyWicks,,2,26,44,"When it comes to issues of environmental justice—I'm committed to ensuring my votes: prioritize the value of human health &amp; well-being are informed by engagement w/local EJ experts remain responsive to local community concerns take an intersectional &amp; inclusive approach",,,,1228804539261734912,https://twitter.com/BuffyWicks/status/1228804539261734912
2020-02-15 22:13:26,BuffyWicks,cejapower,2,40,60,"Honored to receive a 100% in @cejapower's Environ. Justice Scorecard! I'm committed to continuing to fight alongside our local EJ activists — to confront CA's legacy of disproportionally placing high polluting sites &amp; projects in low-income communities &amp; in communities of color.",,@cejapower,,1228804538049519616,https://twitter.com/BuffyWicks/status/1228804538049519616
2020-02-14 05:29:30,BuffyWicks,,2,31,66,"We've already made some very real change. Let’s stay resolute knowing we *will* end this epidemic—& we *will* beat the NRA into oblivion. I discuss gun violence prevention w/my husband @PeterMAmbler—ED of @GiffordsCourage—on today’s #LookWest pod. Listen ",,@PeterMAmbler @GiffordsCourage,#LookWest,1228189503505850368,https://twitter.com/BuffyWicks/status/1228189503505850368
2020-02-14 05:29:30,BuffyWicks,,1,34,106,"3 yrs ago, @PeterMAmbler &amp; I became parents. We remain as resolute as ever to do all we possibly can to keep our daughter—&amp; all kids—safe from gun violence. So when the day comes &amp; she asks—we’ll be able to tell her—when kids were dying in schools, we acted. We *did* something.",,@PeterMAmbler,,1228189502641819649,https://twitter.com/BuffyWicks/status/1228189502641819649
2020-02-14 05:29:28,BuffyWicks,,4,150,261,"2 yrs ago, 14 students & 3 staff were murdered in a senseless act of gun violence at Stoneman Douglas HS. 7 yrs ago, 20 children & 6 staff were killed at Sandy Hook. And it’s now been 9 yrs since Gabby Giffords & 18 others were shot in an AZ parking lot. https://podcasts.apple.com/us/podcast/thoughts-and-prayers-are-not-enough/id1352051443?i=1000465532972",,,,1228189494626533379,https://twitter.com/BuffyWicks/status/1228189494626533379
2020-02-13 06:59:37,BuffyWicks,,2,45,74,"This in-depth investigative report by @a_mendelson for @KPCC/@LAist—is an infuriating &amp; heartbreaking illustration of why CA needs a statewide rental registry. I was disappointed my registry bill failed last yr—but I’m reintroducing it. Let’s get it done.",,@a_mendelson @KPCC @LAist,,1227849792824336384,https://twitter.com/BuffyWicks/status/1227849792824336384
2020-02-12 19:20:42,BuffyWicks,,3,43,98,"In 2013, @PeterMAmbler &amp; I worked together trying to pass univ background checks. It didn't pass⁠—but we met!—&amp; we fell in love. We’re now married, w/a beautiful daughter, states have passed &gt;300 gun safety laws—&amp; we keep working. Listen to our story on tomorrow’s #LookWest! https://twitter.com/AssemblyDems/status/1226331186039083008",,@PeterMAmbler,#LookWest,1227673903297773569,https://twitter.com/BuffyWicks/status/1227673903297773569
2020-02-11 06:11:03,BuffyWicks,DavidChiu,9,54,156,"It’s the year 2020—there’s absolutely no excuse for the Bay Area, an unquestioned world leader when it comes to technological innovation—to not yet have a seamless, integrated public transit system. One simple card to rule them all. Is that too much to ask for? I don’t think so",,,,1227112795889528833,https://twitter.com/BuffyWicks/status/1227112795889528833
2020-02-09 05:47:51,BuffyWicks,loridroste,0,0,7," ",,,,1226382180823134209,https://twitter.com/BuffyWicks/status/1226382180823134209
2020-02-06 17:30:48,BuffyWicks,margotroosevelt,0,0,1,"In California, we are #UnionStrong! @CaliforniaLabor ",,@CaliforniaLabor,#UnionStrong,1225471921522741248,https://twitter.com/BuffyWicks/status/1225471921522741248
2020-02-06 16:33:17,BuffyWicks,ElastigirlVotes,1,2,8,"Omg — want.",,,,1225457447147454465,https://twitter.com/BuffyWicks/status/1225457447147454465
2020-02-06 12:55:35,BuffyWicks,davidsting414,0,1,2,".@DevinCow -- you?",,@DevinCow,,1225402660548833282,https://twitter.com/BuffyWicks/status/1225402660548833282
2020-02-06 06:48:33,BuffyWicks,,7,157,267,"Fortunately, ""women around the world are running for ofc in unprecedented numbers—& winning."" With greater gender parity, legislatures are more likely to: - find common ground - make investments in ed. & health - advance equality #RepresentationMatters",,,#RepresentationMatters,1225310292550139904,https://twitter.com/BuffyWicks/status/1225310292550139904
2020-02-06 06:48:33,BuffyWicks,,2,76,116,"Unfortunately, lack of gender parity in legislatures is a global issue. A recent study released by @CFR_org looked at legislatures in 193 countries. Just four have women in at least 50% of their legislature's seats—4 of 193—2.1%. The US ranks 76th—women make up 24% of Congress.",,@CFR_org,,1225310290704683008,https://twitter.com/BuffyWicks/status/1225310290704683008
2020-02-06 06:46:22,BuffyWicks,,3,115,171,"Nationally, we do an even worse job of ensuring women of color are represented in state legislatures. There are 2,142 women state legislators. Just 538—25.1%—are women of color. Women of color constitute just 7.3% of state legislators in America.@CAWP_RU",,@CAWP_RU,,1225309741942861824,https://twitter.com/BuffyWicks/status/1225309741942861824
