date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-02 17:47:26,CallMeCassieD,,0,9,15,"""Socialism is the people. If you’re afraid of socialism, you’re afraid of yourself."" -Fred Hampton, Deputy Chairman of the Black Panther Party",,,,1234535803570683909,https://twitter.com/CallMeCassieD/status/1234535803570683909
2020-03-02 00:31:03,CallMeCassieD,,0,2,3,"“There was this immense police presence and they were militarized. I’ve been part of an occupying force in a foreign country, and I know what that looks like. That’s what I saw in Brooklyn – an occupying force.” -Chelsea Manning",,,,1234274988456177665,https://twitter.com/CallMeCassieD/status/1234274988456177665
2020-02-29 16:05:40,CallMeCassieD,camilala_g,1,0,1,"Thank you so much! I really appreciate that.",,,,1233785416400003074,https://twitter.com/CallMeCassieD/status/1233785416400003074
2020-02-29 04:07:14,CallMeCassieD,Badtzmaru51,0,0,0,"I wrote it. During the time I was there the turnout was quite small, so I didn't get to deliver it. Was more of a progressive than a revolution potluck, tbh",,,,1233604615813378048,https://twitter.com/CallMeCassieD/status/1233604615813378048
2020-02-28 19:54:23,CallMeCassieD,,2,2,2,"Revolution comes from the bottom up, not the top down!",,,,1233480585634557953,https://twitter.com/CallMeCassieD/status/1233480585634557953
2020-02-24 20:42:13,CallMeCassieD,,0,0,2,"Flint still has no clean drinking water.",,,,1232043071237509123,https://twitter.com/CallMeCassieD/status/1232043071237509123
2020-02-24 16:34:20,CallMeCassieD,,0,0,0,"https://www.cbc.ca/amp/1.5473490?fbclid=IwAR0H1Pj2zM12Thwt1XdVElPRWtQiSUBCDNM8IACRG6p2MP-NJVzcRjebH5Y&amp;__twitter_impression=true",,,,1231980692537565190,https://twitter.com/CallMeCassieD/status/1231980692537565190
2020-02-23 20:34:43,CallMeCassieD,nspyraishn,0,0,0,"Thank you so much! I'm honored!",,,,1231678796358533120,https://twitter.com/CallMeCassieD/status/1231678796358533120
2020-02-23 16:18:00,CallMeCassieD,,0,1,0,"A speech I wrote to deliver in Vallejo: https://bit.ly/39Uw1Sz",,,,1231614192429305856,https://twitter.com/CallMeCassieD/status/1231614192429305856
2020-02-22 17:28:27,CallMeCassieD,,0,0,1,"Okay but... and hear me out there.... who gives even half a fig? So cynical, so manipulative.",,,,1231269533983227904,https://twitter.com/CallMeCassieD/status/1231269533983227904
2020-02-18 17:51:30,CallMeCassieD,,0,0,0,"",,,,1229825781947392000,https://twitter.com/CallMeCassieD/status/1229825781947392000
2020-02-18 14:23:20,CallMeCassieD,,0,0,1,"Just a few thoughts as I head in for jury duty.",,,,1229773397170757633,https://twitter.com/CallMeCassieD/status/1229773397170757633
2020-02-18 14:20:59,CallMeCassieD,Tragedy_Farce,0,0,0,"Thank you! I'm honored!",,,,1229772803991318530,https://twitter.com/CallMeCassieD/status/1229772803991318530
2020-02-18 14:13:39,CallMeCassieD,,1,0,1,"People unhoused because rent is too high, people dying because they can't afford medicine, slaves toiling in for-profit prisons... all legal, all criminal. There are higher laws.",,,,1229770959105724416,https://twitter.com/CallMeCassieD/status/1229770959105724416
2020-02-18 13:20:25,CallMeCassieD,,1,0,1,"Undocumented people here in the U.S. are breaking the immigration laws, the people who stole this land, the imperialists who have ravaged Mexico, Central America, South America are the criminals.",,,,1229757561248739328,https://twitter.com/CallMeCassieD/status/1229757561248739328
2020-02-18 13:14:31,CallMeCassieD,,1,1,1,"“Knowledge is knowing that Frankenstein is not the monster. Wisdom is knowing that Frankenstein is” -Anon The person who steals is the ""lawbreaker"", the billionaires profiting from and maintaining the system that keeps them in poverty are the criminals.",,,,1229756079019446277,https://twitter.com/CallMeCassieD/status/1229756079019446277
2020-02-15 21:41:00,CallMeCassieD,,0,1,0,"An illustration of the problem with ""vote blue no matter who.""",,,,1228796377418723329,https://twitter.com/CallMeCassieD/status/1228796377418723329
2020-02-15 20:11:28,CallMeCassieD,,0,2,1,"Capitalism, folks. ""Health crisis, people dying... here's how you can cash in!""",,,,1228773843898007552,https://twitter.com/CallMeCassieD/status/1228773843898007552
2020-02-15 18:48:04,CallMeCassieD,TKOakCWL,0,0,1,"The message is a show of military.... let's not call it militarized, straight up military.... force. The people will demonstrate -- as in demonstrate poor/working class/oppressed people power. Like Boots Riley sang, ""We got hella people, they got helicopters.""",,,,1228752855382646784,https://twitter.com/CallMeCassieD/status/1228752855382646784
2020-02-14 22:55:06,CallMeCassieD,,0,1,0,"This will not stop the people from defending our own. ICE IS NOT WELCOME HERE OR ANYWHERE.",,,,1228452637093220352,https://twitter.com/CallMeCassieD/status/1228452637093220352
2020-02-11 18:59:01,CallMeCassieD,,0,0,2,"My campaign has completed the @ballotpedia survey.",,@ballotpedia,,1227306059615920128,https://twitter.com/CallMeCassieD/status/1227306059615920128
2020-02-09 15:28:40,CallMeCassieD,SacTenantsUnion,0,1,4,"Keep the word, help people consider its implications.",,,,1226528348567851009,https://twitter.com/CallMeCassieD/status/1226528348567851009
