date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-28 16:13:53,DaveCortese,,1,3,7,"New Vote Centers Open For Santa Clara County Primaries https://indiacurrents.com/new-vote-centers-open-starting-february-22-for-march-3-2020-presidential-primary-election/ via @indiacurrents",,@IndiaCurrents,,1233425097488097280,https://twitter.com/DaveCortese/status/1233425097488097280
2020-02-28 06:08:49,DaveCortese,,0,0,5,"Santa Clara County reaches deal with union, averts strike",,,,1233272824061579265,https://twitter.com/DaveCortese/status/1233272824061579265
2020-02-27 05:38:31,DaveCortese,,0,1,1,"Will Little Italy San Jose get left behind amid downtown growth?",,,,1232902811353939968,https://twitter.com/DaveCortese/status/1232902811353939968
2020-02-26 05:12:15,DaveCortese,,0,1,5,"Supes Approve Team To Remove Guns From Allegedly Dangerous Residents - SFGate",,,,1232533816540946432,https://twitter.com/DaveCortese/status/1232533816540946432
2020-02-24 05:58:56,DaveCortese,,1,0,1,"Social Workers Say Foster Children And Family Services Struggling Due To Lack Of County Support - SFGate",,,,1231820785691447299,https://twitter.com/DaveCortese/status/1231820785691447299
2020-02-22 00:47:26,DaveCortese,,1,0,7,"Letter: Retired jurist supports Cortese for state Senate",,,,1231017618716315649,https://twitter.com/DaveCortese/status/1231017618716315649
2020-02-20 17:44:01,DaveCortese,,1,1,2,"Climate Restoration: Save the Arctic and the Earth (Cupertino) : Indybay",,,,1230548677300649990,https://twitter.com/DaveCortese/status/1230548677300649990
2020-02-08 15:53:48,DaveCortese,,0,0,6,"A hot summer in Antarctica — wake up, world @JohnDiazChron The temperature reached 65 degrees on Antarctica’s Trinity Peninsula on Thursday, the warmest ever recorded on a continent that is typically the most frigid place on Earth. How much greater of a warning do we need?",,@JohnDiazChron,,1226172282579472385,https://twitter.com/DaveCortese/status/1226172282579472385
2020-02-05 15:25:53,DaveCortese,,0,0,2,"You've got mail: Election ballots sent to registered Santa Clara County voters - San José Spotlight",,,,1225078096904110080,https://twitter.com/DaveCortese/status/1225078096904110080
2020-02-03 14:31:06,DaveCortese,,0,0,6,"Chavez: We must double down on our affordable housing investment - San José Spotlight",,,,1224339534604718081,https://twitter.com/DaveCortese/status/1224339534604718081
2020-01-29 18:23:01,DaveCortese,,0,0,2,"Santa Clara County Board Approves Homeless Task Force – NBC Bay Area",,,,1222585957309763584,https://twitter.com/DaveCortese/status/1222585957309763584
2020-01-29 00:10:42,DaveCortese,,0,0,2,"Santa Clara County Board Considers Homeless Task Force – NBC Bay Area https://www.nbcbayarea.com/news/local/santa-clara-county-board-considers-homeless-task-force/2222108/?amp",,,,1222311068430585857,https://twitter.com/DaveCortese/status/1222311068430585857
2020-01-28 22:25:29,DaveCortese,,0,1,8,"The Board of Supervisors unanimously approved my call to action on transitional shelter across the County. Thank you to the hundreds of community members who made this happen. Visit the report: https://tinyurl.com/DCD3report2",,,,1222284588673687552,https://twitter.com/DaveCortese/status/1222284588673687552
2020-01-28 18:15:42,DaveCortese,,0,1,4,"At today’s board meeting I’m asking my colleagues on the board to support a range of initiatives that came out of the Community Summit on Homelessness I convened in September 2019 including a Homeless (Houseless) Task Force focused on immediate transitional housing needs.",,,,1222221728073404416,https://twitter.com/DaveCortese/status/1222221728073404416
2020-01-27 15:12:47,DaveCortese,,0,1,5,"Letter: Plan will raise transitional shelter options now – The Mercury News",,,,1221813309503967232,https://twitter.com/DaveCortese/status/1221813309503967232
2020-01-24 01:54:48,DaveCortese,,0,0,2,"Santa Clara County Floats Universal Basic Income Proposal for Foster Youth | San Francisco Public Press https://sfpublicpress.org/news/2020-01/santa-clara-county-floats-universal-basic-income-proposal-for-foster-youth",,,,1220525326083608576,https://twitter.com/DaveCortese/status/1220525326083608576
2020-01-16 15:31:49,DaveCortese,,0,3,5,"Santa Clara County, Earth Day Network, and Foundation for Climate Restoration Announce Launch of ""Local Governments for Climate Restoration"" Campaign",,,,1217831830151254016,https://twitter.com/DaveCortese/status/1217831830151254016
2020-01-15 15:16:54,DaveCortese,,0,1,5,"Santa Clara County explores funding for “safe parking” sites",,,,1217465691248267264,https://twitter.com/DaveCortese/status/1217465691248267264
2020-01-14 15:06:47,DaveCortese,,0,4,9,"Supervisor wants to build county's first permanent housing for domestic violence survivors",,,,1217100756077051905,https://twitter.com/DaveCortese/status/1217100756077051905
2020-01-14 15:02:26,DaveCortese,,0,1,4,"Santa Clara County considers $1,000 monthly payment to youth transitioning out of foster care | KTVU FOX 2",,,,1217099660793303040,https://twitter.com/DaveCortese/status/1217099660793303040
2020-01-13 15:27:17,DaveCortese,,0,0,3,"This Bay Area county is eyeing basic income for foster youth",,,,1216743527519944704,https://twitter.com/DaveCortese/status/1216743527519944704
