date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-01 02:20:37,DavidChiu,,8,42,165,"Hey SF I’ll be in North Beach at 9am tomorrow to get out the vote for Elizabeth Warren. Join us! https://www.mobilize.us/californiaforwarren/event/217598/",,,,1233940174066683904,https://twitter.com/DavidChiu/status/1233940174066683904
2020-03-01 00:04:35,DavidChiu,,9,1,157,"Despite all that's happening in the world, can't be happier to celebrate my son's 1st real birthday today on Leap Day. Can't really call him #BabyLucas anymore, now that 4 years have passed. (And my wife is an incredible baker of cakes.)",,,#BabyLucas,1233905939050156032,https://twitter.com/DavidChiu/status/1233905939050156032
2020-02-29 23:34:27,DavidChiu,,6,17,53,"As coronavirus fears have intensified, incidents of violence & discrimination against Chinese Americans have increased. Joined hundreds of San Franciscans marching in Chinatown today to protest prejudice and racial profiling. #TogetherWeStand #StandWithChinatown",,,#TogetherWeStand #StandWithChinatown,1233898356469972992,https://twitter.com/DavidChiu/status/1233898356469972992
2020-02-29 17:14:03,DavidChiu,,4,34,95,"While there have been zero confirmed coronavirus cases among San Francisco residents, our Chinatown small businesses have been severely hurt by rumors & xenophobia. Please support Chinatown during these times. #ShopChinatown #DineWithChinatown",,,#ShopChinatown #DineWithChinatown,1233802624924733442,https://twitter.com/DavidChiu/status/1233802624924733442
2020-02-28 22:56:16,DavidChiu,,1,1,6,"Healthy doctors = healthy patients and communities. I stand with resident physicians and support the ​#ResidentBillofRights.​ It’s time we take care of the people who take care of us all. @CIRSEIU @ACGME #ANewRealityNow",,@cirseiu @acgme,#ResidentBillofRights #ANewRealityNow,1233526358329810944,https://twitter.com/DavidChiu/status/1233526358329810944
2020-02-27 23:08:21,DavidChiu,,2,13,22,"Today we announced a bill to increase college readiness & ensure all CA students have a pathway to college. Access to college shouldn't be determined by your zip code or who your parents are. Every student should have the same opportunity to pursue higher education.",,,,1233167011670183936,https://twitter.com/DavidChiu/status/1233167011670183936
2020-02-26 18:48:33,DavidChiu,,2,5,21,"Please join @PhilTing, @NormanYeeSF &amp; I to get out the API vote for @ewarren tomorrow in SF! Senator Warren is the voice we need in the White House. She is tough, smart &amp; will fight for all of our communities. Learn more: https://events.elizabethwarren.com/event/250178/",,@PhilTing @NormanYeeSF @ewarren,,1232739241941073920,https://twitter.com/DavidChiu/status/1232739241941073920
2020-02-25 19:28:39,DavidChiu,,0,0,5,"Really proud of my friend @Libby_Margaret for receiving a prestigious 2020 @IrvineFnd Leadership Award for her incredible work with @MyPathUS, powering youth potential &amp; seeding economic mobility.",,@libby_margaret @MyPathUS,,1232386946921447426,https://twitter.com/DavidChiu/status/1232386946921447426
2020-02-24 22:15:27,DavidChiu,,9,19,108,"Today we’re announcing a bill to reduce impact fees on affordable housing. When it costs upwards of $800,000 to build a single unit of affordable housing, we have to do whatever we can to bring down the cost.",,,,1232066536031965184,https://twitter.com/DavidChiu/status/1232066536031965184
2020-02-22 20:45:19,DavidChiu,,1,1,9,"Observing my first presidential caucus (in Nevada): It's a very odd democratic tradition whose time has probably come and gone.",,,,1231319077391499264,https://twitter.com/DavidChiu/status/1231319077391499264
