date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-02 03:39:30,EastBayAlexis,rometalmom,0,0,1,"Thank you, Rochelle!",,,,1234322414596542464,https://twitter.com/EastBayAlexis/status/1234322414596542464
2020-02-28 06:25:09,EastBayAlexis,ElishaCrader,0,0,0," ",,,,1233276936048168960,https://twitter.com/EastBayAlexis/status/1233276936048168960
2020-02-27 18:00:47,EastBayAlexis,ella_daniela,1,1,2,"Let’s make it free",,,,1233089610219020289,https://twitter.com/EastBayAlexis/status/1233089610219020289
2020-02-25 19:56:05,EastBayAlexis,toleranceleft,0,0,0,"Bookmarking this",,,,1232393851945377792,https://twitter.com/EastBayAlexis/status/1232393851945377792
2020-02-21 19:21:51,EastBayAlexis,BettyKPIX,1,44,77,"Cancer-causing chem found under McClymonds High in Oakland. Misty Cross of @moms4housing, a McClymonds High graduate, calls official's lack of preparation ""an insult to everybody."" VIDEO:",,@moms4housing,,1230935683360931840,https://twitter.com/EastBayAlexis/status/1230935683360931840
2020-02-21 19:03:13,EastBayAlexis,BettyKPIX,0,1,3,"That's Misty Cross of @moms4housing! ",,@moms4housing,,1230930995542511616,https://twitter.com/EastBayAlexis/status/1230930995542511616
2020-02-19 02:20:06,EastBayAlexis,ElishaCrader,1,0,1,"Hang in there — Hayward needs you!",,,,1229953775378395136,https://twitter.com/EastBayAlexis/status/1229953775378395136
2020-02-18 22:08:49,EastBayAlexis,eastbaycitizen,0,0,0,"Yikes @ProChoiceCA @EBDSASocFem have you seen this?",,@ProChoiceCA @EBDSASocFem,,1229890538733625344,https://twitter.com/EastBayAlexis/status/1229890538733625344
2020-02-18 06:30:12,EastBayAlexis,Jon_Jacobo,0,1,8,"I'm a Latino and I support @BernieSanders. Pass it on. #UnidosConBernie",,@BernieSanders,#UnidosConBernie,1229654330145247232,https://twitter.com/EastBayAlexis/status/1229654330145247232
2020-02-17 06:23:49,EastBayAlexis,ElishaCrader,1,0,2,"oof, I feel this one ",,,,1229290333000744961,https://twitter.com/EastBayAlexis/status/1229290333000744961
2020-02-16 22:32:04,EastBayAlexis,AmodeiLacei,0,0,2," Thank you, Lacei! So grateful to be working alongside you and @ElishaCrader!",,@ElishaCrader,,1229171612756234241,https://twitter.com/EastBayAlexis/status/1229171612756234241
2020-02-15 20:28:28,EastBayAlexis,RegularKenM,0,0,0,"Thank you!",,,,1228778123312783360,https://twitter.com/EastBayAlexis/status/1228778123312783360
2020-02-15 03:33:03,EastBayAlexis,FranciscZermeno,0,0,0,"Thank you, Councilmember!",,,,1228522585744269316,https://twitter.com/EastBayAlexis/status/1228522585744269316
2020-02-15 03:32:19,EastBayAlexis,ItIsOurCorn,0,0,0,"Thank you!",,,,1228522399575900160,https://twitter.com/EastBayAlexis/status/1228522399575900160
