date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-02 19:59:15,Evan_Low,JeremyBWhite,2,1,13,"i’m a democrat. i follow my . these trailbrazers have made american history as “firsts” in their own right. they may have been “firsts” but they won’t be the last. ",,,,1234568973049450498,https://twitter.com/Evan_Low/status/1234568973049450498
2020-03-02 00:53:09,Evan_Low,,2,12,226,"#ThankYouPete for making history. I know your public service will continue. ",,,#ThankYouPete,1234280549549846529,https://twitter.com/Evan_Low/status/1234280549549846529
2020-03-01 20:54:56,Evan_Low,,8,14,119,"Way to bring the state together along with our one and only @KamalaHarris to support you for San Diego Mayor, @ToddGloria !! #forallofus #toddgloria",,@KamalaHarris @ToddGloria,#forallofus #toddgloria,1234220601008508929,https://twitter.com/Evan_Low/status/1234220601008508929
2020-03-01 17:07:54,Evan_Low,,3,1,18,"Thank you @RoKhanna for being a strong advocate for inclusion and diversity. @eqca @HRC @BAYMEC @NCLRights @TransEquality",,@RoKhanna @eqca @HRC @BAYMEC @NCLRights @TransEquality,,1234163463884173312,https://twitter.com/Evan_Low/status/1234163463884173312
2020-02-29 20:43:27,Evan_Low,,9,61,331,"It is a privilege to serve. I will continue to work hard to earn your trust. I am up for election to the California State Assembly every two years. Please vote March 3rd!",,,,1233855321677815808,https://twitter.com/Evan_Low/status/1233855321677815808
2020-02-29 01:44:30,Evan_Low,,3,2,22,"Thank you to the hardworking members of the SEIU #AsianPacificIslanderCaucus @SEIU @SEIU521 @seiucalifornia @APALAnational",,@SEIU @SEIU521 @seiucalifornia @APALAnational,#AsianPacificIslanderCaucus,1233568697953873920,https://twitter.com/Evan_Low/status/1233568697953873920
2020-02-26 14:51:06,Evan_Low,NBCAsianAmerica,6,140,539,"@PeteButtigieg and his team are deeply committed to advancing the needs of the AAPI community and will continue to earn the trust of ALL communities.",,@PeteButtigieg,,1232679489299070982,https://twitter.com/Evan_Low/status/1232679489299070982
2020-02-24 22:35:08,Evan_Low,,25,24,147,"“It’s time for our generation to define a new social contract,” #MarkZuckerberg At @Harvard in 2017— “We Should Explore Ideas Like Universal Basic Income” #ubi #AB2172 #CaliforniaUBI https://youtu.be/AYjDIFrY9rc",,@Harvard,#MarkZuckerberg #ubi #AB2172 #CaliforniaUBI,1232071490092158977,https://twitter.com/Evan_Low/status/1232071490092158977
2020-02-24 00:08:13,Evan_Low,ronnychieng,0,0,1,"#represent ",,,#represent,1231732527640875008,https://twitter.com/Evan_Low/status/1231732527640875008
2020-02-23 16:05:03,Evan_Low,SenateHertzberg,0,0,0,"kudos @BenAllenCA and @SenateHertzberg ",,@BenAllenCA @SenateHertzberg,,1231610934801494016,https://twitter.com/Evan_Low/status/1231610934801494016
2020-02-23 01:33:41,Evan_Low,,16,8,66,"As we went door to door, voters in Orange County are excited to re-elect you, Assemblymember @AsmCottie ! I am fortunate to work with you in the legislature, @VoteCottie . #VoteBlue",,@AsmCottie @VoteCottie,#VoteBlue,1231391647469981696,https://twitter.com/Evan_Low/status/1231391647469981696
2020-02-21 16:46:27,Evan_Low,,387,1914,7871,"I’ve just introduced Assembly Bill 2712- California Universal Basic Income (UBI).. Continuing your work, @AndrewYang . #HumanityFirst #UBI http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB2712",,@AndrewYang,#HumanityFirst #UBI,1230896577650163712,https://twitter.com/Evan_Low/status/1230896577650163712
2020-02-21 00:10:16,Evan_Low,SVLeadershipGrp,3,1,22,"We are part of the @CarlGuardino fan club. @Scott_Wiener @DavidChiu",,@CarlGuardino @Scott_Wiener @DavidChiu,,1230645877250785280,https://twitter.com/Evan_Low/status/1230645877250785280
2020-02-19 16:43:29,Evan_Low,AssemblyDems,12,2,45,"I hope Governor @GavinNewsom will help us reimagine how we tackle homelessness as THE top priority for us.",,@GavinNewsom,,1230171054863073280,https://twitter.com/Evan_Low/status/1230171054863073280
2020-02-19 16:06:33,Evan_Low,CNNPR,6,16,160,"My favorite Andrews as @CNN commentators. @AndrewYang @AndrewGillum .",,@CNN @AndrewYang @AndrewGillum,,1230161759622746112,https://twitter.com/Evan_Low/status/1230161759622746112
2020-02-18 16:16:34,Evan_Low,nowthisnews,0,0,2,"Thank you for being such a champion on increasing voter participation, @kevinmullin . Generations of Californians will have you to thank.",,@kevinmullin,,1229801890893811712,https://twitter.com/Evan_Low/status/1229801890893811712
2020-02-17 18:55:49,Evan_Low,DrK_Wilkinson,1,0,3,"these letters are helpful, so thanks to you and so many other @MomsDemand ",,@MomsDemand,,1229479581301624837,https://twitter.com/Evan_Low/status/1229479581301624837
2020-02-16 01:55:08,Evan_Low,,8,46,257,"How @AndrewYang Handled His Asian-American Identity on the Campaign Trail",,@AndrewYang,,1228860329242714113,https://twitter.com/Evan_Low/status/1228860329242714113
2020-02-14 22:57:48,Evan_Low,VickyNguyenTV,3,3,16,"Thx for your in-depth reporting on this, @VickyNguyenTV. Truly. Take a look at legislation I am doing this year as a follow up once we learned about the unscrupulous practices that have priotized profits over patients. http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB1998",,@VickyNguyenTV,,1228453315614109696,https://twitter.com/Evan_Low/status/1228453315614109696
2020-02-14 22:16:57,Evan_Low,EricQuachSpeaks,1,0,14,"happy valentine’s day!",,,,1228443035417006080,https://twitter.com/Evan_Low/status/1228443035417006080
2020-02-14 06:04:33,Evan_Low,gkremen,0,0,3,"Thank you for believing and standing with the #yanggang, Gary! ",,,#yanggang,1228198320683700224,https://twitter.com/Evan_Low/status/1228198320683700224
2020-02-14 05:48:18,Evan_Low,TheIceMonkey72,5,0,8,"Vote #Present",,,#Present,1228194231505698818,https://twitter.com/Evan_Low/status/1228194231505698818
2020-02-14 04:01:42,Evan_Low,,12,67,420,"Shout out to you @gkremen from @AndrewYang and Evelyn Yang. Thanks for being part of the #YangGang! ",,@gkremen @AndrewYang,#YangGang,1228167404796051457,https://twitter.com/Evan_Low/status/1228167404796051457
2020-02-14 02:57:05,Evan_Low,,79,205,1496,"Who is @AndrewYang going to endorse for president?",,@AndrewYang,,1228151142774820865,https://twitter.com/Evan_Low/status/1228151142774820865
2020-02-13 22:41:52,Evan_Low,,8,4,43,"Valentine’s day vibes from #PlannedParenthood ! @PPActionCA @PPact Thank you for the amazing work you do.",,@PPActionCA @PPact,#PlannedParenthood,1228086916865654785,https://twitter.com/Evan_Low/status/1228086916865654785
2020-02-13 02:54:25,Evan_Low,MikeDelMoro,1,0,9,"yes!!",,,,1227788087444422657,https://twitter.com/Evan_Low/status/1227788087444422657
2020-02-12 18:46:29,Evan_Low,Skymorality01,0,0,6,"thank you ",,,,1227665295373824001,https://twitter.com/Evan_Low/status/1227665295373824001
2020-02-12 17:52:50,Evan_Low,AndrewYang,95,102,821,"Have a message for @AndrewYang? Or just want to send thanks? I’m headed to Nevada and will share with Andrew and our #YangGang . Our campaign has deep appreciation and gratitude.",,@AndrewYang,#YangGang,1227651792382521345,https://twitter.com/Evan_Low/status/1227651792382521345
2020-02-12 05:59:29,Evan_Low,kimmythepooh,0,4,23,"the journey continues.. #YangGangForever",,,#YangGangForever,1227472269464801280,https://twitter.com/Evan_Low/status/1227472269464801280
2020-02-12 02:41:33,Evan_Low,briflys,1,1,16,"i am with u brother. thank u for being u brian",,,,1227422459189579776,https://twitter.com/Evan_Low/status/1227422459189579776
2020-02-12 02:40:07,Evan_Low,jonmchu,0,2,17,"much appreciated @jonmchu . we’ll see more of andrew very soon! ",,@jonmchu,,1227422098068365312,https://twitter.com/Evan_Low/status/1227422098068365312
2020-02-12 01:29:44,Evan_Low,,12,127,1027,"Thank you for answering the call to public service, @AndrewYang . Grateful to you. Much love to our amazing #YangGang family. #AndrewYang",,@AndrewYang,#YangGang #AndrewYang,1227404385744871425,https://twitter.com/Evan_Low/status/1227404385744871425
2020-02-11 16:54:39,Evan_Low,gretchen_v,0,1,9,"thank u for your generosity, @gretchen_v ",,@gretchen_v,,1227274763363438592,https://twitter.com/Evan_Low/status/1227274763363438592
2020-02-11 16:21:24,Evan_Low,FrenchPatriot71,0,0,0,"No need. Our governor did it himself. Can we say the same about @realDonaldTrump ?",,@realDonaldTrump,,1227266392254058497,https://twitter.com/Evan_Low/status/1227266392254058497
2020-02-11 15:41:27,Evan_Low,,0,0,1,"@mercnews Editorial: “The choice for voters is a slam dunk” Elect @Evan_Low, @Ash_Kalra to state Assembly seats",,@mercnews @Evan_Low @Ash_Kalra,,1227256341611155456,https://twitter.com/Evan_Low/status/1227256341611155456
2020-02-11 04:37:37,Evan_Low,3sixt,2,0,3,"no need to do so, @3sixt .. @GavinNewsom did it himself by executive order. https://www.gov.ca.gov/2019/01/07/n-03-19/",,@3sixt @GavinNewsom,,1227089282965204992,https://twitter.com/Evan_Low/status/1227089282965204992
2020-02-10 20:56:04,Evan_Low,,2,1,2,"@realDonaldTrump shouldn’t be using his presidency for personal enrichment on the backs of taxpayers. My California Assembly Bill 2020 would prohibit state agencies from spending taxpayer dollars at any hotels owned by a president present or past.",,@realDonaldTrump,,1226973127030267904,https://twitter.com/Evan_Low/status/1226973127030267904
2020-02-10 17:48:48,Evan_Low,,6,1,11,"Come on, @Yelp.. Be a good actor and stop listing illegal cannabis dispensaries. Unregulated products are deadly and hurts good actors in the licensed industry. Put people over profits.",,@Yelp,,1226925999662567424,https://twitter.com/Evan_Low/status/1226925999662567424
2020-02-10 01:36:52,Evan_Low,,2,4,49,"Can’t argue with my mom, @matthewmahan ! ",,@matthewmahan,,1226681403980431360,https://twitter.com/Evan_Low/status/1226681403980431360
2020-02-09 06:22:51,Evan_Low,Riptide360,1,0,9,"thank you for the opportunity to earn your trust, @Riptide360 ",,@Riptide360,,1226390988257681408,https://twitter.com/Evan_Low/status/1226390988257681408
2020-02-07 15:09:04,Evan_Low,,15,380,940,"Retweet! Another @AndrewYang endorsement from @Match.com founder @gkremen ! He’s also an elected official on the Santa Clara Valley Water District. Thank you, Gary! #AndrewYang #yanggang #YangUpgradesAmerica",,@AndrewYang @Match @gkremen,#AndrewYang #yanggang #YangUpgradesAmerica,1225798637256491010,https://twitter.com/Evan_Low/status/1225798637256491010
2020-02-06 06:04:42,Evan_Low,,5,3,22,"5) him in a meaningful way to counter the hate. We will work to elect more hardworking americans who believe in the constitution and respect of public service. That’s clearly why I feel home in the democratic party.But today, I thank a Republican & former Presidential nominee ",,,,1225299255817990148,https://twitter.com/Evan_Low/status/1225299255817990148
2020-02-06 06:03:28,Evan_Low,,2,3,18,"4) .. courageous actions that put country over party? Our political system rewards ridged ideology and punishes bipartisanship and compromise. Let’s find compassion for Mitt as a fellow human being. We will find ways to disagree with Mitt in other areas, but today, let’s thank",,,,1225298946932609024,https://twitter.com/Evan_Low/status/1225298946932609024
