date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-01 05:06:35,Gupta4Assembly,,0,2,3,"It’s always great when you meet voters that say “We just turned in our ballot for you!” #Grassroots #AD25",,,#Grassroots #AD25,1233981938437779457,https://twitter.com/Gupta4Assembly/status/1233981938437779457
2020-02-23 05:39:02,Gupta4Assembly,,0,1,0,"",,,,1231453392695750656,https://twitter.com/Gupta4Assembly/status/1231453392695750656
2020-02-22 06:11:11,Gupta4Assembly,,0,3,3,"All hands on deck team! Less than 10 days till the election. Help us: 1. CANVASS (tomorrow @10AM, Rivermark Plaza Santa Clara, or Sunday @Irvington Farmers Market Fremont) 2. PHONE/TEXT BANK (email info@gupta2020.con and we can help get you started!)",,,,1231099094673674240,https://twitter.com/Gupta4Assembly/status/1231099094673674240
2020-02-21 00:37:47,Gupta4Assembly,,0,0,1,"Woohoo, a big news day for Team Gupta! Thank you for featuring us @singtaodaily and @IndiaWest !",,@singtaodaily @IndiaWest,,1230652802378031104,https://twitter.com/Gupta4Assembly/status/1230652802378031104
2020-02-20 19:33:33,Gupta4Assembly,,0,0,0,"Thank you @WorldJournal2 for featuring Michael’s story! This is a major outlet for the Chinese community. https://www.worldjournal.com/6796546/article-印裔娜佳選眾議員-她是華人的媳婦/?ref=舊金山_新聞總覽&amp;fbclid=IwAR0sCnudrIszX0jS-MBKrsN_T2lDjYWze2hK_Qd_emipbFp_S-ZQKbj7Op4&amp;ismobile=true&amp;variant=zh-cn",,@WorldJournal2,,1230576242211975168,https://twitter.com/Gupta4Assembly/status/1230576242211975168
2020-02-19 07:34:12,Gupta4Assembly,,0,1,0,"All our communities are in this struggle together. #vote",,,#vote,1230032823668502528,https://twitter.com/Gupta4Assembly/status/1230032823668502528
2020-02-18 20:25:00,Gupta4Assembly,,0,1,3,"~Election PSA~ Today is the LAST day to register to vote in California! If you haven't already, fill out this form online via Secretary of State (takes five minutes!) and register today so you can vote in the March 3rd Primary! https://www.sos.ca.gov/elections/voter-registration/?fbclid=IwAR2Tsyb7Ne6kp7yjG3qWSaMgnUsWQeHDQZLisKHoKFJSf_U_lzU_vZCMt14",,,,1229864414574022657,https://twitter.com/Gupta4Assembly/status/1229864414574022657
2020-02-17 17:41:01,Gupta4Assembly,,0,2,1,"We are more alike than different in what we value and where we come from. Here is our story, as told by my husband Michael. #ad25 #vote",,,#ad25 #vote,1229460756791361536,https://twitter.com/Gupta4Assembly/status/1229460756791361536
2020-02-16 23:38:24,Gupta4Assembly,,0,0,6,"Favorite moment of the trail today— a couple who saw us at the Farmers Market today came up and said we just voted for you!",,,,1229188308976074752,https://twitter.com/Gupta4Assembly/status/1229188308976074752
2020-02-16 01:55:31,Gupta4Assembly,,0,0,2,"Crushing doors and connecting with our community! Round 2 tomorrow.",,,,1228860424981889030,https://twitter.com/Gupta4Assembly/status/1228860424981889030
2020-02-14 18:50:43,Gupta4Assembly,,0,0,2,"Two years ago, a generation finally said “enough” when the epidemic of gun violence had simply gone too far. We wept at the tragedy of 17 lives gone too soon, then took to calling out political inaction. This year, make activism mean something— go vote. #Parkland",,,#Parkland,1228391133937422336,https://twitter.com/Gupta4Assembly/status/1228391133937422336
2020-02-12 00:15:01,Gupta4Assembly,brianschatz,1,1,4,"Please understand that regardless of party, if this conduct becomes the norm in our judicial system, it eventually swings the other way. This is a dangerous precedent and not to be taken lightly. Our vote is the only check on corruption. #vote #democracy",,,#vote #democracy,1227385585439870976,https://twitter.com/Gupta4Assembly/status/1227385585439870976
2020-02-11 00:05:19,Gupta4Assembly,,0,1,3,"Everyone always wants to hear the spouse’s perspective! A clip from Michael’s speech at yesterday’s event, where he talked about our family and what his experience has been like on the campaign trail.",,,,1227020755528847361,https://twitter.com/Gupta4Assembly/status/1227020755528847361
2020-02-10 06:48:12,Gupta4Assembly,,0,0,1,"It was touching to hear from Priti, a community organizer in District 25, about her support for our campaign at today’s event. Honored to have the support of leaders like her. #ad25",,,#ad25,1226759757446303744,https://twitter.com/Gupta4Assembly/status/1226759757446303744
2020-02-09 04:41:05,Gupta4Assembly,,0,1,5,"100% People-Powered and always in our community!",,,,1226365376033771521,https://twitter.com/Gupta4Assembly/status/1226365376033771521
2020-02-07 08:40:42,Gupta4Assembly,,0,2,5,"You have a choice to start a new day in California politics, where political elites and big money don't anoint a winner, and a people-powered, grassroots campaign can overcome the odds to bring our community's voice to the Assembly. Vote March 3rd. #ad25",,,#ad25,1225700904310984705,https://twitter.com/Gupta4Assembly/status/1225700904310984705
2020-02-07 03:59:42,Gupta4Assembly,,0,0,2,"ATTN: ballots are here! @AlamedaCounty voters: look for 1st on the Left! @SCCgov voters: look for lucky no. 7 Let’s do this guys! #ad25",,@AlamedaCounty @SCCgov,#ad25,1225630186005073921,https://twitter.com/Gupta4Assembly/status/1225630186005073921
