date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-02 23:38:00,JoeBiden,,912,3321,12479,"Bernie Sanders has gone after nearly every corporation in the world — except the gun manufacturers. It's unacceptable. We need a president with the courage to take them on and ensure they can be held accountable for the carnage they have caused.",,,,1234624024438878208,https://twitter.com/JoeBiden/status/1234624024438878208
2020-03-02 22:11:00,JoeBiden,,1167,6158,23527,"We are in a battle for the soul of this nation — and it's a battle we can't lose. So let's get back up, let's fight back, and let's win.",,,,1234602129970651138,https://twitter.com/JoeBiden/status/1234602129970651138
2020-03-02 19:45:00,JoeBiden,,479,1147,7081,"Something is happening in Virginia.",,,,1234565388106633217,https://twitter.com/JoeBiden/status/1234565388106633217
2020-03-02 19:23:00,JoeBiden,,572,2127,8395,"Americans can't wait for the false promise of a revolution. We need real change right now.",,,,1234559851281313792,https://twitter.com/JoeBiden/status/1234559851281313792
2020-03-02 17:01:00,JoeBiden,,1585,5980,29322,"If you want a Democratic nominee who will: - Build on Obamacare — not scrap it - Take on the @NRA and gun manufacturers — not protect them - Stand up for the middle class — not raise their taxes and make promises that can’t be kept Then this is your campaign.",,@NRA,,1234524116226539523,https://twitter.com/JoeBiden/status/1234524116226539523
2020-03-02 15:10:00,JoeBiden,,429,2344,8425,"I'm incredibly honored to have the support of @latinovictoryus. Latinos are the future. They must have a voice — and as president, I will do all in my power to amplify that voice.",,@latinovictoryus,,1234496181868388357,https://twitter.com/JoeBiden/status/1234496181868388357
2020-03-02 03:01:00,JoeBiden,,259,1306,6283,"Selma, thank you for welcoming me back into your community this morning. As we commemorate the anniversary of Bloody Sunday, we also recognize that the struggle for Black Americans to participate in democracy is not over. We have to fight for a more just, equal America—together.",,,,1234312722939908098,https://twitter.com/JoeBiden/status/1234312722939908098
2020-03-02 02:35:00,JoeBiden,,371,1355,6952,"The press and the pundits declared our campaign dead. But after last night's big victory, it's clear we are very much alive.",,,,1234306179804778496,https://twitter.com/JoeBiden/status/1234306179804778496
2020-03-02 01:57:34,JoeBiden,,267,1596,5602,"Yesterday we had our best day of online fundraising on this campaign, raising $5M from tens of thousands of new supporters. Today, we've already surpassed that total. And we're just getting started. Join us:",,,,1234296761700823040,https://twitter.com/JoeBiden/status/1234296761700823040
2020-03-02 01:31:35,JoeBiden,,1404,9862,75776,".@PeteButtigieg ran a historic, trail-blazing campaign based on courage, compassion, and honesty. We will be a better country for his continued service. This is just the beginning of his time on the national stage.",,@PeteButtigieg,,1234290223451901954,https://twitter.com/JoeBiden/status/1234290223451901954
2020-03-02 01:04:00,JoeBiden,,1226,4856,36520,"Together, we will beat Donald Trump.",,,,1234283278925852672,https://twitter.com/JoeBiden/status/1234283278925852672
2020-03-02 00:08:00,JoeBiden,,247,1123,3809,"With your help, we won big in South Carolina. Now, we're shifting our focus to winning big on Super Tuesday. I know we can do it, but we need your help to make it happen. If you can, please chip in to keep our momentum going: https://secure.actblue.com/donate/biden2020_fr_q12020-social12?refcode=social-tw-20200301sunnight&amp;utm_medium=social12&amp;utm_source=tw&amp;utm_campaign=20200301sunnight",,,,1234269185993269249,https://twitter.com/JoeBiden/status/1234269185993269249
2020-03-01 21:52:00,JoeBiden,,256,1394,5316,"South Carolina was just the launching pad. Our campaign is taking off, and we need your help. Head to http://JoeBiden.com/Volunteer to get involved in your community.",,,,1234234960518709248,https://twitter.com/JoeBiden/status/1234234960518709248
