date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-01 07:07:20,JoshBeckerSV,,0,0,1,"Luxembourg is first country to make all public transport free | Luxembourg | The Guardian",,,,1234012329068490752,https://twitter.com/JoshBeckerSV/status/1234012329068490752
2020-02-29 06:16:25,JoshBeckerSV,,1,0,0,"Senator Jerry Hill received the Community Leadership Award at the San Mateo PAL recognition event tonight, presented by @MaureenFreschet!Great to see @ChiefSM and Papia.",,@MaureenFreschet @ChiefSM,,1233637127507734528,https://twitter.com/JoshBeckerSV/status/1233637127507734528
2020-02-26 08:43:23,JoshBeckerSV,,0,0,0,"People often ask me ‘where is the lottery money’ -this is part of the answer...California Lottery officials shortchanged schools by millions, state audit says - Los Angeles Times",,,,1232586947635245056,https://twitter.com/JoshBeckerSV/status/1232586947635245056
2020-02-23 05:21:47,JoshBeckerSV,,0,0,0,"Fun sports story: Zamboni driver, 42, stars as emergency goalie for Hurricanes",,,,1231449051075268609,https://twitter.com/JoshBeckerSV/status/1231449051075268609
2020-02-22 12:38:05,JoshBeckerSV,,0,0,0,"California denies Trump administration claim on abortion coverage - Los Angeles Times",,,,1231196459627712513,https://twitter.com/JoshBeckerSV/status/1231196459627712513
2020-02-19 23:12:50,JoshBeckerSV,,0,2,2,"Judge rips PG&E for poor safety record leading to wildfires",,,,1230269038162395136,https://twitter.com/JoshBeckerSV/status/1230269038162395136
2020-02-17 21:15:46,JoshBeckerSV,,0,4,12,"Thrilled to have the support of @KamalaHarris! This photo is from one of our Full Circle events over a decade ago.",,@KamalaHarris,,1229514799345586176,https://twitter.com/JoshBeckerSV/status/1229514799345586176
2020-02-17 16:49:50,JoshBeckerSV,,0,0,0,"Success for homeless veterans and references Menlo Park project - https://www.nytimes.com/2020/02/16/us/politics/homeless-los-angeles-veterans.html?smid=nytcore-ios-share via @NYTimes",,@nytimes,,1229447875014193152,https://twitter.com/JoshBeckerSV/status/1229447875014193152
2020-02-15 13:22:39,JoshBeckerSV,,0,0,0,"Could you live in 350 square feet? Southland cities hope micro-housing can help tackle affordability – Press Telegram",,,,1228670963081809920,https://twitter.com/JoshBeckerSV/status/1228670963081809920
2020-02-15 13:22:10,JoshBeckerSV,,1,0,0,"Backyard landlord: What to know before building an ADU or granny flat - Los Angeles Times",,,,1228670840310382593,https://twitter.com/JoshBeckerSV/status/1228670840310382593
2020-02-14 08:30:14,JoshBeckerSV,,0,0,0,"Cool! Giant turtle fossil: Car-sized Stupendemys geographicus once roamed the earth - The Washington Post",,,,1228234986102243329,https://twitter.com/JoshBeckerSV/status/1228234986102243329
2020-02-12 15:52:00,JoshBeckerSV,,1,0,8,"Huge News!! Editorial: Josh Becker is best choice in District 13 Senate race",,,,1227621383296831494,https://twitter.com/JoshBeckerSV/status/1227621383296831494
2020-02-11 22:00:30,JoshBeckerSV,,0,1,6,"Very proud that the Mercury News published my Op-ed today about how CA and our Peninsula cities can lead the world fighting climate change. Thank you Daniel Yost for your collaboration! https://www.mercurynews.com/2020/02/11/opinion-becker-climate-change/?fbclid=IwAR2Lv2JwoM7AearJ1zCIr0T-3lAh9G-Lmg3lswlCM7np0xSfZUkZNc4dimg @idarose @margaretabekoga @AimeeGlobal @ianbaintech @MaryHodder",,@idarose @margaretabekoga @AimeeGlobal @ianbaintech @MaryHodder,,1227351729982726144,https://twitter.com/JoshBeckerSV/status/1227351729982726144
2020-02-07 19:24:59,JoshBeckerSV,,0,0,4,"I took the time to complete @Ballotpedia's candidate survey to share my vision and goals. You'll be able to see the responses on my profile shortly.",,@ballotpedia,,1225863044116275201,https://twitter.com/JoshBeckerSV/status/1225863044116275201
2020-02-05 22:40:52,JoshBeckerSV,,0,0,0,"Join me tonight for the Embarcadero Media Debate at 7:30 PM – at Palo Alto Art Center",,,,1225187562228043778,https://twitter.com/JoshBeckerSV/status/1225187562228043778
2020-02-05 16:54:47,JoshBeckerSV,,0,0,9,"Some personal news - Thank you Senator Hill for your endorsement! It’s an honor!",,,,1225100469304868864,https://twitter.com/JoshBeckerSV/status/1225100469304868864
2020-02-05 07:40:54,JoshBeckerSV,JoshBeckerSV,0,0,0,"Meant to say 20",,,,1224961077663813633,https://twitter.com/JoshBeckerSV/status/1224961077663813633
2020-02-04 02:25:12,JoshBeckerSV,,0,0,2,"In Iraq, Where Beauty Was Long Suppressed, Art Flowers Amid Protests - The New York Times",,,,1224519242407653376,https://twitter.com/JoshBeckerSV/status/1224519242407653376
2020-02-02 10:04:40,JoshBeckerSV,downloadcue,0,0,0,"Yeah I’m not sure of that. Most people I know for Web 1.0 and Web 2.0 have stayed. Many have moved down to the Peninsula and have families and are engaged in their local communities.",,,,1223910094108102657,https://twitter.com/JoshBeckerSV/status/1223910094108102657
2020-02-02 10:00:37,JoshBeckerSV,socialimpactvc,1,0,0,"There is a local giving movement. Check out Magnify Communities - a local giving pledge. And http://Www.fullcirclefund.org and SV2 have been doing it for almost 2 years",,,,1223909077480198146,https://twitter.com/JoshBeckerSV/status/1223909077480198146
2020-02-02 09:56:46,JoshBeckerSV,nabeel,0,0,0,"Check out http://www.fullcirclefund.org - we’ve been doing this for 19 years!!!!",,,,1223908105139834880,https://twitter.com/JoshBeckerSV/status/1223908105139834880
2020-02-02 03:10:36,JoshBeckerSV,,0,1,8,"Thanks to my wonderful friends in East Palo Alto who can out to meet me tonight",,,,1223805893663326208,https://twitter.com/JoshBeckerSV/status/1223805893663326208
2020-01-31 21:18:55,JoshBeckerSV,,0,1,1,"Power of policy and technology. Proud Barry endorsed me and my climate plan",,,,1223355000899768320,https://twitter.com/JoshBeckerSV/status/1223355000899768320
2020-01-31 21:10:34,JoshBeckerSV,,0,0,5,"Big News: endorsed by API leaders at a press conference today! Including @Evan_Low @margaretabekoga @GilbertWongnz @DavidChiu",,@Evan_Low @margaretabekoga @GilbertWongnz @DavidChiu,,1223352896684580864,https://twitter.com/JoshBeckerSV/status/1223352896684580864
2020-01-31 06:38:41,JoshBeckerSV,,0,1,5,"It's always fun to spend the evening with the @SMCDEMS!",,@SMCDEMS,,1223133481296781312,https://twitter.com/JoshBeckerSV/status/1223133481296781312
2020-01-29 15:27:38,JoshBeckerSV,YadinShemmer,0,0,0,"Amen",,,,1222541820166410246,https://twitter.com/JoshBeckerSV/status/1222541820166410246
2020-01-29 15:17:31,JoshBeckerSV,termscout,0,0,1,"Terrific, congrats!",,,,1222539274328756224,https://twitter.com/JoshBeckerSV/status/1222539274328756224
