date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-02 23:23:59,NancySkinnerCA,,3,0,6,"Gov. Newsom, lawmakers push for 'yes' vote on historic $15B facilities school bond",,,,1234620497066782720,https://twitter.com/NancySkinnerCA/status/1234620497066782720
2020-03-02 15:40:27,NancySkinnerCA,,2,11,61,"As we know, behind every great accomplishment is a brilliant woman. @ewarren is the brilliant, seasoned woman I want in the White House.",,@ewarren,,1234503844299603973,https://twitter.com/NancySkinnerCA/status/1234503844299603973
2020-03-02 15:39:00,NancySkinnerCA,,18,211,1108,"Announcement: I’m proud to endorse @ewarren for president! I love the optimism Sen. Warren brings to our fight to end income inequality and secure justice and opportunity for every American. She has the unwavering purpose and strength to lead our nation. https://elizabethwarren.com/",,@ewarren,,1234503481332862978,https://twitter.com/NancySkinnerCA/status/1234503481332862978
2020-02-29 20:07:00,NancySkinnerCA,,2,3,16,"Privileged to speak yesterday about structural racism in the legal system and what we can do to make it more just. (L-R) John Mathews of @Justice_Collab; actor, activist &amp; exonerate @JamalTrulove; Colorado Rep. @leslieherod; @Ash_Kalra; &amp; SF Public Defender Manohar Raju",,@Justice_Collab @jamaltrulove @leslieherod @Ash_Kalra,,1233846149338939392,https://twitter.com/NancySkinnerCA/status/1233846149338939392
2020-02-28 22:29:53,NancySkinnerCA,,0,1,2,"Food recovery is an innovative approach to promoting the health of low-income Alameda County residents and their environment. Low income communities are disproportionately impacted by the negative effects of greenhouse gases. @ACCFB @CalRecycle @WasteManagement",,@ACCFB @CalRecycle @WasteManagement,,1233519717589098496,https://twitter.com/NancySkinnerCA/status/1233519717589098496
2020-02-28 22:27:47,NancySkinnerCA,,1,1,3,"With this new truck, @ACCFB ’s program will have an environmental effect equal to taking over 1,000 cars off the road annually. The new truck also represents the food bank’s commitment to supporting the state’s goal to recover 20% of edible food before it ends up in the landfill.",,@ACCFB,,1233519189471694849,https://twitter.com/NancySkinnerCA/status/1233519189471694849
2020-02-28 22:25:36,NancySkinnerCA,,1,2,11,"Privileged to help celebrate @ACCFB's 35th anniversary and its purchase with @CalRecycle &amp; @WasteManagement a new hybrid truck so the food bank can recover 1 million lbs. of more food each year and feed people rather than polluting the air and worsening our climate problem!",,@ACCFB @CalRecycle @WasteManagement,,1233518640798093312,https://twitter.com/NancySkinnerCA/status/1233518640798093312
2020-02-28 20:30:00,NancySkinnerCA,,0,0,4,"With SB35 approval, affordable housing to replace South Berkeley credit union",,,,1233489550028218369,https://twitter.com/NancySkinnerCA/status/1233489550028218369
2020-02-28 18:30:00,NancySkinnerCA,,0,0,2,"DA Chesa Boudin sets new policies on SF police stops, gang enhancements, three strikes",,,,1233459349776809984,https://twitter.com/NancySkinnerCA/status/1233459349776809984
2020-02-28 17:27:26,NancySkinnerCA,,0,0,2,"California’s Felony Murder Law Change Means Freedom For San Diego Man #SB1437",,,#SB1437,1233443606112788481,https://twitter.com/NancySkinnerCA/status/1233443606112788481
2020-02-28 01:00:00,NancySkinnerCA,,0,0,3,"Honored to meet today with Dr. Dan Sperling - @DanSperling_ITS - of UC Institute of Transportation Studies, and CARB Board Member, to discuss clean transportation and new mobility research and funding options.",,@DanSperling_ITS,,1233195108939550723,https://twitter.com/NancySkinnerCA/status/1233195108939550723
2020-02-28 00:00:00,NancySkinnerCA,,0,0,3,"Thanks @SenatorTomUdall &amp; @RepLowenthal for leading the national effort to curb #plastic waste. #CAMustLead with #Yeson54 #Yeson1080",,@SenatorTomUdall @RepLowenthal,#plastic #CAMustLead #Yeson54 #Yeson1080,1233180009415749632,https://twitter.com/NancySkinnerCA/status/1233180009415749632
2020-02-27 23:00:00,NancySkinnerCA,,1,0,6,"Here’s how many Bay Area affordable homes are at risk of being lost ""An annual report from the California Housing Partnership outlines where rent-restricted apartments are disappearing.""",,,,1233164910697361408,https://twitter.com/NancySkinnerCA/status/1233164910697361408
2020-02-27 22:00:00,NancySkinnerCA,,0,1,6,"""The reality is that we cannot recycle our way out of this crisis using the system we have in place"" -@SenatorTomUdall &amp; @RepLowenthal. US and #CAMustLead to cut back on #plastic pollution https://www.latimes.com/opinion/story/2020-02-21/plastic-waste-never-recycled-u-s",,@SenatorTomUdall @RepLowenthal,#CAMustLead #plastic,1233149810028376064,https://twitter.com/NancySkinnerCA/status/1233149810028376064
2020-02-27 20:30:00,NancySkinnerCA,,0,0,4,"Water is life. It’s also a battle. So what does the future hold for California?",,,,1233127161340530688,https://twitter.com/NancySkinnerCA/status/1233127161340530688
2020-02-27 19:30:00,NancySkinnerCA,,0,0,1,"California’s new plan to deal with climate change, sea-level rise OK’d",,,,1233112061334315008,https://twitter.com/NancySkinnerCA/status/1233112061334315008
2020-02-27 18:30:33,NancySkinnerCA,,0,3,6,"California Drought: Northern California experiencing driest February since 1864",,,,1233097099975118848,https://twitter.com/NancySkinnerCA/status/1233097099975118848
2020-02-26 23:00:01,NancySkinnerCA,,0,3,11,"Just because they are difficult to detect doesn't mean we shouldn't do something to stop #microplastic pollution - #CAMustLead with #Yeson54 #Yeson1080",,,#microplastic #CAMustLead #Yeson54 #Yeson1080,1232802525859893248,https://twitter.com/NancySkinnerCA/status/1232802525859893248
2020-02-26 20:51:24,NancySkinnerCA,,0,0,3,"#Microplastics often come from the ""breakdown of the millions of straws, cups, water bottles, plastic bags and other single-use plastics thrown out each day."" #CAMustLead with #Yeson54 #Yeson1080 https://www.opb.org/news/article/scientists-pacific-northwest-microplastics-research/",,,#Microplastics #CAMustLead #Yeson54 #Yeson1080,1232770161565814785,https://twitter.com/NancySkinnerCA/status/1232770161565814785
2020-02-26 19:55:21,NancySkinnerCA,,0,2,2,"Is your house earthquake ready? Homeowners in specific high-risk ZIP Codes with houses that have a raised foundation and were built before 1980 may qualify for a $3,000 grant for a code-compliant seismic retrofit --> https://earthquakebracebolt.com",,,,1232756053428690944,https://twitter.com/NancySkinnerCA/status/1232756053428690944
2020-02-26 18:15:00,NancySkinnerCA,,0,4,3,"Nebraska bill allowing college athletes to make money off names advances debate Tuesday. #SB206 #FairPaytoPlay",,,#SB206 #FairPaytoPlay,1232730799562264581,https://twitter.com/NancySkinnerCA/status/1232730799562264581
2020-02-26 17:16:39,NancySkinnerCA,,0,0,0,"California Supreme Court to study ways to prevent discrimination in juries",,,,1232716114192265216,https://twitter.com/NancySkinnerCA/status/1232716114192265216
2020-02-25 22:29:16,NancySkinnerCA,,1,0,2,"Fortunately, carbon is naturally stored in healthy agricultural soils, grasslands, and forests. By focusing on the Earth’s natural way of removing carbon from the air, California can make a big leap toward climate protection. #SB1323",,,#SB1323,1232432400791040001,https://twitter.com/NancySkinnerCA/status/1232432400791040001
2020-02-25 22:28:47,NancySkinnerCA,,1,1,2,"At this point in the climate crisis, reducing greenhouse gas emissions is just not enough. To halt sea level rise and the devastating impacts of climate change, we’ll need to remove carbon already in the atmosphere. #SB1323",,,#SB1323,1232432280108355584,https://twitter.com/NancySkinnerCA/status/1232432280108355584
2020-02-25 22:27:29,NancySkinnerCA,,1,4,9,"Proud to announce today #SB1323, “Keeping Carbon in the Ground,” which directs state agencies to develop carbon sequestration goals aimed at increasing the carbon storage capacity of California’s soils, forests, wetlands, and other habitats. https://sd09.senate.ca.gov/news/20200225-sen-nancy-skinner-takes-big-step-include-carbon-sequestration-california%E2%80%99s-climate",,,#SB1323,1232431953980223488,https://twitter.com/NancySkinnerCA/status/1232431953980223488
2020-02-25 21:29:25,NancySkinnerCA,,0,0,0,"Honored to speak at the capitol w/ @carecensf @wendycarrillo @Scott_Wiener &amp; @DavidChiu in support of TPS beneficiaries who are facing racist immigration policies from Washington. We must stop the assault on immigrant communities &amp; the TPS (temporary protected status) program!",,@carecensf @wendycarrillo @Scott_Wiener @DavidChiu,,1232417340823748608,https://twitter.com/NancySkinnerCA/status/1232417340823748608
2020-02-25 20:00:01,NancySkinnerCA,,3,2,13,"California home prices jumped by the biggest margin in 5 years. Here’s what you’ll pay now",,,,1232394838961557504,https://twitter.com/NancySkinnerCA/status/1232394838961557504
2020-02-25 19:00:01,NancySkinnerCA,,0,0,0,"California bill would seal 2 million criminal records",,,,1232379739706314753,https://twitter.com/NancySkinnerCA/status/1232379739706314753
2020-02-25 18:00:01,NancySkinnerCA,,0,0,2,"Local fees that boost California housing costs targeted by Assembly Democrats",,,,1232364642443415556,https://twitter.com/NancySkinnerCA/status/1232364642443415556
2020-02-25 17:01:06,NancySkinnerCA,,0,1,2,"Everyday Injustice Podcast Episode 44: Senator Nancy Skinner ""Senator Nancy Skinner has authored some of the most important criminal justice legislation in the state."" #SB1437 #SB1421 #SB889",,,#SB1437 #SB1421 #SB889,1232349813120716801,https://twitter.com/NancySkinnerCA/status/1232349813120716801
2020-02-24 23:49:30,NancySkinnerCA,,0,2,5,"Miya Yoshitani & APEN do tremendous work on environmental, housing, social justice, equity, and voting rights issues. And Keith Wattley & UnCommon Law are transforming California's parole system. Outstanding honorees!",,,,1232090202820112384,https://twitter.com/NancySkinnerCA/status/1232090202820112384
2020-02-24 23:48:46,NancySkinnerCA,,2,3,11,"Reposting: Truly privileged to honor in the California Senate @miya_yosh, exec. dir. of @APEN4EJ, &amp; @Keith_Wattley, founder of @UnCommLaw, for winning prestigious Leadership Awards from the @IrvineFdn",,@miya_yosh @APEN4EJ @Keith_Wattley @UnCommLaw @IrvineFdn,,1232090021798170624,https://twitter.com/NancySkinnerCA/status/1232090021798170624
2020-02-24 19:45:25,NancySkinnerCA,,1,0,2,"Calif. has to dramatically slash carbon to meet our climate protection goals, and adding green hydrogen to our renewable energy portfolio has great promise. Green hydrogen can replace fossil fuels to power transportation and industry and can serve as clean energy storage. #SB1122",,,#SB1122,1232028779930738688,https://twitter.com/NancySkinnerCA/status/1232028779930738688
2020-02-24 19:43:52,NancySkinnerCA,,2,1,5,"Proud to announce today #SB1122 to spur the use of “green hydrogen,” a clean, renewable energy source that can help California meet its clean energy and climate protection goals. https://sd09.senate.ca.gov/news/20200224-sen-nancy-skinner-announces-bill-spur-use-clean-renewable-%E2%80%98green-hydrogen%E2%80%99",,,#SB1122,1232028389239713793,https://twitter.com/NancySkinnerCA/status/1232028389239713793
2020-02-21 22:30:00,NancySkinnerCA,,0,0,1,"California approves natural gas limits on new buildings in nine Bay Area cities",,,,1230983033416802310,https://twitter.com/NancySkinnerCA/status/1230983033416802310
2020-02-21 21:30:00,NancySkinnerCA,,1,0,3,"Why Does It Cost $750,000 to Build Affordable Housing in San Francisco?",,,,1230967935117729797,https://twitter.com/NancySkinnerCA/status/1230967935117729797
2020-02-21 20:30:00,NancySkinnerCA,,1,4,2,"Here’s where California is offering land for homeless housing",,,,1230952834423754755,https://twitter.com/NancySkinnerCA/status/1230952834423754755
2020-02-21 19:30:00,NancySkinnerCA,,0,3,5,"Berkeley tenants rights plan would give renters first right to buy their home",,,,1230937735453696001,https://twitter.com/NancySkinnerCA/status/1230937735453696001
2020-02-21 18:30:00,NancySkinnerCA,,1,2,14,"Supreme Court decision not to review felony murder law ruling clears way for inmates seeking new sentences #SB1437",,,#SB1437,1230922634600181760,https://twitter.com/NancySkinnerCA/status/1230922634600181760
2020-02-21 17:23:57,NancySkinnerCA,,9,2,8,"Tenants, cities and nonprofits get more say about empty California homes under this plan #SB1079",,,#SB1079,1230906014955794432,https://twitter.com/NancySkinnerCA/status/1230906014955794432
2020-02-20 18:08:52,NancySkinnerCA,,0,2,4,"New California bill draws inspiration from Moms 4 Housing #SB1079",,,#SB1079,1230554928860389381,https://twitter.com/NancySkinnerCA/status/1230554928860389381
2020-02-19 20:22:40,NancySkinnerCA,,0,1,5,"And @GavinNewsom committed to increase housing production, correctly acknowledging that our housing supply shortage is at the root of California’s housing crisis. “The governor is right: ‘It’s time for California to say yes to housing’ and to end homelessness.”",,@GavinNewsom,,1230226212741476352,https://twitter.com/NancySkinnerCA/status/1230226212741476352
2020-02-19 20:21:39,NancySkinnerCA,,1,1,5,"I also look forward to working with @GavinNewsom in using the new ‘California Access to Housing Fund’ to get money out quickly to strategies that work — like rental assistance, buying vacant residential properties, and converting motels into housing.",,@GavinNewsom,,1230225956834435077,https://twitter.com/NancySkinnerCA/status/1230225956834435077
2020-02-19 20:20:03,NancySkinnerCA,,2,0,3,"I look forward to partnering with @GavinNewsom in moving forward concrete actions, such as streamlining the process for shelters and homeless services, requiring our counties to distribute mental health funds that they’ve been holding on to....",,@GavinNewsom,,1230225556202901505,https://twitter.com/NancySkinnerCA/status/1230225556202901505
2020-02-19 20:18:48,NancySkinnerCA,,1,3,13,". @GavinNewsom ’s second State of the State address appropriately focused on the soul-wrenching issue of California’s homelessness and housing crisis. https://sd09.senate.ca.gov/news/20200219-sen-nancy-skinner-applauds-gov-newsom%E2%80%99s-call-make-homelessness-and-housing-our-top",,@GavinNewsom,,1230225238664728577,https://twitter.com/NancySkinnerCA/status/1230225238664728577
2020-02-19 19:00:00,NancySkinnerCA,,3,4,14,"Housing crisis: Legislation inspired by homeless Oakland moms aims to fill vacant homes",,,,1230205409874460675,https://twitter.com/NancySkinnerCA/status/1230205409874460675
2020-02-19 18:21:11,NancySkinnerCA,,3,2,10,"Moms 4 Housing shined a light on the fact that while over a 150,000 Californians are now homeless, right now in our own neighborhoods, there are more than 1 million vacant homes. #SB1079",,,#SB1079,1230195642326106112,https://twitter.com/NancySkinnerCA/status/1230195642326106112
2020-02-19 18:19:58,NancySkinnerCA,,2,1,12,"The issue of corporations purchasing homes and leaving them vacant was raised by Moms 4 Housing when the group recently occupied a corporately owned vacant home in West Oakland.",,,,1230195336984969221,https://twitter.com/NancySkinnerCA/status/1230195336984969221
2020-02-19 18:18:53,NancySkinnerCA,,2,2,11,"#SB1079 would also allow cities and counties to fine corporations that own multiple single-family homes for keeping housing vacant for more than 90 days. And it would give local governments first rights on such vacant properties to use them for affordable housing.",,,#SB1079,1230195062014787585,https://twitter.com/NancySkinnerCA/status/1230195062014787585
2020-02-19 18:17:46,NancySkinnerCA,,9,27,61,"Proud to introduce today #SB1079 to reduce the number of vacant homes in California and give tenants the right of first refusal to buy foreclosed properties. https://sd09.senate.ca.gov/news/20200219-sen-nancy-skinner-introduces-bill-end-corporate-homes-being-left-vacant-and-give",,,#SB1079,1230194779729752064,https://twitter.com/NancySkinnerCA/status/1230194779729752064
2020-02-19 17:17:52,NancySkinnerCA,,0,1,4,"Former Lafayette city manager to be appointed as Oakland’s interim city administrator",,,,1230179706965610497,https://twitter.com/NancySkinnerCA/status/1230179706965610497
2020-02-18 22:15:00,NancySkinnerCA,,0,2,0,"Los Angeles takes lead as nation’s least affordable housing market",,,,1229892094249947137,https://twitter.com/NancySkinnerCA/status/1229892094249947137
2020-02-18 21:15:00,NancySkinnerCA,,4,4,9,"New round of Trump budget cuts could force more Californians into homelessness, advocates say",,,,1229876994705281024,https://twitter.com/NancySkinnerCA/status/1229876994705281024
2020-02-18 20:16:02,NancySkinnerCA,,2,3,18,"San Diego’s Affordable Housing Program Inspires Statewide Bill",,,,1229862154599223297,https://twitter.com/NancySkinnerCA/status/1229862154599223297
2020-02-15 00:30:00,NancySkinnerCA,,0,0,4,"Graduate student housing on border of Emeryville, Oakland to be donated to UC Berkeley upon completion",,,,1228476516654178304,https://twitter.com/NancySkinnerCA/status/1228476516654178304
2020-02-14 23:30:00,NancySkinnerCA,,0,1,0,"Police risking Californians’ privacy in license plate tracking, audit finds",,,,1228461418216853504,https://twitter.com/NancySkinnerCA/status/1228461418216853504
2020-02-14 22:30:00,NancySkinnerCA,,0,0,0,"California voters can switch party status on election day",,,,1228446318067998720,https://twitter.com/NancySkinnerCA/status/1228446318067998720
2020-02-14 21:30:00,NancySkinnerCA,,0,3,1,"California May Be Sliding Back Into Drought, Lawmakers And Advocates Warn Now Is The Time To Prepare",,,,1228431219345375232,https://twitter.com/NancySkinnerCA/status/1228431219345375232
2020-02-14 20:30:00,NancySkinnerCA,,0,2,13,"""When California’s housing crisis slammed into a wealthy suburb, one public servant became a convert to a radically simple doctrine.""",,,,1228416119670738946,https://twitter.com/NancySkinnerCA/status/1228416119670738946
2020-02-14 19:30:00,NancySkinnerCA,,0,1,18,"Proud and honored to be named a ""Civil Liberties Champion"" by the California chapter of the ACLU!! And congrats to the other 2019 honorees! @ACLU_NorCal @ACLU_SoCal",,@ACLU_NorCal @ACLU_SoCal,,1228401020616626177,https://twitter.com/NancySkinnerCA/status/1228401020616626177
2020-02-14 18:30:00,NancySkinnerCA,,0,0,1,"What Would 'Housing as a Human Right' Look Like in California? https://www.kqed.org/news/11801176/what-would-housing-as-a-human-right-look-like-in-california",,,,1228385920614834176,https://twitter.com/NancySkinnerCA/status/1228385920614834176
2020-02-14 17:35:07,NancySkinnerCA,,1,1,3,"If you pay California taxes, you could end up on jury duty under this proposed law ",,,,1228372107278446594,https://twitter.com/NancySkinnerCA/status/1228372107278446594
2020-02-13 20:45:00,NancySkinnerCA,,0,3,25,"It’s official: Richmond school renamed Michelle Obama Elementary",,,,1228057505726685194,https://twitter.com/NancySkinnerCA/status/1228057505726685194
2020-02-13 19:45:00,NancySkinnerCA,,2,3,13,"California Considers Tax on Companies With Large CEO-Worker Pay Gaps ""The overall ratio of CEO pay to average worker compensation is about 278 to one.""",,,,1228042406773194752,https://twitter.com/NancySkinnerCA/status/1228042406773194752
2020-02-13 18:45:00,NancySkinnerCA,,0,4,3,"Nebraska college athletes pay bill advances from committee for debate ""Legislation to allow college student-athletes in Nebraska to profit from their names, images and likenesses was advanced Wednesday to the floor of the Legislature."" #SB206",,,#SB206,1228027306817441792,https://twitter.com/NancySkinnerCA/status/1228027306817441792
2020-02-13 17:49:26,NancySkinnerCA,,0,1,2,"Congress Says NCAA Needs Change, but Mark Emmert Doesn’t Have the Answers ""Nearly a dozen lawmakers from the nation’s most powerful legislative body grilled [NCAA President] Emmert on the NIL [name, image, & likeness] debate over player compensation.""",,,,1228013323645358080,https://twitter.com/NancySkinnerCA/status/1228013323645358080
2020-02-13 00:00:00,NancySkinnerCA,,0,1,1,"Please join RYSE Center for it free event, ""When Culture Speaks,"" which culminates its celebration of Black History Month.",,,,1227744194266947586,https://twitter.com/NancySkinnerCA/status/1227744194266947586
2020-02-12 17:29:04,NancySkinnerCA,,0,7,9,"The Fight to Know #SB1421",,,#SB1421,1227645809451130880,https://twitter.com/NancySkinnerCA/status/1227645809451130880
2020-02-11 23:30:00,NancySkinnerCA,,0,1,1,"Oakland is renowned for its diversity and its vibrant Black culture. Check out some of the numerous Black History Month Events in the Town.",,,,1227374254439583744,https://twitter.com/NancySkinnerCA/status/1227374254439583744
2020-02-11 23:30:00,NancySkinnerCA,,0,0,0,"A February without rain could boost wildfire danger in Northern California",,,,1227374253995110400,https://twitter.com/NancySkinnerCA/status/1227374253995110400
2020-02-11 22:30:00,NancySkinnerCA,,0,0,1,"California attorney general to investigate LAPD gang-framing scandal",,,,1227359155201032192,https://twitter.com/NancySkinnerCA/status/1227359155201032192
2020-02-11 21:30:00,NancySkinnerCA,,0,0,1,"In a first, court says a state must provide gender-confirmation surgery to inmate",,,,1227344055299985410,https://twitter.com/NancySkinnerCA/status/1227344055299985410
2020-02-11 20:30:00,NancySkinnerCA,,0,0,1,"Wave of redevelopment lands at Alameda Point",,,,1227328955583225863,https://twitter.com/NancySkinnerCA/status/1227328955583225863
2020-02-11 19:30:00,NancySkinnerCA,,0,0,2,"Berkeley City Council resolution could provide overnight parking for RVs",,,,1227313855577149447,https://twitter.com/NancySkinnerCA/status/1227313855577149447
2020-02-11 16:53:40,NancySkinnerCA,,0,3,21,"To ease student housing crunch, Berkeley starts process to increase density in the Southside ",,,,1227274514360229888,https://twitter.com/NancySkinnerCA/status/1227274514360229888
2020-02-10 20:00:00,NancySkinnerCA,,0,0,3,"Trump drops probe of carmakers that sided with California in climate change fight",,,,1226959018792488966,https://twitter.com/NancySkinnerCA/status/1226959018792488966
2020-02-10 19:00:00,NancySkinnerCA,,0,3,5,"Moms 4 Housing-inspired policy could shake up Oakland real estate market",,,,1226943918371008512,https://twitter.com/NancySkinnerCA/status/1226943918371008512
2020-02-10 17:46:35,NancySkinnerCA,,0,12,32,"Editorial: Too many fragmented commuter systems are worsening public transit",,,,1226925444982697984,https://twitter.com/NancySkinnerCA/status/1226925444982697984
2020-02-07 19:15:00,NancySkinnerCA,,0,5,24,"Why does the Sierra Club oppose affordable housing?",,,,1225860529597689861,https://twitter.com/NancySkinnerCA/status/1225860529597689861
2020-02-07 18:15:00,NancySkinnerCA,,0,0,0,"Ousted EPA official in California says he was pushed out for being too bipartisan",,,,1225845430740824064,https://twitter.com/NancySkinnerCA/status/1225845430740824064
