date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-02 22:18:18,PeterLiuCAGov18,,0,0,2,"#supertuesday2020",,,#supertuesday2020,1234603969554464769,https://twitter.com/PeterLiuCAGov18/status/1234603969554464769
2020-03-02 21:45:06,PeterLiuCAGov18,ericswalwell,0,0,0,"#KAG #MAGA",,,#KAG #MAGA,1234595614219894784,https://twitter.com/PeterLiuCAGov18/status/1234595614219894784
2020-03-02 21:43:53,PeterLiuCAGov18,ericswalwell,0,0,0,"Eric is desperate...",,,,1234595306211176448,https://twitter.com/PeterLiuCAGov18/status/1234595306211176448
2020-03-02 17:41:49,PeterLiuCAGov18,,1,1,2,"I was at ROSS with my 7 yr old son. He saw M.A.R.S converters, ""Are these transformers?"" I said, ""No son, don't buy that sh!t, other kids will bully you."" #KAG #MAGA #SuperTuesday #California #mondaythoughts #EastBay #Fremont #Hayward #Castrovalley #SanLorenzo #Livermore #Dublin",,,#KAG #MAGA #SuperTuesday #California #mondaythoughts #EastBay #Fremont #Hayward #Castrovalley #SanLorenzo #Livermore #Dublin,1234534388244762625,https://twitter.com/PeterLiuCAGov18/status/1234534388244762625
2020-03-01 07:38:06,PeterLiuCAGov18,CASOSvote,0,0,0,"",,,,1234020070906482689,https://twitter.com/PeterLiuCAGov18/status/1234020070906482689
2020-03-01 04:17:13,PeterLiuCAGov18,Pyewhackett02,0,0,0,"https://www.facebook.com/PeterLiuCAGov18/photos/a.1387075678179632/1819018458318683/?type=3",,,,1233969516624760832,https://twitter.com/PeterLiuCAGov18/status/1233969516624760832
2020-03-01 04:11:42,PeterLiuCAGov18,adagioforstring,0,0,0,"Ziggurat of Ur is where a 5000+ yr old moon temple is at. Birth place of biblical Abraham.",,,,1233968126888267777,https://twitter.com/PeterLiuCAGov18/status/1233968126888267777
2020-02-29 22:57:10,PeterLiuCAGov18,Ian98843071,0,1,2,"@CAGOP still stuck in Jeb! Era. #KAG #MAGA",,@CAGOP,#KAG #MAGA,1233888973048541185,https://twitter.com/PeterLiuCAGov18/status/1233888973048541185
2020-02-29 21:07:18,PeterLiuCAGov18,JeffreyDCash,0,0,0,"The illegal aliens already committed crime by entering the U.S. by sneaking across the border. Stop being so stupid. ",,,,1233861323894583297,https://twitter.com/PeterLiuCAGov18/status/1233861323894583297
2020-02-29 17:29:24,PeterLiuCAGov18,,0,0,0,"When I saw RIP Joe trending, I thought Joe Biden died. #KAG #MAGA",,,#KAG #MAGA,1233806486293245952,https://twitter.com/PeterLiuCAGov18/status/1233806486293245952
2020-02-29 05:38:36,PeterLiuCAGov18,,0,1,1,"#BeforeWeHaveSexWeShould check each other's bank accounts.",,,#BeforeWeHaveSexWeShould,1233627610187329537,https://twitter.com/PeterLiuCAGov18/status/1233627610187329537
2020-02-29 05:18:46,PeterLiuCAGov18,SezStick,0,0,0,"#WomenEmpowerment #WomenRights Time to get Rich!",,,#WomenEmpowerment #WomenRights,1233622620320305152,https://twitter.com/PeterLiuCAGov18/status/1233622620320305152
2020-02-29 04:26:49,PeterLiuCAGov18,SezStick,1,0,0,"If it isn't legal, make it legal, that's the only way to save lives.",,,,1233609545206788097,https://twitter.com/PeterLiuCAGov18/status/1233609545206788097
2020-02-29 03:44:21,PeterLiuCAGov18,SezStick,2,0,0,"Not illegal, #13A refers to slavery. Newborns babies aren't picking cotton. This is merely adoption by auction.",,,#13A,1233598857813954565,https://twitter.com/PeterLiuCAGov18/status/1233598857813954565
2020-02-29 03:43:26,PeterLiuCAGov18,SezStick,1,0,0,"The aim is to prevent abortion by giving women a superior choice. That's the incentive. Adoption agencies don't work, especially Catholic ones with hidden stash of hundreds of baby corpses all over their properties.",,,,1233598629102800896,https://twitter.com/PeterLiuCAGov18/status/1233598629102800896
2020-02-29 03:28:14,PeterLiuCAGov18,SezStick,3,0,0,"No it is not. Human trafficking laws involves element of fraud and/or force, whereas this is 100% voluntary.",,,,1233594803536875520,https://twitter.com/PeterLiuCAGov18/status/1233594803536875520
2020-02-29 03:09:29,PeterLiuCAGov18,CASOSvote,0,0,0,"Peter Y. Liu for Congress D15 California, legislation to allow women to auction newborn babies at hospital from $50K to $2M, to give women a far superior alternative to abortion. #Election2020. This helps poor women out of poverty. #AuctionNotAbortion",,,#Election2020 #AuctionNotAbortion,1233590082583482369,https://twitter.com/PeterLiuCAGov18/status/1233590082583482369
2020-02-29 02:50:35,PeterLiuCAGov18,DiamondandSilk,2,0,0,"Peter Y. Liu for Congress D15 California, legislation to allow women to auction newborn babies at hospital from $50K to $2M, to give women a far superior alternative to abortion. #Election2020. This helps poor women out of poverty. #AuctionNotAbortion",,,#Election2020 #AuctionNotAbortion,1233585327043858432,https://twitter.com/PeterLiuCAGov18/status/1233585327043858432
2020-02-29 02:15:58,PeterLiuCAGov18,TawnyTawnyOne,1,0,1,"There is @RealCandaceO, she is folk like me, she is the black queen of #MAGA. If when Big Daddy Trump retires from office, she can fill the spot. #KAG",,@RealCandaceO,#MAGA #KAG,1233576616053182465,https://twitter.com/PeterLiuCAGov18/status/1233576616053182465
2020-02-29 02:08:23,PeterLiuCAGov18,TawnyTawnyOne,1,0,0,"If you mean by other folks, Al Sharpton or Jesse Jackson, you right! =) I am just the World's Smartest Leader.",,,,1233574706285953024,https://twitter.com/PeterLiuCAGov18/status/1233574706285953024
2020-02-29 00:35:52,PeterLiuCAGov18,toddstarnes,1,0,7,"@DiamondandSilk contributions to the #BLexit movement should be taught in every black history class. This is the new era civil rights movement, moving blacks to be independent thinkers &amp; voters. #KAG #MAGA",,@DiamondandSilk,#BLexit #KAG #MAGA,1233551424610430978,https://twitter.com/PeterLiuCAGov18/status/1233551424610430978
2020-02-28 23:52:18,PeterLiuCAGov18,JamesOKeefeIII,0,0,3,"I am an official congressional candidate and they won't even verify neither. @Twitter sucks. #KAG #MAGA",,@Twitter,#KAG #MAGA,1233540460246917120,https://twitter.com/PeterLiuCAGov18/status/1233540460246917120
2020-02-28 23:41:11,PeterLiuCAGov18,StanziMir,0,1,2,"@CAGOP is so Jeb! Era. We need fresh faces, new ideas. #KAG #MAGA",,@CAGOP,#KAG #MAGA,1233537663455481856,https://twitter.com/PeterLiuCAGov18/status/1233537663455481856
2020-02-28 19:25:34,PeterLiuCAGov18,JeffreyDCash,1,0,0,"It is all the pro-sanctuary city politicians' fault. These illegal aliens will steal anything to make people lives more miserable in #Oakland. #KAG #MAGA",,,#Oakland #KAG #MAGA,1233473335742337031,https://twitter.com/PeterLiuCAGov18/status/1233473335742337031
