date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-02 21:29:58,RachelMoniz,,0,0,0,"Election day is tomorrow, vote Rachel Moniz! #rachelmonizforcongress #cadistrict2 #district2 #vote",,,#rachelmonizforcongress #cadistrict2 #district2 #vote,1234591806093848576,https://twitter.com/RachelMoniz/status/1234591806093848576
2020-03-01 23:53:25,RachelMoniz,,0,0,0,"Our last weekend knocking on doors before Election Day! We knocked on doors in Marin City & met incredibly kind and compassionate voters who are concerned about healthcare, education, inequality and inequity. Thank you to the voters who shared their stories and concerns with us!",,,,1234265518380503040,https://twitter.com/RachelMoniz/status/1234265518380503040
2020-03-01 17:58:49,RachelMoniz,,0,0,0,"Women’s rights are under attack! https://www.buzzfeednews.com/article/emaoconnor/abortion-supreme-court-trump-center-reproductive-rights #voteprochoice #voterachelmonizforcongress #centerforreproductiverights",,,#voteprochoice #voterachelmonizforcongress #centerforreproductiverights,1234176278963482624,https://twitter.com/RachelMoniz/status/1234176278963482624
2020-02-22 20:03:38,RachelMoniz,,0,0,0,"Learn more about Maxine here:",,,,1231308585331654656,https://twitter.com/RachelMoniz/status/1231308585331654656
2020-02-22 20:03:09,RachelMoniz,,1,0,0,"Throughout her 40+ years of public service, Waters has been on the cutting edge, tackling difficult & controversial issues. She combines strong legislative & public policy acumen & high visibility in Democratic Party activities w/ an unusual ability to do grassroots organizing.",,,,1231308467459125248,https://twitter.com/RachelMoniz/status/1231308467459125248
2020-02-22 20:01:35,RachelMoniz,,1,0,0,"She made history as the 1st woman & African American Chair of the House Financial Services Committee. A member of Congressional Democratic Leadership, Waters serves as a member of the Steering & Policy Committee & Co-Chair of the bipartisan Congressional Task Force on Alzheimers",,,,1231308073500737537,https://twitter.com/RachelMoniz/status/1231308073500737537
2020-02-22 19:59:30,RachelMoniz,,1,0,0,"Happy Saturday! Today’s spotlight goes to: Congresswoman Maxine Waters! Waters is considered by many to be one of the most powerful women in American politics today. She has gained a reputation as a fearless and outspoken advocate for women, children, people of color & the poor",,,,1231307546373189632,https://twitter.com/RachelMoniz/status/1231307546373189632
2020-02-21 16:49:13,RachelMoniz,,0,0,1,"Let’s make sure our next generation understands the fight for reproductive rights... have your girls and boys read this book. https://www.nytimes.com/2020/02/20/books/review/jane-against-the-world-karen-blumenthal.html #vote #voteprochoice #reproductivefreedom #educateinspirechange",,,#vote #voteprochoice #reproductivefreedom #educateinspirechange,1230897274638614529,https://twitter.com/RachelMoniz/status/1230897274638614529
2020-02-20 21:30:27,RachelMoniz,,0,1,2,"Having such a wonderful time meeting the inspiring students at Humboldt State! Thank you for coming out and speaking with me about the things that matter to you! I am so inspired!",,,,1230605658958921728,https://twitter.com/RachelMoniz/status/1230605658958921728
2020-02-20 20:33:32,RachelMoniz,,0,0,1,"Registering students to vote at Humboldt State University today- Come out and see us! The students care about renewable energy, planning policy to make streets safer, and Women’s rights! Women’s rights! Women’s Rights!",,,,1230591335062618112,https://twitter.com/RachelMoniz/status/1230591335062618112
2020-02-20 05:43:26,RachelMoniz,,0,0,0,"I will be at @humboldtstate tomorrow from 10-2pm to speak with as many people as possible to learn how our district can better protect and represent you! Please spread the word and come out to learn more! Visit my website for more info:",,@humboldtstate,,1230367334746845184,https://twitter.com/RachelMoniz/status/1230367334746845184
2020-02-19 21:05:49,RachelMoniz,Powers26,0,0,1,"Thank you so much for your support! I am so grateful",,,,1230237072532725760,https://twitter.com/RachelMoniz/status/1230237072532725760
2020-02-19 15:17:40,RachelMoniz,,0,0,0,"Village Sock Shop has it right...”Do the right thing 2020” #vote #voteblue2020 #dotherighthing2020 #imvoting",,,#vote #voteblue2020 #dotherighthing2020 #imvoting,1230149459431976960,https://twitter.com/RachelMoniz/status/1230149459431976960
2020-02-19 15:11:29,RachelMoniz,,0,0,0,"Our Whistle Stop tour in Willits yesterday! Voters in Willits are concerned about the future for their children, jobs, mental health, the opioid crisis, and homelessness. Thank you Willits for sharing your stories with us and trusting me to make a difference. #vote #willits",,,#vote #willits,1230147902695043077,https://twitter.com/RachelMoniz/status/1230147902695043077
2020-02-19 06:49:45,RachelMoniz,mojobaal,0,0,1,"I am truly so grateful for your support, thank you so much for spreading the word!",,,,1230021637036068866,https://twitter.com/RachelMoniz/status/1230021637036068866
2020-02-19 06:44:46,RachelMoniz,mojobaal,1,0,1,"That is so amazing- thank you so much!!! I am so proud to have their vote",,,,1230020383778074630,https://twitter.com/RachelMoniz/status/1230020383778074630
2020-02-18 23:08:16,RachelMoniz,,0,0,0,"The girls and I spent the morning knocking on doors in Ukiah! The voters are concerned about protecting the programs that protect seniors, taking care of those who suffer from mental health issues and the homeless, and protecting women’s rights! #vote #ukiah #cadistrict2",,,#vote #ukiah #cadistrict2,1229905499933437952,https://twitter.com/RachelMoniz/status/1229905499933437952
2020-02-17 21:33:21,RachelMoniz,,1,1,3,"Vote and encourage everyone you know to Vote! Vote! Volunteer! Donate!",,,,1229519227721175041,https://twitter.com/RachelMoniz/status/1229519227721175041
