date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-02 23:31:00,RepBarbaraLee,,8,47,81,"The Trump Admin’s climate denialism is actively harming our communities. These reports are supposed to help safeguard our communities against #ClimateChange – not be used as propaganda. #ClimateActionNow",,,#ClimateChange #ClimateActionNow,1234622262638071808,https://twitter.com/RepBarbaraLee/status/1234622262638071808
2020-03-02 22:47:00,RepBarbaraLee,,12,36,86,"Trump’s cruel and illegal #RemainInMexico policy is life-threatening for thousands of immigrants like Fernanda. This rule cannot stand. #DontLookAway",,,#RemainInMexico #DontLookAway,1234611189616910336,https://twitter.com/RepBarbaraLee/status/1234611189616910336
2020-03-02 22:11:08,RepBarbaraLee,,11,66,235,"Crisis pregnancy centers lie and intimidate patients – they have NO BUSINESS receiving public funding. #MyBodyMyChoice",,,#MyBodyMyChoice,1234602164040929280,https://twitter.com/RepBarbaraLee/status/1234602164040929280
2020-03-02 21:12:31,RepBarbaraLee,,15,69,322,"It was an honor to be inducted into the National #VotingRights Museum Women’s Hall of Fame! Civil rights leaders have fought for our right to vote for decades, but it's more important than ever that we keep working to ensure no one is blocked from the ballot box.",,,#VotingRights,1234587412556386305,https://twitter.com/RepBarbaraLee/status/1234587412556386305
2020-03-02 17:54:03,RepBarbaraLee,CAPublicHealth,3,20,45,"Alameda County has declared a public health emergency for the #Coronavirus to support ongoing response efforts. I encourage everyone to follow updates from @CDCgov and @CAPublicHealth for the latest news. Learn more from @CAPublicHealth on how to stay healthy ",,@CDCgov @CAPublicHealth @CAPublicHealth,#Coronavirus,1234537466734010370,https://twitter.com/RepBarbaraLee/status/1234537466734010370
2020-02-29 21:58:06,RepBarbaraLee,,2,18,83,"As we close out #BlackHistoryMonth, I’m deeply saddened by the passing of Dr. Raye Richardson. A trailblazer and an icon, she inspired, educated, and touched the lives of many. She was a dear friend and mentor. May her legacy live &amp; may she Rest in Power. https://postnewsgroup.com/2020/02/27/dr-raye-gilbert-richardson-99-founder-of-marcus-books-oldest-remaining-black-owned-bookstore-in-america/",,,#BlackHistoryMonth #BlackHistoryMonth,1233874108888293378,https://twitter.com/RepBarbaraLee/status/1233874108888293378
2020-02-29 16:59:51,RepBarbaraLee,nytimes,15,101,270,"Let me be clear: this is no ‘peace deal.’ It leaves thousands of troops in Afghanistan with NO investments in peacebuilding, human-centered development, or governance reform. This is a step forward, but there’s still a long way to go to #StopEndlessWar.",,,#StopEndlessWar,1233799050996191234,https://twitter.com/RepBarbaraLee/status/1233799050996191234
2020-02-29 00:55:00,RepBarbaraLee,,9,42,126,"We are continuing to fail low-income students. Everyone deserves a quality, affordable education – and some students are sacrificing a safe place to sleep to pursue their education. We need #DebtFreeCollege now!",,,#DebtFreeCollege,1233556238337638401,https://twitter.com/RepBarbaraLee/status/1233556238337638401
2020-02-28 20:47:00,RepBarbaraLee,,2,56,155,"Our continued quest for oil will do nothing but continue to devastate our planet, our ecosystems, and our endangered species. #ActOnClimate",,,#ActOnClimate,1233493826985132032,https://twitter.com/RepBarbaraLee/status/1233493826985132032
2020-02-28 18:55:00,RepBarbaraLee,,4,45,140,"It's appalling that people are using a public health crisis to justify blatant xenophobia. The best way to stop the spread of #coronavirus is to wash your hands, not push racist stereotypes. Go to http://www.cdc.gov for more resources.",,,#coronavirus,1233465641236959232,https://twitter.com/RepBarbaraLee/status/1233465641236959232
2020-02-28 16:34:58,RepBarbaraLee,,7,59,173,"Just a reminder that wage discrimination still exists in this country and that the average woman makes just 80 cents for every dollar a man makes. #EqualPay",,,#EqualPay,1233430402263547904,https://twitter.com/RepBarbaraLee/status/1233430402263547904
2020-02-28 00:29:00,RepBarbaraLee,,12,67,223,"2020 is the most important decade of our lifetime. If we don’t get serious about addressing and stopping #ClimateChange now, our children and grandchildren won’t have a planet to live on. #ActOnClimate",,,#ClimateChange #ActOnClimate,1233187307118874625,https://twitter.com/RepBarbaraLee/status/1233187307118874625
2020-02-27 22:28:00,RepBarbaraLee,,5,51,132,"Everyone deserves to earn a living wage. #FightFor15 #RaiseTheWage",,,#FightFor15 #RaiseTheWage,1233156856719314945,https://twitter.com/RepBarbaraLee/status/1233156856719314945
2020-02-27 21:17:00,RepBarbaraLee,,6,79,146,"In the year #HR8 has stalled in the Senate, 2,887 children &amp; teens died from gun violence. #EnoughIsEnough – it's past time for Mitch McConnell to do his job and bring this life-saving bill to a vote. #EndGunViolence #ForThePeople",,,#HR8 #EnoughIsEnough #EndGunViolence #ForThePeople,1233138988870852609,https://twitter.com/RepBarbaraLee/status/1233138988870852609
2020-02-27 20:05:00,RepBarbaraLee,,2,41,74,"The #Census2020 will begin on April 1 and this year we must ensure that the Black community is fully represented. When our community is undercounted, we lose out on critical federal funding for our neighborhoods. Encourage your family and friends to #BeCounted. #BlackCensus2020",,,#Census2020 #BeCounted #BlackCensus2020,1233120869934915584,https://twitter.com/RepBarbaraLee/status/1233120869934915584
2020-02-27 18:26:00,RepBarbaraLee,,14,117,277,"As governor of Indiana, Pence ignored scientific evidence that led to an HIV outbreak – costing people their lives. Putting him in charge of the coronavirus response is beyond reckless.",,,,1233095955437756416,https://twitter.com/RepBarbaraLee/status/1233095955437756416
2020-02-27 17:34:43,RepBarbaraLee,,378,1243,3478,"Black children are expelled and suspended from preschool at 3 times the rate of white students. Yet DeVos refuses to provide Congress with the data we need to stop babies from being punished. How could anyone be proud of that? #TrumpBudget #ResignDeVos",,,#TrumpBudget #ResignDeVos,1233083049740513281,https://twitter.com/RepBarbaraLee/status/1233083049740513281
2020-02-27 14:23:57,RepBarbaraLee,,17,133,506,"I genuinely don't understand how Betsy DeVos can be proud of the #TrumpBudget. Her entire tenure has done nothing but hurt students of color, low-income students, and students with disabilities. She must be stopped.",,,#TrumpBudget,1233035043322421249,https://twitter.com/RepBarbaraLee/status/1233035043322421249
2020-02-27 00:14:00,RepBarbaraLee,,14,99,261,"Absolutely disgusting and despicable. How can we condone and excuse the murder of innocent people looking for a better life? #DontLookAway",,,#DontLookAway,1232821144589197314,https://twitter.com/RepBarbaraLee/status/1232821144589197314
2020-02-26 21:59:00,RepBarbaraLee,,13,91,254,"Abortion is still legal in all 50 states – and we have to keep fighting to keep it that way. #MyBodyMyChoice",,,#MyBodyMyChoice,1232787170659905537,https://twitter.com/RepBarbaraLee/status/1232787170659905537
2020-02-26 20:37:00,RepBarbaraLee,,11,75,129,"Children are freezing to death in refugee camps. We can't afford to delay – the US and the international community must come together to demand peace. #Syria",,,#Syria,1232766534625292289,https://twitter.com/RepBarbaraLee/status/1232766534625292289
