date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-02 22:33:04,RepDeSaulnier,,0,2,7,"As cases of the virus increase, it is important that everyone be cautious & prepared without panicking. See below for tips from our local health services.",,,,1234607685968056320,https://twitter.com/RepDeSaulnier/status/1234607685968056320
2020-03-02 22:33:04,RepDeSaulnier,,1,1,18,"In Congress, @HouseDemocrats are working to secure emergency funding to ensure that states &amp; localities have the resources they need to properly plan for &amp; treat the coronavirus outbreak.",,@HouseDemocrats,,1234607685011525633,https://twitter.com/RepDeSaulnier/status/1234607685011525633
2020-03-02 20:52:23,RepDeSaulnier,,2,4,2,"Please join us for a town hall on preventing gun violence with special guest, @ContraCostaDA on Wednesday, March 18th. We hope to see you at Diablo Valley College at 6:30 p.m. RSVP: https://desaulnier.house.gov/town-hall-rsvp?fbclid=IwAR0XGT_THgo-9RS23L_SVX-SDLvHWtx4Cy3zUZLMtGj19_cgZQTfHPsm1b4",,@ContraCostaDA,,1234582348093624320,https://twitter.com/RepDeSaulnier/status/1234582348093624320
2020-03-02 17:30:09,RepDeSaulnier,,0,0,2,"How have they affected your financial well-being or shaken your trust? Share your experience here on my page or on my website and we could share your story on the House Floor.",,,,1234531453574242307,https://twitter.com/RepDeSaulnier/status/1234531453574242307
2020-03-02 17:30:09,RepDeSaulnier,,2,6,9,"In 2016, Wells Fargo’s top management committed widespread fraud, incurring fees for customers, damaging their credit scores, and breaching their trust – all while padding the pockets of its corporate executives. Have you been treated unfairly by large banks, like Wells Fargo?",,,,1234531452353761282,https://twitter.com/RepDeSaulnier/status/1234531452353761282
2020-03-02 02:01:02,RepDeSaulnier,,2,4,27,"I am proud to have introduced bipartisan legislation in Congress that would make exercise equipment more accessible for individuals with disabilities. @PleasantHillRec is taking its own steps to provide those needed services with the opening of a new All-Abilities Playground.",,@PleasantHillRec,,1234297634891980810,https://twitter.com/RepDeSaulnier/status/1234297634891980810
2020-03-01 20:43:12,RepDeSaulnier,,2,2,6,"On the final day of February, @CA_Richmond celebrated #BlackHistoryMonth with community events.",,@CA_Richmond,#BlackHistoryMonth #BlackHistoryMonth,1234217646553489408,https://twitter.com/RepDeSaulnier/status/1234217646553489408
2020-03-01 15:36:49,RepDeSaulnier,,1,2,10,"Congrats to the latest graduates from @RubiconPrograms Stepping Stones program in Richmond!",,@RubiconPrograms,,1234140545565458433,https://twitter.com/RepDeSaulnier/status/1234140545565458433
2020-02-29 23:30:00,RepDeSaulnier,,0,3,11,"West County residents have a new resource for mental health and addiction treatment services with the grand opening of @CoCoHealth’s behavioral health center in San Pablo.",,@CoCoHealth,,1233897235735203841,https://twitter.com/RepDeSaulnier/status/1233897235735203841
2020-02-29 19:30:00,RepDeSaulnier,,0,1,6,"Our office was proud to recognize the inaugural cohort of Building Blocks for Kids’ Community Educational Leadership Institute at its graduation ceremony!",,,,1233836837103439882,https://twitter.com/RepDeSaulnier/status/1233836837103439882
2020-02-29 17:20:53,RepDeSaulnier,,0,1,4,"The 32nd District of @CaliforniaPTA presented local high school seniors with scholarships for personal challenge, volunteer service, and all-around PTA values. Congrats to those honored!",,@CaliforniaPTA,,1233804344828596224,https://twitter.com/RepDeSaulnier/status/1233804344828596224
