date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-02 21:08:41,RepGaramendi,,11,2,10,"I'm joining @wolfblitzer on @CNNSitRoom at 6 pm ET/3 pm PT to discuss the coronavirus and other news of the day.",,@wolfblitzer @CNNSitRoom,,1234586449896497153,https://twitter.com/RepGaramendi/status/1234586449896497153
2020-03-02 14:51:30,RepGaramendi,,25,19,33,"Everyone should have access to affordable health care, and no one should have to pay more for the same coverage due to a pre-existing condition. Sadly, the Trump Administration will once again argue the opposite in court.",,,,1234491528040591360,https://twitter.com/RepGaramendi/status/1234491528040591360
2020-03-01 18:59:45,RepGaramendi,,15,1,8,"I’m joining @FWhitfield on @CNNnewsroom at 2:30 pm ET/11:30 am PT to discuss news of the day.",,@FWhitfield @CNNnewsroom,,1234191612919582720,https://twitter.com/RepGaramendi/status/1234191612919582720
2020-03-01 17:41:46,RepGaramendi,,15,8,21,"I’m joining @AlexWitt on @MSNBC at 1:30 pm ET/10:30 am PT to discuss all the news of the day.",,@AlexWitt @MSNBC,,1234171990107467778,https://twitter.com/RepGaramendi/status/1234171990107467778
2020-02-29 11:11:33,RepGaramendi,CBSEveningNews,76,18,37,"I spoke with @CBSEveningNews about the Coronavirus outbreak and what we can do to protect ourselves from exposure.",,@CBSEveningNews,,1233711400842911745,https://twitter.com/RepGaramendi/status/1233711400842911745
2020-02-29 05:48:32,RepGaramendi,,61,9,53,"I’m joining @FOX40 at 10:15 pm PT to deliver an update on the Coronavirus and the steps we can all take to minimize our risk.",,@FOX40,,1233630110558965761,https://twitter.com/RepGaramendi/status/1233630110558965761
2020-02-29 03:22:21,RepGaramendi,DonaldJTrumpJr,10,2,13,"https://twitter.com/repgaramendi/status/1233492378981412864?s=21",,,,1233593320917655552,https://twitter.com/RepGaramendi/status/1233593320917655552
2020-02-28 20:41:15,RepGaramendi,,272,26,150,"3/3 I hope Donald Trump Jr. and the President will join me in this effort.",,,,1233492381439229953,https://twitter.com/RepGaramendi/status/1233492381439229953
2020-02-28 20:41:15,RepGaramendi,,331,34,207,"2/3 There is no threat of physical violence—but he can expect a strong verbal altercation. I will continue working to ensure our communities have the testing kits and resources necessary to successfully address the Coronavirus crisis.",,,,1233492380390653954,https://twitter.com/RepGaramendi/status/1233492380390653954
2020-02-28 20:41:14,RepGaramendi,,634,111,406,"1/3 My sole focus is on the health and safety of my constituents and all Americans. Donald Trump Jr. made the outrageous statement that Democrats want people to die for political purposes. If he wants to come to my office to explain his comments, my door is open.",,,,1233492378981412864,https://twitter.com/RepGaramendi/status/1233492378981412864
