date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-01 20:30:31,RepSpeier,,837,11836,34850,"We are the richest country in the world. We know now that the Coronavirus has been in Washington state for 6 weeks. Where are the test kits?! As of Thursday, South Korea had tested 66,652, the US had tested only 445. The hoax, as @POTUS calls it, is a hoax on the American people.",,@POTUS,,1234214457351516161,https://twitter.com/RepSpeier/status/1234214457351516161
2020-03-01 16:02:36,RepSpeier,,9,118,447,"2020 marks 100 years since the 19th Amendment granted some women the vote. A century later, I’m proud to serve w/a record number of women and WOC in Congress as we continue to fight for #equalpay, reproductive freedom, #ERANow &amp; much more #ForThePeople. #WomensHistoryMonth",,,#equalpay #ERANow #ForThePeople #WomensHistoryMonth,1234147031154876416,https://twitter.com/RepSpeier/status/1234147031154876416
2020-02-28 13:22:55,RepSpeier,,34,193,604,"Censorship won't end this health crisis. Health professionals must be allowed to share life-saving info w/the public. They're the experts, not the Vice President.",,,,1233382071621562369,https://twitter.com/RepSpeier/status/1233382071621562369
2020-02-27 22:55:16,RepSpeier,,6,15,123,"Today, I read “They, She, He Easy as ABC” on the House Floor for #JazzAndFriends Day of School &amp; Community Readings! For years I’ve read “I Am Jazz” on the floor. I’m thrilled to add this delightful book that helps kids celebrate their gender identity!",,,#JazzAndFriends,1233163720425078796,https://twitter.com/RepSpeier/status/1233163720425078796
2020-02-27 12:04:31,RepSpeier,,91,844,2605,"The ineptitude of POTUS & his administration is on full display. His budget would CUT $700 million from the CDC. He says a vaccine may be too costly. What the h—is government for if not to protect people’s HEALTH? We did it w/TB, polio, HIV, smallpox. Mr. President do your job!",,,,1232999955142451201,https://twitter.com/RepSpeier/status/1232999955142451201
2020-02-27 02:45:15,RepSpeier,,19,103,398,"Way to go Scotland, showing that it can and should be done! We should start with making them free in public bathrooms! #endperiodpoverty",,,#endperiodpoverty,1232859207671508992,https://twitter.com/RepSpeier/status/1232859207671508992
2020-02-26 20:52:58,RepSpeier,,9,72,181,"Between 1882-1968, 4,743 people were lynched in the U.S., including 2 reported in California. Nearly 75% of these victims were black. Today, Congress took a stand against racism & vigilantism by FINALLY passing the #EmmettTill Antilynching Act.",,,#EmmettTill,1232770553515302914,https://twitter.com/RepSpeier/status/1232770553515302914
2020-02-26 06:45:54,RepSpeier,,81,670,1961,"Coronavirus doesn’t discriminate, neither should we. As Members of Congress it’s our job to dispel harmful myths while helping our communities prepare for a public health crisis. Illness should never be used to fan the flames of racism & discrimination.",,,,1232557382493884417,https://twitter.com/RepSpeier/status/1232557382493884417
2020-02-25 13:04:32,RepSpeier,,8,41,114,"Yesterday marked 3 years of @SenLeiladeLima's arbitrary imprisonment for being a human rights defender with the courage to speak truth to power. Each day she remains detained is an affront to justice, human rights &amp; fundamental freedoms. #FreeLeilaNow",,@SenLeiladeLima,#FreeLeilaNow,1232290280600166401,https://twitter.com/RepSpeier/status/1232290280600166401
2020-02-24 18:28:45,RepSpeier,,15,106,522,"For all the women who have been victims of sexual assault by men like Harvey Weinstein, know that there is some justice, that speaking out is worth it.",,,,1232009486304411651,https://twitter.com/RepSpeier/status/1232009486304411651
2020-02-24 16:35:07,RepSpeier,,6,147,806,"She gave us the moon, made it possible for the first American astronauts to travel in space and orbit the earth, yet no one knew her name for decades. Thanks to #HiddenFigures, the world now knows Katherine Johnson’s name and we will never forget it!",,,#HiddenFigures,1231980886415093761,https://twitter.com/RepSpeier/status/1231980886415093761
2020-02-24 16:25:32,RepSpeier,,3,75,205,"105 of my House colleagues and I just sent a letter to @USNatArchives urging certification of the #ERANOW. Since our country’s founding, women have been left out of the Constitution – intentionally. Put simply, we have had enough &amp; demand that our equality be recognized!",,@USNatArchives,#ERANOW,1231978476820926470,https://twitter.com/RepSpeier/status/1231978476820926470
2020-02-22 21:10:32,RepSpeier,,18,223,447,"Some Republicans compared HPSCI’s pursuit of truth & justice in the Russia investigation as cultish. I’ve experienced the horrors of a cult firsthand. THIS is what a cult does: punishes independent thought, demands absolute devotion, purges nonbelievers.",,,,1231325423168036867,https://twitter.com/RepSpeier/status/1231325423168036867
2020-02-21 15:38:36,RepSpeier,,279,2559,6783,"Make no mistake, if Russian interference is allowed in our election, it will be transformative. We will be walking into a dictatorship with our eyes wide open. If our intelligence officials fear telling us the truth for fear of losing their jobs, we are exceedingly vulnerable.",,,,1230879501984378886,https://twitter.com/RepSpeier/status/1230879501984378886
2020-02-20 18:44:22,RepSpeier,JRubinBlogger,40,155,883,"Donald Grump is mean and angry every day. Elizabeth Warren can be mean at Wall Street and angry about working people getting stiffed and somehow that’s wrong?",,,,1230563862614687744,https://twitter.com/RepSpeier/status/1230563862614687744
2020-02-20 18:40:03,RepSpeier,,36,303,671,"Michael Cohen, Roger Stone, Paul Manafort, Richard Gates, Michael Flynn -- all in Trump’s inner circular, all found guilty of lying on behalf of Donald J. Trump.",,,,1230562777082687488,https://twitter.com/RepSpeier/status/1230562777082687488
2020-02-19 05:23:06,RepSpeier,,35,97,356,"What do all these guys have in common? They are white, mostly rich and celebrities so to speak.",,,,1229999831734599685,https://twitter.com/RepSpeier/status/1229999831734599685
2020-02-15 23:23:52,RepSpeier,,11,193,1056,"These women put our country before themselves & their safety. There are no 2 individuals more deserving of this honor. Their conviction to stand up for what is right, even if it meant defying the most powerful person in our country, demonstrates true profiles in courage.",,,,1228822263136489472,https://twitter.com/RepSpeier/status/1228822263136489472
2020-02-15 23:22:08,RepSpeier,,9,222,1066,"Amb Yovanovitch has served more than 30 years & literally put her life on the line to protect our country, dodging gunfire & serving in 5 hardship posts before becoming victim to a vicious smear campaign orchestrated by POTUS because of her honest and damning testimony.",,,,1228821828459737089,https://twitter.com/RepSpeier/status/1228821828459737089
2020-02-15 23:21:14,RepSpeier,,4,190,831,"Dr. Hill, a former White House Russia Expert, testified about how dangerous & destructive it was for POTUS to request Ukraine investigate his political rivals to help him boost his chances in the 2020 election, and suffered contempt and character assassination for doing her duty.",,,,1228821598028869632,https://twitter.com/RepSpeier/status/1228821598028869632
2020-02-15 23:20:36,RepSpeier,,304,4728,21320,"I've nominated Dr. Fiona Hill & former Amb Marie Yovanovitch for the @JFKLibrary Profile in Courage Award. These women are heroes in every sense of the word, risking their safety, job security &amp; reputations in order to speak out against corruption. https://www.jfklibrary.org/",,@JFKLibrary,,1228821439773577223,https://twitter.com/RepSpeier/status/1228821439773577223
2020-02-15 00:07:13,RepSpeier,,4,76,357,"This Valentine's Day, our hearts go out to those who have lost loved ones to gun violence. 2 yrs ago, 17 lives were ended at #Parkland. We fight to #EndGunViolence &amp; refuse to allow those in power to bow to the gun lobby as children are slaughtered! Looking at you, @senatemajldr!",,@senatemajldr,#Parkland #EndGunViolence,1228470783082627076,https://twitter.com/RepSpeier/status/1228470783082627076
2020-02-14 20:59:10,RepSpeier,,12,95,387,"We are women, we are equal, we want the #ERANow!",,,#ERANow,1228423459493027841,https://twitter.com/RepSpeier/status/1228423459493027841
2020-02-14 17:27:34,RepSpeier,,41,141,507,"God forbid - women enjoying a tax holiday on tampons like other consumers who will pay no sales tax on clothing, TVs and computers!",,,,1228370210509463559,https://twitter.com/RepSpeier/status/1228370210509463559
2020-02-14 00:01:09,RepSpeier,,68,358,1619,"AG Barr whining he can’t do his job because @POTUS keeps tweeting. Go to court and ask for a gag order. We’d all like a breather from POTUS’ hateful, disparaging, lying tweets!",,@POTUS,,1228106868314267650,https://twitter.com/RepSpeier/status/1228106868314267650
2020-02-13 23:27:49,RepSpeier,,39,298,996,"Roger Stone has been convicted of SEVEN counts by a JURY. @POTUS always playing the victim says the investigation was a disgrace and attacks jurors and the judge. I’d say witness tampering and lying to Congress is the disgrace.",,@POTUS,,1228098480301842432,https://twitter.com/RepSpeier/status/1228098480301842432
