date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-02 22:55:49,RepThompson,,1,10,22,"SCOTUS has announced it will hear a case brought by GOP-led states to invalidate the ACA. This is an effort to repeal the ACA with no replacement, eliminate protections for pre-existing conditions, and kick 20 million people off their insurance. We must #ProtectOurCare.",,,#ProtectOurCare,1234613409305571336,https://twitter.com/RepThompson/status/1234613409305571336
2020-03-02 22:30:14,RepThompson,CDCgov,0,1,8,"The @CDCgov has put out this helpful video with information about how the Coronavirus spreads and how to keep yourself healthy. Remember to wash your hands frequently and clean frequently-used surfaces and objects, like countertops or cellphones.",,@CDCgov,,1234606971069878277,https://twitter.com/RepThompson/status/1234606971069878277
2020-03-02 21:10:00,RepThompson,,1,0,8,"It’s Women’s History Month, a chance to remember the often-forgotten stories of women who make up the fabric of our nation and commemorate our district’s role in this national movement. I introduced my bipartisan legislation to commemorate #WHM20.",,,#WHM20,1234586778712952832,https://twitter.com/RepThompson/status/1234586778712952832
2020-03-01 23:25:21,RepThompson,,1,1,4,"Had a fun evening at the 22nd Annual Stars of Lake County, honoring our local community members and organizations who do so much to give back and support our entire county. Congratulations to this year’s award winners!",,,,1234258452194713603,https://twitter.com/RepThompson/status/1234258452194713603
2020-03-01 20:50:57,RepThompson,,0,1,11,"Great day for some baseball! Had a fun time throwing out the first pitch and watching our Phenom Baseball Red take on the Pleasant Hill Hawks Blue.",,,,1234219599064944643,https://twitter.com/RepThompson/status/1234219599064944643
2020-02-29 20:00:17,RepThompson,CDCgov,1,4,4,"This video from @CDCgov answers some important questions people have about staying safe from the Coronavirus. Check it out and be sure to call ahead before visiting your doctor if you are sick.",,@CDCgov,,1233844458845855745,https://twitter.com/RepThompson/status/1233844458845855745
2020-02-29 17:00:01,RepThompson,,2,3,10,"ICYMI this week I introduced language to prevent FEMA from taking back money from disaster survivors. Their needs must always come first during the recovery process. Read more in @NorthBayNews.",,@NorthBayNews,,1233799092939165696,https://twitter.com/RepThompson/status/1233799092939165696
2020-02-29 14:00:01,RepThompson,,2,3,24,"So proud to have Santa Rosa’s own Chief Gossner testify in support of the PHONE Act, my bipartisan bill to help survivors of natural disasters keep their phone numbers while they rebuild. Thank you, Tony!",,,,1233753795076603904,https://twitter.com/RepThompson/status/1233753795076603904
2020-02-28 21:00:00,RepThompson,,0,5,11,"Questioned Health and Human Services Secretary Azar about the Administration’s efforts to get rid of protections for people with pre-existing conditions and what the Administration is doing to combat the Coronavirus. Watch below.",,,,1233497099901243392,https://twitter.com/RepThompson/status/1233497099901243392
2020-02-28 18:01:13,RepThompson,,2,1,8,"Just voted to pass the Protecting American Lungs and Reversing the Youth Tobacco Epidemic Act, a bill to prevent young people from getting addicted to nicotine by restricting the products that are attractive to them, like JUULs and other flavored tobacco.",,,,1233452109078630401,https://twitter.com/RepThompson/status/1233452109078630401
2020-02-28 16:22:50,RepThompson,,0,1,6,"Other tips on staying healthy include washing your hands frequently for at least 20 seconds and cleaning frequently touched surfaces and objects like your phone, countertops, etc. Learn more from the @CDCgov here. https://www.cdc.gov/coronavirus/2019-ncov/about/prevention-treatment.html",,@CDCgov,,1233427348806127616,https://twitter.com/RepThompson/status/1233427348806127616
2020-02-28 16:22:50,RepThompson,,5,6,18,"Just got out of a briefing on #COVID19 and have a few important tips that I wanted to pass along. Go to the doctor if you are sick. Avoid contact with people who are sick and try not to touch your face.",,,#COVID19,1233427347732299782,https://twitter.com/RepThompson/status/1233427347732299782
2020-02-28 00:30:00,RepThompson,,1,3,8,"Exciting news – my bipartisan PHONE Act, just got a hearing in the @EnergyCommerce Subcommittee on Communications and Technology. My bill would allow disaster survivors to keep their phone numbers while they rebuild. More here:",,@EnergyCommerce,,1233187558814650369,https://twitter.com/RepThompson/status/1233187558814650369
2020-02-27 23:30:04,RepThompson,,10,34,116,"It’s been one year since the House passed #HR8, my bipartisan bill to expand background checks. Since then, tens of thousands have lost their lives to gun violence. When will enough be enough for Leader McConnell?",,,#HR8,1233172476739407872,https://twitter.com/RepThompson/status/1233172476739407872
2020-02-27 22:15:03,RepThompson,,6,56,181,"Honored to stand with my colleagues and so many incredible advocates as we mark one year since the House passed #HR8, my bipartisan bill to expand background checks. Our fight to pass this bill continues and we will get this done!",,,#HR8,1233153600723005446,https://twitter.com/RepThompson/status/1233153600723005446
2020-02-27 20:08:04,RepThompson,,1,11,19,"After 365 days, tens of thousands of deaths, and millions of lives forever changed, there is one man standing in the way our work to pass #HR8 and help save lives – Leader McConnell. RT to tell him it’s time to act to #EndGunViolence.",,,#HR8 #EndGunViolence,1233121642777391104,https://twitter.com/RepThompson/status/1233121642777391104
2020-02-27 19:05:40,RepThompson,SpeakerPelosi,2,8,16,"Today marks one year since the House passed #HR8, my bipartisan bill to expand background checks and help prevent gun violence. The Senate has refused to act. Proud to join @SpeakerPelosi to call on Leader McConnell to hold a vote. Tune in LIVE.",,@SpeakerPelosi,#HR8,1233105940452446208,https://twitter.com/RepThompson/status/1233105940452446208
2020-02-27 17:40:02,RepThompson,,0,5,13,"So proud to have Santa Rosa Fire Chief Tony Gossner in Washington today to testify about my bipartisan PHONE Act and to talk to Members of Congress about the importance of strong communications and technology in disaster situations. Thank you, Chief Gossner!",,,,1233084387153063937,https://twitter.com/RepThompson/status/1233084387153063937
2020-02-27 16:45:06,RepThompson,CDCgov,0,1,4,"The @CDCgov has issued a travel notice for people who may have plans to go to Italy or Iran because of an ongoing spread of #COVID19 in those countries. Get more information below about this notice and how to keep yourself safe from the virus.",,@CDCgov,#COVID19,1233070563897139200,https://twitter.com/RepThompson/status/1233070563897139200
2020-02-26 23:47:05,RepThompson,,5,39,88,"Heartbreaking news out of Milwaukee. We mourn for the families, loved ones, and community forever changed. As we prepare to mark one year since #HR8, this is a tragic reminder of the real impact this violence has and that we must fight to get this bill signed into law.",,,#HR8,1232814373334331392,https://twitter.com/RepThompson/status/1232814373334331392
2020-02-26 23:00:00,RepThompson,,2,1,31,"Jan surprised me with tickets to Hamilton in San Francisco this weekend! What a great performance.",,,,1232802523016310787,https://twitter.com/RepThompson/status/1232802523016310787
2020-02-26 22:08:01,RepThompson,,0,2,6,"Great to meet and talk with the students from Jesse Bethel High School who are in town with the Close Up Foundation. Thank you for your great questions and engagement.",,,,1232789440088756225,https://twitter.com/RepThompson/status/1232789440088756225
2020-02-26 20:00:00,RepThompson,,0,4,10,"Almost a year to the day the House passed #HR8, my bipartisan bill to expand background checks, McConnell continues to hold it up in the Senate. He’s putting the safety of millions of Americans at risk. More about #HR8 and the other bills he’s blocking:",,,#HR8 #HR8,1232757224365121536,https://twitter.com/RepThompson/status/1232757224365121536
2020-02-26 17:30:00,RepThompson,,0,3,8,"Exciting news – today my bill to prevent FEMA from taking away critical assistance from disaster survivors was marked up in the @TransportDems, an important step before it gets a vote. Watch the markup of H.R. 5953 here:",,@TransportDems,,1232719475260215297,https://twitter.com/RepThompson/status/1232719475260215297
2020-02-26 16:48:21,RepThompson,CDCgov,2,3,11,"An update on #COVID19 – @CDCgov is saying that at this time, people in America are at a low risk. Everyone should take steps to stay healthy and safe. Get a flu shot, wash your hands frequently and consult a medical provider if you are sick.",,@CDCgov,#COVID19,1232708993036029952,https://twitter.com/RepThompson/status/1232708993036029952
2020-02-26 01:00:00,RepThompson,,2,5,15,"Met with local leaders and community representatives yesterday to talk about what we can work on to tackle homelessness in Napa County and across our district.",,,,1232470332801290241,https://twitter.com/RepThompson/status/1232470332801290241
2020-02-25 21:38:15,RepThompson,,2,1,1,"Had a chance to meet with Linsey Gallagher, the new Executive Director at Visit Napa Valley, and talk about what they are working on to promote our local businesses right here in Napa.",,,,1232419562538360836,https://twitter.com/RepThompson/status/1232419562538360836
2020-02-25 20:50:05,RepThompson,,2,4,14,"The needs of disaster survivors must always come first and this is a smart solution to prevent FEMA from trying to take away critical assistance awarded to survivors. Learn more here:",,,,1232407440907554816,https://twitter.com/RepThompson/status/1232407440907554816
2020-02-25 20:50:05,RepThompson,,1,2,14,"Today I joined with Democrats and Republicans to introduce the bipartisan Preventing Disaster Revictimization Act.",,,,1232407439976300547,https://twitter.com/RepThompson/status/1232407439976300547
2020-02-25 20:30:33,RepThompson,,0,3,4,"Exciting news – @EnergyCommerce is having a subcommittee hearing on my bipartisan PHONE Act, a bill to allow disaster survivors to keep their phone numbers while their homes are being rebuilt. Tune in Thursday at 10:30am ET/7:30am PT. https://www.youtube.com/watch?v=BRvuFpcIoH4&amp;feature=emb_title",,@EnergyCommerce,,1232402524319162369,https://twitter.com/RepThompson/status/1232402524319162369
