date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-02 18:37:34,RepZoeLofgren,,7,25,122,"I'm proud to be one of 90 @HouseDemWomen in this trailblazing 116th Congress. During #WomensHistoryMonth, as we honor the women whose shoulders we stand on, we'll keep fighting for: Equal Pay Better health care Reproductive freedom Equality for all",,@HouseDemWomen,#WomensHistoryMonth,1234548417650622465,https://twitter.com/RepZoeLofgren/status/1234548417650622465
2020-02-28 20:21:33,RepZoeLofgren,washingtonpost,3,17,56,"This is good news for children & families. As I've said before, 'Remain in Mexico' is inconsistent w/@DHSgov's authority &amp; inhumanely forces thousands to wait in dangerous conditions before their asylum claims are heard. It's a harmful policy &amp; I’m glad the court rejected it.",,@DHSgov,,1233487424350715906,https://twitter.com/RepZoeLofgren/status/1233487424350715906
2020-02-28 15:06:51,RepZoeLofgren,,5,14,34,".@RepAnnaEshoo &amp; I know the widespread support for the Online Privacy Act is a rallying call for decisive action to protect Americans’ privacy. We must put an end to unfair business practices that deny users control over their own data. More http://bit.ly/3cecFK6",,@RepAnnaEshoo,,1233408225363533826,https://twitter.com/RepZoeLofgren/status/1233408225363533826
2020-02-27 22:54:57,RepZoeLofgren,,2,7,23,"Proud to stand w/@ThisSpudsForYou @RepNewhouse @CongMikeSimpson @RepJimmyPanetta &amp; @RepLaMalfa urging the Senate to take action on our bipartisan, House-passed Farm Workforce Modernization Act. #FutureFarmWorkforce ",,@ThisSpudsForYou @RepNewhouse @CongMikeSimpson @RepJimmyPanetta @RepLaMalfa,#FutureFarmWorkforce,1233163638053253120,https://twitter.com/RepZoeLofgren/status/1233163638053253120
2020-02-27 20:02:59,RepZoeLofgren,,3,11,21,"The Trump Administration’s efforts to drastically decrease refugee admissions has gone against our country's longstanding commitment to refugee resettlement. Tune in to a live hearing now on the state of the U.S. Refugee Program ",,,,1233120362747060224,https://twitter.com/RepZoeLofgren/status/1233120362747060224
2020-02-21 20:41:03,RepZoeLofgren,,10,11,33,"Yesterday, @RepAnnaEshoo, @CASOSvote, @PrezPapazian &amp; I celebrated the new @CityofSanJose Voting Center at @SJSU &amp; held an Election Security Town Hall. We're all committed to securing our elections &amp; making them more transparent. ICYMI: http://bit.ly/2HINkdl",,@RepAnnaEshoo @CASOSvote @PrezPapazian @CityofSanJose @SJSU,,1230955616488828929,https://twitter.com/RepZoeLofgren/status/1230955616488828929
2020-02-12 23:39:59,RepZoeLofgren,,6,12,38,"Millions of Californians have been impacted by devastating fires or experienced disruptive power outages. Today, @HouseScience passed measures to: help prevent wildfires provide support during power shutoffs establish a grid tech workforce program",,@HouseScience,,1227739157054836736,https://twitter.com/RepZoeLofgren/status/1227739157054836736
2020-02-12 14:49:51,RepZoeLofgren,,13,33,112,"The Trump Administration's #MuslimBan has not made us safer. It has weakened America's standing in the world &amp; runs contrary to our country’s moral &amp; philosophical foundation. You can watch the #NoBan Act live debate this morning ",,,#MuslimBan #NoBan,1227605740816404481,https://twitter.com/RepZoeLofgren/status/1227605740816404481
2020-02-10 20:41:34,RepZoeLofgren,,20,139,180,"Today, the FY 2021 #TrumpBudget came out. From manufacturing to medical research, it's clear the President's words don't match his intended actions: http://bit.ly/2UIfkp0",,,#TrumpBudget,1226969479722213378,https://twitter.com/RepZoeLofgren/status/1226969479722213378
2020-01-28 16:23:59,RepZoeLofgren,,1991,14454,54653,"I’ve worked on 3 impeachments in my life: -Nixon resigned in disgrace -Clinton apologized to the nation & repented -Trump says his behavior was “perfect,” keeps trying to cheat our elections, & says he has a right to abuse his power That’s why we must #DefendOurDemocracy",,,#DefendOurDemocracy,1222193614698270721,https://twitter.com/RepZoeLofgren/status/1222193614698270721
2020-01-24 17:53:49,RepZoeLofgren,TODAYshow,166,196,1186,"It’s an honor to serve as a manager alongside @RepValDemings &amp; @RepSylviaGarcia. The fact that this group better reflects the diversity of the American public than ever before is a welcome development.",,@RepValDemings @RepSylviaGarcia,,1220766670911832066,https://twitter.com/RepZoeLofgren/status/1220766670911832066
