date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-02 22:50:55,RobBontaCA,,2,2,11,"All students deserve a healthy meal so they can learn and reach their full potential.Proud to co-author ACR 178 by @AsmBlancaRubio declaring #SchoolBreakfastWeek! And what a thrill it was to join @StephenCurry30 recently promoting #BreakfastAfterTheBell &amp; literacy!",,@AsmBlancaRubio @StephenCurry30,#SchoolBreakfastWeek #BreakfastAfterTheBell,1234612176687468544,https://twitter.com/RobBontaCA/status/1234612176687468544
2020-03-02 03:06:03,RobBontaCA,,0,4,12,"Proud to mark #RareDiseaseDay 2020 at @ChabotSpace and Science Center in Oakland. I'm always struck by the strength &amp; resolve of families &amp; advocates. As co-chair of the Rare Disease CA Caucus, we're raising awareness &amp; share the mantra: Alone we are Rare, Together we are Strong! – at Chabot Space &amp; Science Center",,@ChabotSpace,#RareDiseaseDay,1234313993247834112,https://twitter.com/RobBontaCA/status/1234313993247834112
2020-02-29 01:07:30,RobBontaCA,,4,9,23,"My #AB3118 would cover food as a benefit under MediCal for patients with medical conditions. This is an exciting way to improve health through the growing food is medicine approach. Much of the innovation for this took place here in Alameda County! #CALeg",,,#AB3118 #CALeg,1233559386041176065,https://twitter.com/RobBontaCA/status/1233559386041176065
2020-02-26 03:29:50,RobBontaCA,,3,0,5,"Congratulations to @JimWunderman on his appointment as Chair of the Board of the San Francisco Bay Area Water Emergency Transportation Authority (WETA) &amp; Happy 20th Anniversary to Bay Crossings! #BayArea",,@JimWunderman,#BayArea,1232508041209077760,https://twitter.com/RobBontaCA/status/1232508041209077760
2020-02-25 20:30:46,RobBontaCA,,0,4,12,"I'm proud to join @carecensf at the #TPS Day of Action and stand in support of the Temporary Protected Status Program. One of my top priorities in the #CAleg has been to stand up for and protect our immigrant communities in CA. #FamiliesBelongTogether @Carecen_LA @CarecenDC",,@carecensf @Carecen_LA @CarecenDC,#TPS #CAleg #FamiliesBelongTogether,1232402578186493952,https://twitter.com/RobBontaCA/status/1232402578186493952
2020-02-24 21:51:51,RobBontaCA,,2,6,23,"Proud to partner w/ my #CAleg colleagues @AsmGrayson, @DavidChiu, @AsmToddGloria &amp; @ASMGabriel to build more housing in CA and address local housing fees that can greatly increase the cost of housing. Thx to our great advocates like @cayimby and @Habitat_org for helping families!",,@AsmGrayson @DavidChiu @AsmToddGloria @cayimby @Habitat_org,#CAleg,1232060596629098496,https://twitter.com/RobBontaCA/status/1232060596629098496
2020-02-24 19:43:37,RobBontaCA,,5,47,85,"CA is the only state to not license or certify athletic trainers! Unregulated & unlicensed practitioners can put our @CIFState student athletes at greater risk of injury or even death. My #AB1665 will change that! Thanks @CATA_AT for your partnership! We know #SafetyIsNotaGame",,@CIFState @CATA_AT,#AB1665 #SafetyIsNotaGame,1232028325054279682,https://twitter.com/RobBontaCA/status/1232028325054279682
2020-02-23 00:25:49,RobBontaCA,,0,2,9,"Honored to be the keynote speaker at the @FBANCorg &amp; Bay Area PALS Coalition inaugural Pilipinx-American Law Students Conference at @UCHastingsLaw! In the fight for justice, community &amp; representation matter - everyday people can make meaningful change. Maraming salamat! Mabuhay!",,@FBANCorg @UCHastingsLaw,,1231374566154358784,https://twitter.com/RobBontaCA/status/1231374566154358784
2020-02-21 06:30:53,RobBontaCA,,3,13,79,"Thank you @CALimmigrant for honoring and recognizing my talented and tenacious Legislative Director Maheen Ahmed who each day advances and advocates for inclusive policies that, like @CALimmigrant, build a thriving future for ALL Californians. #CALeg #OurCAValues",,@CALimmigrant @CALimmigrant,#CALeg #OurCAValues,1230741664487968771,https://twitter.com/RobBontaCA/status/1230741664487968771
2020-02-21 03:55:47,RobBontaCA,,0,8,23,"My #SafeCaliforniaCivilRightsAct will ensure local values &amp; #OurCAValues guide our officers' actions to protect civil liberties for all by creating greater transparency &amp; oversight for agencies &amp; officers participating in Federal Joint Terrorism Task Forces. #AB2598 #CAleg",,,#SafeCaliforniaCivilRightsAct #OurCAValues #AB2598 #CAleg,1230702633448394752,https://twitter.com/RobBontaCA/status/1230702633448394752
2020-02-21 03:26:15,RobBontaCA,,0,3,10,"Congratulations to @gmch for breaking ground on their new construction and landscaping project. This project will give children facing serious illnesses a new area of play, fun, and escape. Thank you to George Mark Children’s House for all the amazing work you continue to do!",,@gmch,,1230695199950557186,https://twitter.com/RobBontaCA/status/1230695199950557186
2020-02-20 21:32:57,RobBontaCA,,2,20,48,"Today, I introduced a package of 3 bills to protect the privacy, safety & well-being of Californians and immigrant communities. Proud of our co-sponsors and supporters! Read more about the bills here===> https://bit.ly/2HEwNH1 #CivilLibertiesForAll #CAleg #AB2596 #AB2597 #AB2598",,,#CivilLibertiesForAll #CAleg #AB2596 #AB2597 #AB2598,1230606289878732802,https://twitter.com/RobBontaCA/status/1230606289878732802
2020-02-19 23:22:25,RobBontaCA,,4,2,19,"Enjoyed joining my colleagues and friends at today’s State of the State Address! #StateoftheState #CASOTS – at California State Capitol",,,#StateoftheState #CASOTS,1230271450046554113,https://twitter.com/RobBontaCA/status/1230271450046554113
