date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-02 05:56:50,RonAssembly,,0,0,0,"Make California the Golden State Again : Sondergaard for State Assembly ... https://youtu.be/ZruGOgsKk-U via @YouTube",,@YouTube,,1234356975120445441,https://twitter.com/RonAssembly/status/1234356975120445441
2020-02-28 23:06:52,RonAssembly,jenvanlaar,0,0,2,"#RepealAB5",,,#RepealAB5,1233529028490825728,https://twitter.com/RonAssembly/status/1233529028490825728
2020-02-27 18:33:05,RonAssembly,hannahcwiley,0,0,6,"Just tossing some bones. #divideandconquer an atrocious way to govern.",,,#divideandconquer,1233097738473984001,https://twitter.com/RonAssembly/status/1233097738473984001
2020-02-27 17:30:12,RonAssembly,,2,10,15,"#RepealAB5 #AB5 #AB1928 Look who just voted to deny you your right to work a job and schedule that makes sense to you. The single-party monopoly continues its attack on Liberty.",,,#RepealAB5 #AB5 #AB1928,1233081913960620032,https://twitter.com/RonAssembly/status/1233081913960620032
2020-02-27 04:17:34,RonAssembly,KevinKileyCA,0,0,1,"Repeal #AB5",,,#AB5,1232882441632632832,https://twitter.com/RonAssembly/status/1232882441632632832
2020-02-27 02:04:37,RonAssembly,,0,0,0,"Make California the Golden State Again! Elect Ron Sondergaard for State Assembly 2020 https://youtu.be/tfnGOROIDYI via @YouTube",,@YouTube,,1232848984495931392,https://twitter.com/RonAssembly/status/1232848984495931392
2020-02-26 16:06:01,RonAssembly,KevinKileyCA,0,1,3,"We must repeal this horrible law.",,,,1232698340506132485,https://twitter.com/RonAssembly/status/1232698340506132485
2020-02-19 07:17:47,RonAssembly,davincidiva,1,4,17,"I will vote to #RepealAB5",,,#RepealAB5,1230028692396490752,https://twitter.com/RonAssembly/status/1230028692396490752
2020-02-14 15:37:56,RonAssembly,SMarieC11,0,0,1,"Levine apparently wants California to follow the pattern of North Korea and Nazi Germany. Sure, I think citizens should vote, but the government must not force it. Illness, travel, disgust = lots of reasons to abstain.",,,,1228342617550643200,https://twitter.com/RonAssembly/status/1228342617550643200
2020-02-09 23:21:59,RonAssembly,Gishigan,1,0,0,"If it's not fascism, what is it?",,,,1226647460858097664,https://twitter.com/RonAssembly/status/1226647460858097664
2020-02-07 09:12:43,RonAssembly,kfbk,0,0,0,"#ab2070 reminds me of Nazi Germany and North Korea that forced its citizens to vote. I'm running against Levine to Restore common sense. Reject fascism. Reject #MarcLevine http://sondergaard4assembly.com ""An educated citizenry is a vital requisite for our survival as a free people.""",,,#ab2070 #MarcLevine,1225708959895445505,https://twitter.com/RonAssembly/status/1225708959895445505
