date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-02 03:58:59,SamBethechange,austinintal,0,0,1,"I don’t understand why you have such a problem with me or my stances. We have never talked let alone discussed our stances.",,,,1234327316081197056,https://twitter.com/SamBethechange/status/1234327316081197056
2020-03-02 03:58:57,SamBethechange,,0,0,1,"I sat with a #twospirit drum at the BAAITS powwow and representing the #mmiw movement.",,,#twospirit #mmiw,1234327307407413249,https://twitter.com/SamBethechange/status/1234327307407413249
2020-03-02 03:22:45,SamBethechange,AxleHellfire,1,0,1,"If you’re still interested in clarification on any position please feel free to reach out.",,,,1234318195571318786,https://twitter.com/SamBethechange/status/1234318195571318786
2020-03-02 03:12:16,SamBethechange,austinintal,0,0,2,"I would love to take time to compare our stances @austinintal because I’ve never actually met you and the only interaction we had was you asking me to drop out, then offering my brother a job. I would be happy to have a conversation with you.",,@austinintal,,1234315558935334913,https://twitter.com/SamBethechange/status/1234315558935334913
2020-03-02 02:58:35,SamBethechange,AxleHellfire,0,0,1,"It’s mostly because despite my constant attempts to reach out to news outlets and try to get interviews, I only ever received one call back. If you have questions I’d be happy to answer them.",,,,1234312113906016257,https://twitter.com/SamBethechange/status/1234312113906016257
2020-02-15 19:05:22,SamBethechange,,0,0,2,"I have been off twitter for a little while due to being super busy but I am back and willing to answer questions any of y’all have.",,,,1228757209577746432,https://twitter.com/SamBethechange/status/1228757209577746432
2020-02-02 18:41:42,SamBethechange,euroclyde,0,0,1,"I don’t think the rules should be rewritten to allow Bloomberg on the stage mid election and I think what they’re doing is wrong. What I mean is we need a system for those campaigns that are public funded to have access to the debate state.",,,,1224040211409014784,https://twitter.com/SamBethechange/status/1224040211409014784
2020-02-02 18:40:21,SamBethechange,euroclyde,0,0,1,"I mean there should be other thresholds to meet to be on the stage. Fundraising is not easy unless a campaign has funds to start with.",,,,1224039872052125696,https://twitter.com/SamBethechange/status/1224039872052125696
2020-02-02 18:07:12,SamBethechange,euroclyde,1,0,0,"Big money has no place in politics. Its about the issues, not who spends the most. I support Bernie for president and the DNC has actively worked towards barring anyone new from the presidential seat. But if we want to attack big money, donation thresholds should be removed too.",,,,1224031526595125248,https://twitter.com/SamBethechange/status/1224031526595125248
2020-01-23 00:16:25,SamBethechange,PeterLiuCAGov18,0,0,0,"I did. Thank you",,,,1220138177207234561,https://twitter.com/SamBethechange/status/1220138177207234561
