date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-01 23:50:30,SaraB4AD15,emmagallegos,0,0,1,"The misuse of Calvin is what really stings",,,,1234264781432881153,https://twitter.com/SaraB4AD15/status/1234264781432881153
2020-03-01 23:46:02,SaraB4AD15,descripticon,0,0,1,"Hey hey hey, talk to me about my Take It Back platform: https://www.sarabrinkforad15.com/takeitback",,,,1234263659200704512,https://twitter.com/SaraB4AD15/status/1234263659200704512
2020-03-01 20:54:05,SaraB4AD15,,0,0,2,"Ooh lordt, I look forward to this primary being over and finding out what's next. Good thing I chose the year California switched from June to March, eh. Everybody go vote!",,,,1234220384888573953,https://twitter.com/SaraB4AD15/status/1234220384888573953
2020-02-29 20:31:46,SaraB4AD15,BLeeForCongress,0,0,1,"How can we help you get rid of her?",,,,1233852382259355649,https://twitter.com/SaraB4AD15/status/1233852382259355649
2020-02-29 20:18:14,SaraB4AD15,prisonculture,0,0,8,"Also, who is making plans to care for our unhoused neighbors? They're more vulnerable than those of us who spend the night indoors.",,,,1233848974643224576,https://twitter.com/SaraB4AD15/status/1233848974643224576
2020-02-29 19:07:39,SaraB4AD15,jnoisecat,0,0,0,"GREAT question.",,,,1233831212541599744,https://twitter.com/SaraB4AD15/status/1233831212541599744
2020-02-29 18:29:52,SaraB4AD15,,0,0,0,"Can we shorten election season to four months? Then it's a project that we all participate in together for a bit, instead of a grueling years-long marathon. (Did I realize that if I get through the primary, I have to campaign after work for a whole year? Yes. Yes I did.)",,,,1233821704549306368,https://twitter.com/SaraB4AD15/status/1233821704549306368
2020-02-29 04:47:59,SaraB4AD15,N7IRL,0,0,1,"Boy, it's weird that this candidate attracts people who make big promises and then mismanage other people's money.",,,,1233614871536656384,https://twitter.com/SaraB4AD15/status/1233614871536656384
2020-02-29 04:21:33,SaraB4AD15,N7IRL,1,0,1,"It's the Era of Grift, there are so many of them that now I don't even know who you're talking about, lol.",,,,1233608218762366976,https://twitter.com/SaraB4AD15/status/1233608218762366976
2020-02-29 04:16:07,SaraB4AD15,N7IRL,1,0,1,"Well you could just be a slimy misogynist who already gets away with lying about Black women, so you might approach lying about a white woman as totally within your lane.",,,,1233606853881257984,https://twitter.com/SaraB4AD15/status/1233606853881257984
2020-02-29 01:42:58,SaraB4AD15,spozbo,0,0,0,"Thank you Will! I think the campaign playlist is the best way to get to know me, for real. I listen to it when I need to psych myself up. https://open.spotify.com/playlist/0m15ozJ1hSSy2LnRE25JFW?si=Ll9tKQdQSeGd2j0D46j0kQ",,,,1233568308613410817,https://twitter.com/SaraB4AD15/status/1233568308613410817
2020-02-29 01:36:19,SaraB4AD15,JamieSeagull,0,0,0," ",,,,1233566635060953088,https://twitter.com/SaraB4AD15/status/1233566635060953088
2020-02-27 03:18:50,SaraB4AD15,,0,0,0,"""Organizers said they want the village to reallocate resources from the proposed new or renovated Oak Park police station to fund youth initiatives ... seek to have resource officers removed from schools ..."" Hometown love. ",,,,1232867660162977793,https://twitter.com/SaraB4AD15/status/1232867660162977793
2020-02-27 03:10:59,SaraB4AD15,blogdiva,0,4,5,"They welcome the chaos mass pandemic deaths would cause.",,,,1232865686227017728,https://twitter.com/SaraB4AD15/status/1232865686227017728
2020-02-26 03:07:46,SaraB4AD15,,0,0,1,"Given Bloomberg's history, I suspect he doesn't support gun control because he thinks it's horrible when folks die by guns, but rather because he wants to take away the pitchforks from the peasants.",,,,1232502489653465093,https://twitter.com/SaraB4AD15/status/1232502489653465093
2020-02-25 04:20:55,SaraB4AD15,eveewing,0,0,0,"I've been considering taking the campaign off of social in the general for this reason. That, and Facebook is a right-wing propaganda laundering outfit.",,,,1232158507958292481,https://twitter.com/SaraB4AD15/status/1232158507958292481
2020-02-25 04:01:00,SaraB4AD15,,0,0,0,"I'm arranging details for what will either be a ""Better Luck Next Time!"" or a ""WTF Do We Do Now?"" party after the 3rd. I'll get y'all the deets soon if you'd like to come meet me and hang.",,,,1232153495437885440,https://twitter.com/SaraB4AD15/status/1232153495437885440
