date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-02 22:23:09,Steve_Glazer,SovernNation,2,3,11,"This bi-partisan measure is a feel good vote that we can all get behind. Yes on 13!!",,,,1234605187932676096,https://twitter.com/Steve_Glazer/status/1234605187932676096
2020-03-02 18:58:02,Steve_Glazer,Steve_Glazer,0,1,4,"Deadline in next 24 hours to sign up as a district delegate. You can help @JoeBiden win in California and finish our primary work in Milwaukee!!",,@JoeBiden,,1234553570931793920,https://twitter.com/Steve_Glazer/status/1234553570931793920
2020-03-01 03:40:39,Steve_Glazer,JoeBiden,0,3,11,"Important to note that after the first 4 state elections, @JoeBiden first in popular vote. #JoeMentum !!",,@JoeBiden,#JoeMentum,1233960316326703106,https://twitter.com/Steve_Glazer/status/1233960316326703106
2020-03-01 00:01:17,Steve_Glazer,,0,1,17,"Thrilled at his win here. On to Super Tuesday!!! ⁦@JoeBiden⁩",,@JoeBiden,,1233905109974712321,https://twitter.com/Steve_Glazer/status/1233905109974712321
2020-02-28 22:33:24,Steve_Glazer,,1,1,2,"The @JoeBiden team is looking for folks to run to be a California delegate for #TeamJoe at the Democratic Convention in July. Sign up here: https://cadem.smapply.io/prog/district-level_delegates_form_a/",,@JoeBiden,#TeamJoe,1233520603933691906,https://twitter.com/Steve_Glazer/status/1233520603933691906
2020-02-27 14:45:38,Steve_Glazer,,0,0,5,"Thanks for the endorsement. Legislating is a team effort so much appreciation to my legislative partners, stakeholders and community leaders. Steve Glazer’s Effective Leadership Benefits the Tri-Valley",,,,1233040498400477190,https://twitter.com/Steve_Glazer/status/1233040498400477190
2020-02-27 04:28:13,Steve_Glazer,JoeBiden,1,0,3,"It is nice to know the touchstones that sustain each of us in good times and bad. I’m glad the dialogue and debate has slowed down enough for these types of answers to be heard.",,,,1232885121901973504,https://twitter.com/Steve_Glazer/status/1232885121901973504
2020-02-26 23:58:30,Steve_Glazer,,1,2,27,"It was an honor to meet with Isabel Bueso, who came to the U.S. from Guatemala for life saving clinical trials. Thankful for her courage in speaking out for healthcare treatments for others. Many thanks to ⁦@shannongrove⁩ for helping Isabel stay in the U.S. for her care.",,@shannongrove,,1232817246822494208,https://twitter.com/Steve_Glazer/status/1232817246822494208
2020-02-26 17:12:02,Steve_Glazer,JoeBiden,1,2,11,"Great endorsement!",,,,1232714954383314944,https://twitter.com/Steve_Glazer/status/1232714954383314944
2020-02-26 00:02:17,Steve_Glazer,,1,1,12,"Great to have 4th -6th grade students from Concordia School in Concord visit with me on the Senate floor. There was at least one future presidential candidate in the group!!",,,,1232455809461698561,https://twitter.com/Steve_Glazer/status/1232455809461698561
