date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-02 22:13:29,TamikaGHamilton,WilkowMajority,1,1,20,"Thank you Andrew! We’re going to make HISTORY.",,,,1234602753923506181,https://twitter.com/TamikaGHamilton/status/1234602753923506181
2020-03-02 21:12:22,TamikaGHamilton,,33,167,508,"It’s time District 3. Let’s make History. Can’t stop God’s plan. Let’s take down the old guard. And that transcends government.....#Tamika2020",,,#Tamika2020,1234587376350973953,https://twitter.com/TamikaGHamilton/status/1234587376350973953
2020-03-02 05:59:13,TamikaGHamilton,QuanKimberly,0,0,5," you Kim",,,,1234357573031096320,https://twitter.com/TamikaGHamilton/status/1234357573031096320
2020-03-02 01:10:03,TamikaGHamilton,CAGOP,12,167,450,"Only 2 more days til March 3. Let’s make history! #GOTV",,,#GOTV,1234284802838122496,https://twitter.com/TamikaGHamilton/status/1234284802838122496
2020-03-02 01:08:24,TamikaGHamilton,Surabees,1,1,3,"I’m running for Congress against @RepGaramendi and I will unseat him!",,@RepGaramendi,,1234284386658308097,https://twitter.com/TamikaGHamilton/status/1234284386658308097
2020-03-02 00:19:21,TamikaGHamilton,,9,128,359,"My campaign family rides for me!!! #Tamika2020",,,#Tamika2020,1234272045250121730,https://twitter.com/TamikaGHamilton/status/1234272045250121730
2020-02-29 15:11:03,TamikaGHamilton,PatriciaBrink16,1,0,1,"Great to see you again! #GOTV",,,#GOTV,1233771673226113025,https://twitter.com/TamikaGHamilton/status/1233771673226113025
2020-02-28 20:20:05,TamikaGHamilton,,25,256,310,"My opponent @RepGaramendi at his best. It’s past time to retire this 50yr career politician! Help me defeat @RepGaramendi R/T &amp; don’t forget to Donate. https://secure.anedot.com/tamika-hamilton-for-congress/contribute",,@RepGaramendi @RepGaramendi,,1233487052878077952,https://twitter.com/TamikaGHamilton/status/1233487052878077952
2020-02-28 04:11:13,TamikaGHamilton,haze_martha,0,0,2,"I’m running in California. I’m going to take John Garamendi’s seat.",,,,1233243231183241216,https://twitter.com/TamikaGHamilton/status/1233243231183241216
2020-02-27 22:12:46,TamikaGHamilton,Ace_Tarheel,1,0,3," ",,,,1233153025935458306,https://twitter.com/TamikaGHamilton/status/1233153025935458306
2020-02-27 21:09:20,TamikaGHamilton,OceanPatriot9,0,1,1," ",,,,1233137061844021249,https://twitter.com/TamikaGHamilton/status/1233137061844021249
2020-02-27 21:08:01,TamikaGHamilton,AdrianNormanDC,0,0,9,"Yet when he is found, he must restore sevenfold; He may have to give up all the substance of his house (Proverbs 6:31)",,,,1233136731332825088,https://twitter.com/TamikaGHamilton/status/1233136731332825088
2020-02-27 20:35:38,TamikaGHamilton,,3,19,94,"You will know them by their fruit.",,,,1233128578243411973,https://twitter.com/TamikaGHamilton/status/1233128578243411973
2020-02-26 14:57:19,TamikaGHamilton,christafalo,1,0,4,"Thank you @christafalo. God is going to give us what we’ve been praying for. Keep my family in your prayers as well.",,@christafalo,,1232681052939751424,https://twitter.com/TamikaGHamilton/status/1232681052939751424
2020-02-26 05:54:40,TamikaGHamilton,vacareporter,0,0,1,"Thank you Nick!",,,,1232544491367587840,https://twitter.com/TamikaGHamilton/status/1232544491367587840
2020-02-26 05:54:24,TamikaGHamilton,vacareporter,0,24,46,"Thank you Nick for sitting down with me today. Check out the latest article about my candidacy @vacareporter",,@vacareporter,,1232544424334221319,https://twitter.com/TamikaGHamilton/status/1232544424334221319
2020-02-26 01:15:06,TamikaGHamilton,CyFlys,0,0,1,"I appreciate you. I will be #8",,,,1232474134552006656,https://twitter.com/TamikaGHamilton/status/1232474134552006656
2020-02-25 21:38:28,TamikaGHamilton,RealKiraDavis,0,0,1,"Suddenly I no longer feel oppressed. Thank you love",,,,1232419618314014722,https://twitter.com/TamikaGHamilton/status/1232419618314014722
2020-02-25 21:30:03,TamikaGHamilton,RealKiraDavis,1,0,3,"Priorities, priorities",,,,1232417500542861312,https://twitter.com/TamikaGHamilton/status/1232417500542861312
2020-02-25 21:28:01,TamikaGHamilton,RealKiraDavis,0,0,4,"@RealKiraDavis I’m dying laughing inside. I can’t read your tweets when I’m supposed to look serious! A A Ron for the win",,@RealKiraDavis,,1232416987009052672,https://twitter.com/TamikaGHamilton/status/1232416987009052672
2020-02-25 21:10:31,TamikaGHamilton,RealKiraDavis,0,0,5,"Let me know if I can be of any assistance.",,,,1232412580888510466,https://twitter.com/TamikaGHamilton/status/1232412580888510466
2020-02-25 20:12:29,TamikaGHamilton,RealKiraDavis,1,2,22,"We can’t let this man think he can run for President!",,,,1232397979132186625,https://twitter.com/TamikaGHamilton/status/1232397979132186625
2020-02-25 19:33:40,TamikaGHamilton,,2,10,31,"I’m going to be on the @WilkowMajority show! Take a listen in about 10min",,@WilkowMajority,,1232388211659309056,https://twitter.com/TamikaGHamilton/status/1232388211659309056
2020-02-23 23:39:45,TamikaGHamilton,JenzHouse,1,0,3,"Hi. I encourage her to go to the polls on March 3. #votetamika",,,#votetamika,1231725363337646080,https://twitter.com/TamikaGHamilton/status/1231725363337646080
2020-02-23 21:58:09,TamikaGHamilton,RustleLeaf83,0,0,2,"I’m convinced I will win.",,,,1231699794407481345,https://twitter.com/TamikaGHamilton/status/1231699794407481345
2020-02-23 18:09:06,TamikaGHamilton,,3,51,159,"Liberty is so heavy on my heart today. Don’t take it for granted America.",,,,1231642150292443136,https://twitter.com/TamikaGHamilton/status/1231642150292443136
2020-02-23 17:41:50,TamikaGHamilton,,6,26,54,"8 more days and a wake up...California Primary Election, March 3 #Tamika2020 #newera",,,#Tamika2020 #newera,1231635289560322049,https://twitter.com/TamikaGHamilton/status/1231635289560322049
