date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-27 21:02:39,VeRoniCaJacobi1,,0,0,0,"Sign and send the petition to your state elected officials: Do even more to curb climate change -- we do not have time to wait.. Write one here:",,,,1233135379525488640,https://twitter.com/VeRoniCaJacobi1/status/1233135379525488640
2020-02-27 20:53:27,VeRoniCaJacobi1,,0,0,1,"I just sent an urgent message telling my U.S. Senators: Inaction on Background Checks is Unacceptable >> https://every.tw/2HSdTfV #hr8 #EndGunViolence",,,#hr8 #EndGunViolence,1233133064403877888,https://twitter.com/VeRoniCaJacobi1/status/1233133064403877888
2020-02-27 07:00:09,VeRoniCaJacobi1,,0,0,0,"Gardening - The Global Language https://youtu.be/3K_A1dO7UEs via @YouTube",,@YouTube,,1232923356308983808,https://twitter.com/VeRoniCaJacobi1/status/1232923356308983808
2020-02-26 07:54:55,VeRoniCaJacobi1,,0,0,1,"Fossil-Fuel Subsidies Must End",,,,1232574753069649920,https://twitter.com/VeRoniCaJacobi1/status/1232574753069649920
2020-02-26 07:49:30,VeRoniCaJacobi1,,0,0,0,"The Humongous Costs of Inaction",,,,1232573389941788672,https://twitter.com/VeRoniCaJacobi1/status/1232573389941788672
2020-02-24 08:42:35,VeRoniCaJacobi1,,0,0,0,"5 Organic Gardening Myths https://youtu.be/qP2-aUkQuKM via @YouTube",,@YouTube,,1231861972825600000,https://twitter.com/VeRoniCaJacobi1/status/1231861972825600000
2020-02-24 07:28:33,VeRoniCaJacobi1,,0,0,0,"How to Grow Peas - 60 Second Gardening https://youtu.be/rsrfUUgHmpE via @YouTube",,@YouTube,,1231843339017678848,https://twitter.com/VeRoniCaJacobi1/status/1231843339017678848
2020-02-24 06:51:37,VeRoniCaJacobi1,,0,0,0,"I just voted to help @CREDOMobile decide how to distribute its monthly funding to progressive nonprofits. You can vote, too! It's free and takes less than a minute. Vote here: http://bit.ly/2zJjGPk",,@CREDOMobile,,1231834045639606272,https://twitter.com/VeRoniCaJacobi1/status/1231834045639606272
2020-02-21 23:27:25,VeRoniCaJacobi1,,1,0,0,"",,,,1230997481292361728,https://twitter.com/VeRoniCaJacobi1/status/1230997481292361728
2020-02-20 23:55:55,VeRoniCaJacobi1,,0,0,0,"Presidential candidates must stop silencing survivors",,,,1230642266315706370,https://twitter.com/VeRoniCaJacobi1/status/1230642266315706370
2020-02-16 08:06:18,VeRoniCaJacobi1,,0,0,0,"How to Create a Planting Plan for Year-Round Food Abundance | Complete G... https://youtu.be/nkjeSJQWhZc via @YouTube",,@YouTube,,1228953739140067328,https://twitter.com/VeRoniCaJacobi1/status/1228953739140067328
2020-02-09 06:36:51,VeRoniCaJacobi1,,0,0,1,"#ActNow to support the #GuardiansOfLife! SPOILER ALERT: Latest film by #JoaquinPhoenix says there’s still time to save the Earth http://amwt.ch/4575 via @AmazonWatch",,@amazonwatch,#ActNow #GuardiansOfLife #JoaquinPhoenix,1226394512898936832,https://twitter.com/VeRoniCaJacobi1/status/1226394512898936832
2020-02-07 01:57:35,VeRoniCaJacobi1,,0,0,0,"SIGN THE PETITION: Demand Twitter Head of Legal and Policy, Vijaya Gadde (@vijaya), ban white nationalists from the platform.",,@vijaya,,1225599455581233152,https://twitter.com/VeRoniCaJacobi1/status/1225599455581233152
2020-02-07 00:43:41,VeRoniCaJacobi1,,0,0,0,"FOCUS: These Are Turbulent Times. But We Will Persist and Prevail.",,,,1225580860499345408,https://twitter.com/VeRoniCaJacobi1/status/1225580860499345408
2020-02-06 08:14:33,VeRoniCaJacobi1,,0,0,0,".@sundarpichai #DetoxTheAlgorithm",,@sundarpichai,#DetoxTheAlgorithm,1225331933191655424,https://twitter.com/VeRoniCaJacobi1/status/1225331933191655424
2020-02-06 08:13:52,VeRoniCaJacobi1,,0,0,0,".@SusanWojcicki #DetoxTheAlgorithm",,@SusanWojcicki,#DetoxTheAlgorithm,1225331763288788992,https://twitter.com/VeRoniCaJacobi1/status/1225331763288788992
2020-02-04 23:42:43,VeRoniCaJacobi1,,0,0,0,"Sonoma County Transportation Authority Board: Fight Climate Change. Invest in better transit and safe bike routes in Sonoma County - Sign the Petition! http://chng.it/d2p4CCwX via @Change",,@Change,,1224840741475606528,https://twitter.com/VeRoniCaJacobi1/status/1224840741475606528
2020-02-03 16:12:19,VeRoniCaJacobi1,,0,0,0,"Join @FireDrillFriday, @CenterForBioDiv and grassroots leaders as @Janefonda brings #FireDrillFridays to CA to demand a rapid &amp; just transition off fossil fuels. Sign up here:",,@FireDrillFriday @CenterForBioDiv @Janefonda,#FireDrillFridays,1224365006541578240,https://twitter.com/VeRoniCaJacobi1/status/1224365006541578240
