date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-26 18:38:39,erictaylorHQ,robbystarbuck,0,0,0,"""Bought.""",,,,1232736750130196480,https://twitter.com/erictaylorHQ/status/1232736750130196480
2020-02-21 01:17:18,erictaylorHQ,TheLeagueSF,1,0,0,"So Jackie Speier is running ""unopposed"" and this is a ""thoroughly researched"" voter guide? ",,,,1230662750281453568,https://twitter.com/erictaylorHQ/status/1230662750281453568
2020-02-20 18:29:55,erictaylorHQ,,0,0,0,"Non-competition, mandatory arbitration, and class-action waivers are other take it or leave agreements that enable abusive employers that also deserve scrutiny and need to be addressed within the scope of our country's poor labor laws. #DemocraticDebate",,,#DemocraticDebate,1230560228669714434,https://twitter.com/erictaylorHQ/status/1230560228669714434
2020-02-20 18:29:55,erictaylorHQ,,1,0,0,"Bloomberg's defense that the NDAs were ""consensual"" not only displayed a poor choice in words, but is also at odds with the fact that NDAs are almost always contracts of adhesion. They are one-sided ""take it or leave it"" agreements where if you don't take it you don't get hired.",,,,1230560226799013889,https://twitter.com/erictaylorHQ/status/1230560226799013889
2020-02-20 06:21:40,erictaylorHQ,thenation,0,0,0,"The devil is in the details and you can't fight the devil without understanding the details. #Warren2020 #Warren #DemocraticDebate",,,#Warren2020 #Warren #DemocraticDebate,1230376954936737792,https://twitter.com/erictaylorHQ/status/1230376954936737792
2020-02-19 22:57:27,erictaylorHQ,wendellpotter,0,0,0,"In other words, who doesn't know someone who has used crowdfunding to cover medical bills? 20 million people equates to about 1 in 10 adults who have resorted to crowdfunding to pay off medical bills. #healthcare #MedicareForAll #Medicare4All",,,#healthcare #MedicareForAll #Medicare4All,1230265167411216384,https://twitter.com/erictaylorHQ/status/1230265167411216384
2020-02-19 18:33:06,erictaylorHQ,,0,0,0,"Every day Trump makes the imaginations of dystopic futures seem like a more realistic possibility. #justice #inequality #corruption",,,#justice #inequality #corruption,1230198641387683840,https://twitter.com/erictaylorHQ/status/1230198641387683840
2020-02-19 01:26:50,erictaylorHQ,LoisLanesLaptop,0,0,2,"A larger House would allow for more committees, which would increase productivity. And on your point that gov gets less representative as pop increases, I have a proposal: make draft legislation open source. We have tools to increase collaboration between reps and constituents.",,,,1229940371037118465,https://twitter.com/erictaylorHQ/status/1229940371037118465
2020-02-19 00:53:32,erictaylorHQ,toddntucker,0,0,1,"Related, apportionment in the House is also bad & getting worse. Avg population of a congressional district in: 1790: ~60k 2040: ~875k Unlike the Senate problem, there's an ""easier"" fix for House apportionment: repeal the Permanent Apportionment Act of 1929.",,,,1229931992960995328,https://twitter.com/erictaylorHQ/status/1229931992960995328
2020-02-12 19:24:18,erictaylorHQ,joshua__frank,1,0,1,"This is bc the delegate math in states like IA is essentially a Russian doll of the #ElectoralCollege, where the rural vote has more weight. A lot of history here, stemming from one thing that the Framers got wrong: the CT Compromise. #Election2020 #elections #HistoryOfThePresent",,,#ElectoralCollege #Election2020 #elections #HistoryOfThePresent,1227674811150684162,https://twitter.com/erictaylorHQ/status/1227674811150684162
