date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-02 18:11:59,erinsmithSF,StephenGutowski,0,0,3,"Definitely not a good look, but rumor is he has some pull with the prosecutor...",,,,1234541980517949443,https://twitter.com/erinsmithSF/status/1234541980517949443
2020-03-01 00:16:12,erinsmithSF,SFDeplorable,0,0,2,"Umm what",,,,1233908861234376704,https://twitter.com/erinsmithSF/status/1233908861234376704
2020-02-29 14:58:09,erinsmithSF,LawnBoyLarry,1,0,3,"I always heard Delta swoop, but I think that’s just a turbo version of the southern swoop.",,,,1233768423890403329,https://twitter.com/erinsmithSF/status/1233768423890403329
2020-02-28 19:59:01,erinsmithSF,meeshul_hua,1,0,2,"I mean I just click follow alot, you seem to tweet alot and no one listens ",,,,1233481754280898561,https://twitter.com/erinsmithSF/status/1233481754280898561
2020-02-28 19:41:23,erinsmithSF,meeshul_hua,1,0,2,"Plus you have 28,000 tweets on an 8 year old account with 370 followers, I have 120 tweets on a 3 month old account with 220. Is this really the road you want to go down?",,,,1233477316271116289,https://twitter.com/erinsmithSF/status/1233477316271116289
2020-02-28 19:38:54,erinsmithSF,meeshul_hua,0,0,0,"If I thought that was a thing I’d just click ‘unfollow’ a bunch and fix it. ",,,,1233476692137496576,https://twitter.com/erinsmithSF/status/1233476692137496576
2020-02-28 18:43:56,erinsmithSF,Scott_Wiener,1,0,32,"This is a truly unfortunate ratio.",,,,1233462855837548545,https://twitter.com/erinsmithSF/status/1233462855837548545
2020-02-07 10:07:31,erinsmithSF,LAWFreeSpeech,0,0,0,"Thank you for your support!",,,,1225722752566382593,https://twitter.com/erinsmithSF/status/1225722752566382593
2020-02-07 01:28:30,erinsmithSF,hradzka,0,0,1,"Could probably make a killing selling Berniebros carbon offsets for everything that burns during the convention.",,,,1225592137183457280,https://twitter.com/erinsmithSF/status/1225592137183457280
2020-02-04 12:33:19,erinsmithSF,,1,0,5,"Wake up, check news for Iowa Caucus results. Mood:",,,,1224672279226793985,https://twitter.com/erinsmithSF/status/1224672279226793985
2020-02-04 05:36:37,erinsmithSF,benshapiro,1,2,3,"It’s almost like he’s a celebrity billionaire entrepreneur and reality show star that banged supermodels in a solid gold penthouse and shitposted his way to the presidency for a reason.",,,,1224567412931981312,https://twitter.com/erinsmithSF/status/1224567412931981312
2020-02-03 05:53:48,erinsmithSF,Christina_Roof,4,0,11,"This past Friday at 2:30pm :(",,,,1224209350886998016,https://twitter.com/erinsmithSF/status/1224209350886998016
2020-01-28 06:08:10,erinsmithSF,MattHaneySF,0,0,6,"“Status quo has long been a total failure.” *somehow makes things even worse*",,,,1222038637514149894,https://twitter.com/erinsmithSF/status/1222038637514149894
2020-01-23 21:12:22,erinsmithSF,Pro2agirl,2,0,1,"Bre be like:",,,,1220454248405721094,https://twitter.com/erinsmithSF/status/1220454248405721094
2020-01-23 06:15:24,erinsmithSF,BreRVA,1,0,0,"So much for observing a progressing stack. @Pro2agirl any thoughts?",,@Pro2agirl,,1220228520309186561,https://twitter.com/erinsmithSF/status/1220228520309186561
2020-01-22 23:25:31,erinsmithSF,hradzka,0,0,1," ",,,,1220125368897568768,https://twitter.com/erinsmithSF/status/1220125368897568768
