date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-02 23:29:21,iicruzusa,Reblyn1963,0,3,4,"#IgnacioCruz2020 #Ca19 #TurnCaliforniaRed #TrumpRepublican #Trump2020 #MAGA #AmericaFirst http://WWW.CruzUSA.org",,,#IgnacioCruz2020 #Ca19 #TurnCaliforniaRed #TrumpRepublican #Trump2020 #MAGA #AmericaFirst,1234621846399504384,https://twitter.com/iicruzusa/status/1234621846399504384
2020-03-02 23:04:04,iicruzusa,,0,0,0,"Thank you @Qmaildrops for the ENDORSEMENT. Together, we will Turn California RED! It all starts MARCH 3! Vote CRUZ #IgnacioCruz2020 &amp; let's turn this district RED #Ca19 #SanJoseCa #MorganHill #SanMartin #Gilroy #SiliconValley #Trump2020 #MAGA #AmericaFirst http://WWW.CruzUSA.org",,@QMailDrops,#IgnacioCruz2020 #Ca19 #SanJoseCa #MorganHill #SanMartin #Gilroy #SiliconValley #Trump2020 #MAGA #AmericaFirst,1234615485729128449,https://twitter.com/iicruzusa/status/1234615485729128449
2020-03-02 22:28:18,iicruzusa,raehanbobby,0,0,1,"For the same exact reason. Certain things must be earned, not granted! #IgnacioCruz2020 http://WWW.CruzUSA.org",,,#IgnacioCruz2020,1234606485377695744,https://twitter.com/iicruzusa/status/1234606485377695744
2020-03-02 22:26:20,iicruzusa,,0,0,2,"OMG @FoxNews what's the deal with #JuanWlliams, he's such a Democrat hack trying to play the ""I'm not a Democrat hack"" role! #IgnacioCruz2020 #Ca19 #TurnCaliforniaRed @realDonaldTrump #TrumpRepublican #Trump2020 #MAGA #AmericaFirst #WWG1WGA #QArmy http://WWW.CruzUSA.org",,@FoxNews @realDonaldTrump,#JuanWlliams #IgnacioCruz2020 #Ca19 #TurnCaliforniaRed #TrumpRepublican #Trump2020 #MAGA #AmericaFirst #WWG1WGA #QArmy,1234605989619359745,https://twitter.com/iicruzusa/status/1234605989619359745
2020-03-02 20:54:42,iicruzusa,,0,2,3,"Dow up a 1000 points today! Did anyone, other than the #DoNothingDemocrats, really think it wouldn't rebound? #IgnacioCruz2020 #Ca19 #TurnCaliforniaRed #TrumpRepublican #Trump2020 #2A #MAGA #AmericaFirst #RNHA #ProLife #KAG #SVGOP http://WWW.CruzUSA.org",,,#DoNothingDemocrats #IgnacioCruz2020 #Ca19 #TurnCaliforniaRed #TrumpRepublican #Trump2020 #2A #MAGA #AmericaFirst #RNHA #ProLife #KAG #SVGOP,1234582929101033472,https://twitter.com/iicruzusa/status/1234582929101033472
2020-03-02 20:27:06,iicruzusa,votejessi2020,0,0,0,"Very interesting. #IgnacioCruz2020 #Trump2020 #MAGA #AmericaFirst http://WWW.CruzUSA.org",,,#IgnacioCruz2020 #Trump2020 #MAGA #AmericaFirst,1234575984734556160,https://twitter.com/iicruzusa/status/1234575984734556160
2020-03-02 20:25:51,iicruzusa,toddfoxauthor,1,0,1,"That was beautiful.",,,,1234575670891560960,https://twitter.com/iicruzusa/status/1234575670891560960
2020-03-02 20:23:56,iicruzusa,JewhadiTM,0,0,1,"He loves those backroom deals! He'll get to run the @DNC #IgnacioCruz2020 #Ca19 #TurnCaliforniaRed #TrumpRepublican http://WWW.CruzUSA.org",,@DNC,#IgnacioCruz2020 #Ca19 #TurnCaliforniaRed #TrumpRepublican,1234575186847924225,https://twitter.com/iicruzusa/status/1234575186847924225
2020-03-02 20:21:58,iicruzusa,realDonaldTrump,0,0,0,"Being critized by democrats is like getting career advice from @HarveyWeinstein #IgnacioCruz2020 #Ca19 #TurnCaliforniaRed #TrumpRepublican #Trump2020 #MAGA #AmericaFirst http://WWW.CruzUSA.org",,@HarveyWeinstein,#IgnacioCruz2020 #Ca19 #TurnCaliforniaRed #TrumpRepublican #Trump2020 #MAGA #AmericaFirst,1234574692238839808,https://twitter.com/iicruzusa/status/1234574692238839808
2020-03-02 20:19:56,iicruzusa,Sassychickie,0,0,1,"@amyklobuchar n @PeteButtigieg got their instructions from the puppet masters. Pete will get to lead the @DNC and Amy will get the VP nod with whomever leads the ticket. #IgnacioCruz2020 #Trump2020 #MAGA #AmericaFirst #KAG #ProLife #2A http://WWW.CruzUSA.org",,@amyklobuchar @PeteButtigieg @DNC,#IgnacioCruz2020 #Trump2020 #MAGA #AmericaFirst #KAG #ProLife #2A,1234574181674520577,https://twitter.com/iicruzusa/status/1234574181674520577
2020-03-02 18:51:39,iicruzusa,Sassychickie,0,0,0,"Lol.",,,,1234551964316229634,https://twitter.com/iicruzusa/status/1234551964316229634
2020-03-02 17:15:15,iicruzusa,,0,0,1,"@PeteButtigieg thinks #Trumpism is some kind of illness that can be cured. It's called PATRIOTISM and its about #MAGA AND #KAG @realdonaldtrump #AmericaFirst #IgnacioCruz2020 #Ca19 #TurnCaliforniaRed #TrumpRepublican #Trump2020 #SVGOP http://WWW.CruzUSA.org",,@PeteButtigieg @realDonaldTrump,#Trumpism #MAGA #KAG #AmericaFirst #IgnacioCruz2020 #Ca19 #TurnCaliforniaRed #TrumpRepublican #Trump2020 #SVGOP,1234527701186203649,https://twitter.com/iicruzusa/status/1234527701186203649
2020-03-02 16:08:42,iicruzusa,tam8ta,1,1,3,"That's what I plan to do! #IgnacioCruz2020 #Ca19 #USCongress #TurnCaliforniaRed @realDonaldTrump http://WWW.CruzUSA.org",,@realDonaldTrump,#IgnacioCruz2020 #Ca19 #USCongress #TurnCaliforniaRed,1234510954987053056,https://twitter.com/iicruzusa/status/1234510954987053056
2020-03-02 05:42:22,iicruzusa,Acme_Computer,0,0,2,"Thank you very much!!",,,,1234353332518436864,https://twitter.com/iicruzusa/status/1234353332518436864
2020-03-02 05:34:40,iicruzusa,,1,6,22,"Doing recon at the Communist for Bernie event in Silicon Valley. Half Empty n maybe 3,000 in attendance. #IgnacioCruz2020 #Ca19 #TurnCaliforniaRed #TrumpRepublican #Trump2020 #MAGA #KAG #SVGOP #ProLife #ProIsrael #2A #ZoeMustGo @realDonaldTrump http://WWW.CruzUSA.org",,@realDonaldTrump,#IgnacioCruz2020 #Ca19 #TurnCaliforniaRed #TrumpRepublican #Trump2020 #MAGA #KAG #SVGOP #ProLife #ProIsrael #2A #ZoeMustGo,1234351394716405760,https://twitter.com/iicruzusa/status/1234351394716405760
2020-03-02 01:34:53,iicruzusa,,0,0,0,"@PeteButtigieg dropping out 1 day before ##SuperTuesday is very odd. Obviously, the powers behind him ordered he step aside in order to channel that vote to someone else. I wounder who? #IgnacioCruz2020 #Ca19 #TurnCaliforniaRed #TrumpRepublican #Trump2020 http://WWW.CruzUSA.org",,@PeteButtigieg,#SuperTuesday #IgnacioCruz2020 #Ca19 #TurnCaliforniaRed #TrumpRepublican #Trump2020,1234291052112007169,https://twitter.com/iicruzusa/status/1234291052112007169
2020-03-02 01:24:37,iicruzusa,ewarren,0,0,0,"He will definitely be giving back for many years to come!",,,,1234288467397332992,https://twitter.com/iicruzusa/status/1234288467397332992
2020-03-02 00:30:37,iicruzusa,Sassychickie,0,0,0,"Lol that was funny. ",,,,1234274878234083330,https://twitter.com/iicruzusa/status/1234274878234083330
2020-03-02 00:11:40,iicruzusa,Hero202015,3,7,12,"Corporations are writing these laws to undercut local labor costs and hurting the American worker.",,,,1234270111646674945,https://twitter.com/iicruzusa/status/1234270111646674945
2020-03-01 05:00:51,iicruzusa,realDonaldTrump,0,0,1,"Their civil war has begun. #IgnacioCruz2020 #Ca19 #TurnCaliforniaRed #TrumpRepublican #Trump2020 #MAGA #AmericaFirst http://WWW.CruzUSA.org",,,#IgnacioCruz2020 #Ca19 #TurnCaliforniaRed #TrumpRepublican #Trump2020 #MAGA #AmericaFirst,1233980498235387904,https://twitter.com/iicruzusa/status/1233980498235387904
2020-02-29 22:44:35,iicruzusa,KatiePavlich,0,0,0,"#FakeNews wants tk create a hysteria that doesn't exist. #IgnacioCruz2020 #Ca19 #USCongress #TurnCaliforniaRed #Trump2020 #MAGA #LatinoConservative #SVGOP #CaGOP #lexitmovement #TurningPointUSA #LatinosforTrump http://WWW.CruzUSA.org",,,#FakeNews #IgnacioCruz2020 #Ca19 #USCongress #TurnCaliforniaRed #Trump2020 #MAGA #LatinoConservative #SVGOP #CaGOP #lexitmovement #TurningPointUSA #LatinosforTrump,1233885806340632576,https://twitter.com/iicruzusa/status/1233885806340632576
2020-02-29 22:42:49,iicruzusa,YuH8TM3,0,0,0,"Lol. Definitely everything NOT in balance. #IgnacioCruz2020 #Ca19 #USCongress #TurnCaliforniaRed #Trump2020 #MAGA #LatinoConservative #SVGOP #CaGOP #lexitmovement #TurningPointUSA #LatinosforTrump http://WWW.CruzUSA.org",,,#IgnacioCruz2020 #Ca19 #USCongress #TurnCaliforniaRed #Trump2020 #MAGA #LatinoConservative #SVGOP #CaGOP #lexitmovement #TurningPointUSA #LatinosforTrump,1233885363367596032,https://twitter.com/iicruzusa/status/1233885363367596032
2020-02-29 03:49:22,iicruzusa,CindyKendrick11,0,0,0,"#IgnacioCruz2020 #Ca19 #USCongress #TurnCaliforniaRed @realDonaldTrump http://WWW.CruzUSA.org",,@realDonaldTrump,#IgnacioCruz2020 #Ca19 #USCongress #TurnCaliforniaRed,1233600119288713217,https://twitter.com/iicruzusa/status/1233600119288713217
2020-02-29 03:48:44,iicruzusa,realDonaldTrump,0,0,0,"Great rally!!! #IgnacioCruz2020 #Ca19 #TurnCaliforniaRed #TrumpRepublican #Trump2020 #MAGA #AmericaFirst #ZoeMustGo http://WWW.CruzUSA.org",,,#IgnacioCruz2020 #Ca19 #TurnCaliforniaRed #TrumpRepublican #Trump2020 #MAGA #AmericaFirst #ZoeMustGo,1233599961364742144,https://twitter.com/iicruzusa/status/1233599961364742144
2020-02-28 23:35:50,iicruzusa,,0,0,1,"It starts MARCH 3. VOTE for #IgnacioCruz2020 #Ca19 #TrumpRepublican #MAGA #KAG #SantaClaraCounty #SanJoseCa #MorganHill #SanMartin #Gilroy @MarcoGutierrez @svgop @CAGOP @SVARW @libertyforumSV @ShariWassell @FoxNews @charliekirk11 #2A @realDonaldTrump http://WWW.CruzUSA.org",,@MarcoGutierrez @svgop @CAGOP @SVARW @libertyforumSV @ShariWassell @FoxNews @charliekirk11 @realDonaldTrump,#IgnacioCruz2020 #Ca19 #TrumpRepublican #MAGA #KAG #SantaClaraCounty #SanJoseCa #MorganHill #SanMartin #Gilroy #2A,1233536317494947840,https://twitter.com/iicruzusa/status/1233536317494947840
2020-02-28 19:28:04,iicruzusa,ShariWassell,0,2,2,"We can turn this district RED!",,,,1233473965986897926,https://twitter.com/iicruzusa/status/1233473965986897926
2020-02-28 19:27:19,iicruzusa,Sassychickie,0,0,1," ",,,,1233473774776807424,https://twitter.com/iicruzusa/status/1233473774776807424
2020-02-28 18:27:41,iicruzusa,realDonaldTrump,1,0,1,"Yea @FoxNews step up your game! #IgnacioCruz2020 #Ca19 #TurnCaliforniaRed #TrumpRepublican #Trump2020 #MAGA #AmericaFirst #RNHA http://WWW.CruzUSA.org",,@FoxNews,#IgnacioCruz2020 #Ca19 #TurnCaliforniaRed #TrumpRepublican #Trump2020 #MAGA #AmericaFirst #RNHA,1233458767209156608,https://twitter.com/iicruzusa/status/1233458767209156608
2020-02-28 18:26:25,iicruzusa,ElizabethUSA13,0,1,3,"Get out and VOTE people! We need to remove the #DoNothingDemocrats #IgnacioCruz2020 #Ca19 #TurnCaliforniaRed #TrumpRepublican #Trump2020 #MAGA #AmericaFirst #RNHA http://WWW.CruzUSA.org",,,#DoNothingDemocrats #IgnacioCruz2020 #Ca19 #TurnCaliforniaRed #TrumpRepublican #Trump2020 #MAGA #AmericaFirst #RNHA,1233458448156651520,https://twitter.com/iicruzusa/status/1233458448156651520
2020-02-28 18:25:09,iicruzusa,DavidHarrisAJC,0,0,0,"#UN is worthless and @Israel will always exist and grow stronger everyday! #IgnacioCruz2020 #Ca19 #USCongress #TurnCaliforniaRed @realDonaldTrump #Trump2020 #MAGA #KAG #SVGOP http://WWW.CruzUSA.org",,@Israel @realDonaldTrump,#UN #IgnacioCruz2020 #Ca19 #USCongress #TurnCaliforniaRed #Trump2020 #MAGA #KAG #SVGOP,1233458129612005377,https://twitter.com/iicruzusa/status/1233458129612005377
2020-02-28 18:22:09,iicruzusa,ewarren,0,0,1,"Democrats are delusional. They'll say anything. #IgnacioCruz2020 #Ca19 #TurnCaliforniaRed #TrumpRepublican #Trump2020 #MAGA #AmericaFirst #RNHA http://WWW.CruzUSA.org",,,#IgnacioCruz2020 #Ca19 #TurnCaliforniaRed #TrumpRepublican #Trump2020 #MAGA #AmericaFirst #RNHA,1233457375572414465,https://twitter.com/iicruzusa/status/1233457375572414465
2020-02-28 07:58:43,iicruzusa,realDonaldTrump,0,0,2,"End Sanctuary Cities Now & prosecute elected officials when someone dies from those policies! #DoNothingDemocrats #IgnacioCruz2020 #USCongress #Ca19 #ZoeMustGo @realDonaldTrump #Trump2020 #MAGA #KAG #SVGOP #ProLife #2A http://WWW.CruzUSA.org",,@realDonaldTrump,#DoNothingDemocrats #IgnacioCruz2020 #USCongress #Ca19 #ZoeMustGo #Trump2020 #MAGA #KAG #SVGOP #ProLife #2A,1233300485123129345,https://twitter.com/iicruzusa/status/1233300485123129345
2020-02-28 07:13:19,iicruzusa,,0,0,2,"The Villages Republican Club dinner tonight with speaker #JuneGilliam on China Human Rights abuses. Met Jim Zito @VoteJimZito. Thank you Burt Lancaster for a great event. #IgnacioCruz2020 #USCongress #TurnCaliforniaRed #SVGOP #CaGOP #MAGA #Trump2020 #RNHA #KAG @realDonaldTrump",,@VoteJimZito @realDonaldTrump,#JuneGilliam #IgnacioCruz2020 #USCongress #TurnCaliforniaRed #SVGOP #CaGOP #MAGA #Trump2020 #RNHA #KAG,1233289058308083712,https://twitter.com/iicruzusa/status/1233289058308083712
2020-02-28 06:19:39,iicruzusa,Sassychickie,0,0,2,"I feel safe now. #IgnacioCruz2020 #Ca19 #TurnCaliforniaRed #TrumpRepublican #Trump2020 #MAGA #KAG #SVGOP #CaGOP http://WWW.CruzUSA.org",,,#IgnacioCruz2020 #Ca19 #TurnCaliforniaRed #TrumpRepublican #Trump2020 #MAGA #KAG #SVGOP #CaGOP,1233275554297630720,https://twitter.com/iicruzusa/status/1233275554297630720
2020-02-28 06:09:07,iicruzusa,,0,0,0,"God be with you and your family.",,,,1233272902742507521,https://twitter.com/iicruzusa/status/1233272902742507521
2020-02-28 00:26:21,iicruzusa,,0,0,0,"@amyklobuchar supports abortion at any time of the pregnancy, which means up until the time of birth. Disgusting. #IgnacioCruz2020 #Ca19 #USCongress #TurnCaliforniaRed @realDonaldTrump #Trump2020 #MAGA #AmericaFirst #KAG #RNHA http://WWW.CruzUSA.org",,@amyklobuchar @realDonaldTrump,#IgnacioCruz2020 #Ca19 #USCongress #TurnCaliforniaRed #Trump2020 #MAGA #AmericaFirst #KAG #RNHA,1233186640132071424,https://twitter.com/iicruzusa/status/1233186640132071424
