date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-02 14:59:42,kevinmullin,AlexCVassar,1,0,3,"Americans Elect??",,,,1234493592099524608,https://twitter.com/kevinmullin/status/1234493592099524608
2020-02-27 03:42:27,kevinmullin,,1,1,5,"CEO named for new Flood and Sea Level Rise Resiliency District",,,,1232873605576310785,https://twitter.com/kevinmullin/status/1232873605576310785
2020-02-23 07:08:04,kevinmullin,,1,0,2,"@danpfeiffer",,@danpfeiffer,,1231475799322066944,https://twitter.com/kevinmullin/status/1231475799322066944
2020-02-23 06:46:05,kevinmullin,,2,0,45,"Wild Saturday night at the Mullin house.",,,,1231470266615648257,https://twitter.com/kevinmullin/status/1231470266615648257
2020-02-20 23:11:28,kevinmullin,,1,1,4,"‘It is the crisis of our time’ https://www.smdailyjournal.com/news/local/it-is-the-crisis-of-our-time/article_40aa893a-538a-11ea-9a86-9b053bc154ba.html?utm_medium=social&amp;utm_source=twitter&amp;utm_campaign=user-share via @smdailyjournal",,@smdailyjournal,,1230631081050697729,https://twitter.com/kevinmullin/status/1230631081050697729
2020-02-20 03:27:40,kevinmullin,,1,0,2,"Challengers target incumbents in Assembly race https://www.smdailyjournal.com/news/local/challengers-target-incumbents-in-assembly-race/article_b41d065a-52c1-11ea-bbab-97c4151a7423.html?utm_medium=social&amp;utm_source=twitter&amp;utm_campaign=user-share via @smdailyjournal",,@smdailyjournal,,1230333167699017729,https://twitter.com/kevinmullin/status/1230333167699017729
2020-02-19 23:07:29,kevinmullin,,0,0,3,"Speaker pro Tem Mullin’s Statement in Response to Governor Newsom 2020 State of the State Address- https://a22.asmdc.org/press-releases/20200219-speaker-pro-tem-mullins-statement-response-governor-newsoms-2020-state-state via @AddThis",,@addthis,,1230267691572678659,https://twitter.com/kevinmullin/status/1230267691572678659
2020-02-19 20:02:36,kevinmullin,,0,2,4,"What Rising Seas Mean for San Francisco",,,,1230221164468826112,https://twitter.com/kevinmullin/status/1230221164468826112
2020-02-19 18:14:38,kevinmullin,,0,1,44,"View from the Assembly rostrum. Getting ready for Governor @GavinNewsom State of the State Address.",,@GavinNewsom,,1230193995134861313,https://twitter.com/kevinmullin/status/1230193995134861313
2020-02-18 01:19:17,kevinmullin,,0,1,6,"This Teen Wants to Lower the Voting Age for the Primary Election | NowThis https://youtu.be/hLKhK-6ayLM via @YouTube",,@YouTube,,1229576085399986178,https://twitter.com/kevinmullin/status/1229576085399986178
2020-02-12 06:54:03,kevinmullin,CASOSvote,2,0,9,"Will @smcvote be participating? Thx for authoring the law @AsmMarcBerman",,@smcvote @AsmMarcBerman,,1227486004681924613,https://twitter.com/kevinmullin/status/1227486004681924613
2020-02-11 20:30:37,kevinmullin,,2,5,13,"Rising seas already overwhelm the Bay Area. Time is running out for California to act",,,,1227329113486131202,https://twitter.com/kevinmullin/status/1227329113486131202
2020-02-10 20:34:18,kevinmullin,,0,0,2,"California's primary looms large — just like state officials had hoped https://politi.co/31F9xSA via @politico",,@politico,,1226967651248898054,https://twitter.com/kevinmullin/status/1226967651248898054
2020-02-10 20:08:32,kevinmullin,,0,0,7,"Fighting sea level rise together https://www.smdailyjournal.com/news/local/fighting-sea-level-rise-together/article_49b2e3f8-4bb3-11ea-aae5-8fa92e84608b.html?utm_medium=social&amp;utm_source=twitter&amp;utm_campaign=user-share via @smdailyjournal",,@smdailyjournal,,1226961164304887811,https://twitter.com/kevinmullin/status/1226961164304887811
2020-02-08 15:41:47,kevinmullin,MikeEspyMS,1,8,25,"Mississippi allows it- so should California! #ACA4",,,#ACA4,1226169261527199745,https://twitter.com/kevinmullin/status/1226169261527199745
2020-02-07 19:23:35,kevinmullin,,0,0,3,"The Battle for California’s 20 Million Voters Came Early This Year",,,,1225862689966084096,https://twitter.com/kevinmullin/status/1225862689966084096
2020-02-03 01:32:29,kevinmullin,,3,0,47,"Touchdown Twins. #NinerNation",,,#NinerNation,1224143586926587904,https://twitter.com/kevinmullin/status/1224143586926587904
2020-02-01 00:51:55,kevinmullin,,0,2,19,"Should 17-year-olds vote in the California primary? This one says yes. https://www.jweekly.com/2020/01/31/should-17-year-olds-vote-in-the-california-primary-this-one-says-yes/ via @",,,,1223408603983335424,https://twitter.com/kevinmullin/status/1223408603983335424
2020-01-29 16:38:12,kevinmullin,,0,0,1,"Some California voters receive ballots days before Iowa presidential kickoff",,,,1222559581261291521,https://twitter.com/kevinmullin/status/1222559581261291521
2020-01-23 15:06:11,kevinmullin,,0,1,2,"How to win California: A guide to the nation’s largest presidential primary",,,,1220362096547753984,https://twitter.com/kevinmullin/status/1220362096547753984
2020-01-17 01:54:12,kevinmullin,,9,0,98,"The Birthday Boys. These 2 are 2. #Landon&amp;Liam #SouthCityBoys",,,#Landon #SouthCityBoys,1217988459920412672,https://twitter.com/kevinmullin/status/1217988459920412672
2020-01-12 01:32:43,kevinmullin,,0,0,0,"Budget wins praise from lawmakers https://www.smdailyjournal.com/news/local/budget-wins-praise-from-lawmakers/article_d91e3624-342e-11ea-9e9f-e32e1980bd0f.html?utm_medium=social&amp;utm_source=twitter&amp;utm_campaign=user-share via @smdailyjournal",,@smdailyjournal,,1216171111907377153,https://twitter.com/kevinmullin/status/1216171111907377153
2020-01-10 23:48:49,kevinmullin,,0,3,17,"Speaker pro Tem Mullin's Statement on Governor Newsom's Proposed 2020-21 Budget - Official Website - Assemblymember Kevin Mullin Representing the 22nd California Assembly District https://a22.asmdc.org/press-releases/20200110-speaker-pro-tem-mullins-statement-governor-newsoms-proposed-2020-21-budget via @AddThis",,@addthis,,1215782579380441088,https://twitter.com/kevinmullin/status/1215782579380441088
2020-01-09 06:47:47,kevinmullin,,1,5,13,"Goats, popcorn, politics: California's youth vote mobilizes for 2020 election",,,,1215163237760520193,https://twitter.com/kevinmullin/status/1215163237760520193
2019-12-31 18:07:42,kevinmullin,,1,3,6,"New laws arrive in new year https://www.smdailyjournal.com/news/local/new-laws-arrive-in-new-year/article_459c4d58-2b7f-11ea-b871-e7dfd88d3a89.html?utm_medium=social&amp;utm_source=twitter&amp;utm_campaign=user-share via @smdailyjournal",,@smdailyjournal,,1212072856512675840,https://twitter.com/kevinmullin/status/1212072856512675840
2019-12-30 01:00:05,kevinmullin,,2,1,53,"We’ve got our Cherrios and we’re Game-Ready #NinerNation",,,#NinerNation,1211451857685512192,https://twitter.com/kevinmullin/status/1211451857685512192
2019-12-22 02:31:21,kevinmullin,,0,0,29,"#SoundDimension Mobile DJs comeback in progress. #InTheMix #DetailsSoon",,,#SoundDimension #InTheMix #DetailsSoon,1208575725365690368,https://twitter.com/kevinmullin/status/1208575725365690368
2019-12-20 04:28:54,kevinmullin,CALifeSciences,0,1,3,"Congrats @IrishLaborer !",,@IrishLaborer,,1207880530454138880,https://twitter.com/kevinmullin/status/1207880530454138880
2019-12-17 21:36:37,kevinmullin,EmilyBeach650,1,0,8,"Congratulations Mayor @EmilyBeach650 !",,@EmilyBeach650,,1207052000673714176,https://twitter.com/kevinmullin/status/1207052000673714176
2019-12-17 17:17:45,kevinmullin,scottlay,1,0,3,"Note: Includes an unknown generic “third party candidate” which affects %.",,,,1206986853175349248,https://twitter.com/kevinmullin/status/1206986853175349248
2019-12-12 14:26:16,kevinmullin,,0,0,0,"CNN: Close race in California's Democratic primary while Biden tops in Texas - CNNPolitics",,,,1205131757915258886,https://twitter.com/kevinmullin/status/1205131757915258886
