date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-02 15:04:02,mariacadenas,,0,0,1,"Check out this video from @PBS: PBS Presents, Rise Up: Songs of the Women's Movement",,@PBS,,1234494683419570182,https://twitter.com/mariacadenas/status/1234494683419570182
2020-03-02 01:30:41,mariacadenas,,1,0,3,"#votemaria2020",,,#votemaria2020,1234289997122899968,https://twitter.com/mariacadenas/status/1234289997122899968
2020-02-28 15:02:50,mariacadenas,,0,4,7,"""Given the power instilled in local electeds, it is crucial that these leaders reflect the diversity of the communities they represent."" - Despite Progress Since 2018, Bay Area Diversity Not Reflected Among Top Local Electeds | Bay Area Equity Atlas https://bayareaequityatlas.org/Electeds2020",,,,1233407216352284672,https://twitter.com/mariacadenas/status/1233407216352284672
2020-02-28 14:46:27,mariacadenas,,0,0,1,"""Money in politics influences who runs for office, who they talk to on their campaigns, who wins, and what policies get enacted"" -",,,,1233403091271073792,https://twitter.com/mariacadenas/status/1233403091271073792
2020-02-28 08:18:04,mariacadenas,,0,0,1,"#votemaria2020 March 3rd",,,#votemaria2020,1233305351803432961,https://twitter.com/mariacadenas/status/1233305351803432961
2020-02-27 23:53:12,mariacadenas,CAWomensList,0,0,1,"Honored to have the endorsement of @CAWomensList #votemaria2020",,@CAWomensList,#votemaria2020,1233178297829249024,https://twitter.com/mariacadenas/status/1233178297829249024
2020-02-27 18:02:02,mariacadenas,,0,1,2,"With five days to go I take a moment to reflect on the gifts of being a candidate for office",,,,1233089925899149312,https://twitter.com/mariacadenas/status/1233089925899149312
2020-02-25 22:12:00,mariacadenas,,0,2,2,"Throwback to a conversation I had on why a #neweconomy and the role of #cooperative structures",,,#neweconomy #cooperative,1232428055676649473,https://twitter.com/mariacadenas/status/1232428055676649473
2020-02-23 16:57:51,mariacadenas,,0,1,1,"craving is pan dulce y champurrado #SundayMorning",,,#SundayMorning,1231624222763450368,https://twitter.com/mariacadenas/status/1231624222763450368
2020-02-22 20:42:29,mariacadenas,,0,0,0,"#HousingForAll",,,#HousingForAll,1231318365077045250,https://twitter.com/mariacadenas/status/1231318365077045250
2020-02-22 16:56:07,mariacadenas,,0,0,0,"Song of the day is #wonder with @emelisande",,@emelisande,#wonder,1231261398845444096,https://twitter.com/mariacadenas/status/1231261398845444096
2020-02-22 01:46:01,mariacadenas,,0,4,15,"Uplift each other. Elevate each other’s work. Center our work in our shared humanity. Dare to bet on our dreams and a future we deserve. Have those difficult conversations. And be sure you take care of yourself. #ThrivingImmigrantsCollaborative",,,#ThrivingImmigrantsCollaborative,1231032363045380096,https://twitter.com/mariacadenas/status/1231032363045380096
