date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-29 22:43:25,rishikumar1,,2,0,3,"Keeping it simple. People-centric agenda No PAC Money No Special Interest Group Money",,,,1233885514010226688,https://twitter.com/rishikumar1/status/1233885514010226688
2020-02-27 16:32:52,rishikumar1,,3,1,3,"This is what America needs. We need to get out of the stranglehold of healthcare greed...new way.... “cheaper, faster and better” healthcare. Greed has finite shelf lifehttps://www.cnbc.com/amp/2020/02/26/ex-apple-ceo-walmart-healthcare-will-cause-a-consumer-revolution.html",,,,1233067485273804801,https://twitter.com/rishikumar1/status/1233067485273804801
2020-02-27 15:59:43,rishikumar1,,1,0,2,"Silicon Valley is losing out on technology domination and Eric wants the United States government to be more invested. I agree",,,,1233059142278889473,https://twitter.com/rishikumar1/status/1233059142278889473
2020-02-25 17:24:20,rishikumar1,,2,1,0,"This has been an issue for long Too bad we are now forced our hand and precious water drained",,,,1232355660815192065,https://twitter.com/rishikumar1/status/1232355660815192065
2020-02-24 21:19:19,rishikumar1,,2,1,0,"Our justice system should stand for #JusticeForALL not just siding with the rich and the powerful. I am glad serving justice to Harvey Weinstein gives notice to the powerful that they cannot use their position as a means to exploit",,,#JusticeForALL,1232052407447633920,https://twitter.com/rishikumar1/status/1232052407447633920
2020-02-19 08:20:53,rishikumar1,,6,1,2,"A good reason why we need #M4A",,,#M4A,1230044571238727680,https://twitter.com/rishikumar1/status/1230044571238727680
2020-02-17 19:12:06,rishikumar1,,1,0,0,"Hats off! I salute every President who has come and gone for their dedication and zeal to serve the American people. ...231 years already ##PresidentsDay",,,#PresidentsDay,1229483679027609600,https://twitter.com/rishikumar1/status/1229483679027609600
2020-02-14 05:45:46,rishikumar1,,3,1,2,"Rishi speaks to @cenkuygur @TheYoungTurks",,@cenkuygur @TheYoungTurks,,1228193594227351553,https://twitter.com/rishikumar1/status/1228193594227351553
2020-02-13 00:23:00,rishikumar1,,2,1,3,"Here is an option for California voters. Call your county Registrar of voters",,,,1227749979973812228,https://twitter.com/rishikumar1/status/1227749979973812228
2020-02-12 08:14:12,rishikumar1,,2,1,3,"Where do you want to see Silicon Valley go? Here is an option https://rishikumar.com/Mega-Silicon-Valley-Vision-Plan-addressing-housing-transportation-homelessness-of-Democrat-Rishi-Kumar-running-for-United-States-Congress-against-Congresswoman-Anna-Eshoo #RIshi2020 #RIshi4Congress",,,#RIshi2020 #RIshi4Congress,1227506173651218438,https://twitter.com/rishikumar1/status/1227506173651218438
2020-02-12 08:13:11,rishikumar1,,1,1,3,"It is time for a new plan #MegaSiliconValley https://rishikumar.com/Mega-Silicon-Valley-Vision-Plan-addressing-housing-transportation-homelessness-of-Democrat-Rishi-Kumar-running-for-United-States-Congress-against-Congresswoman-Anna-Eshoo #Rishi2020 #RIshi4Congress",,,#MegaSiliconValley #Rishi2020 #RIshi4Congress,1227505919065374720,https://twitter.com/rishikumar1/status/1227505919065374720
2020-02-12 03:16:10,rishikumar1,,1,1,3,"21 days to March 3rd. 21 minutes to 21 counties - our vision plan to address housing, homelessness, transportation and expand the economy Nope---this ain't no bullet train from 1950s https://rishikumar.com/Mega-Silicon-Valley-Vision-Plan-addressing-housing-transportation-homelessness-of-Democrat-Rishi-Kumar-running-for-United-States-Congress-against-Congresswoman-Anna-Eshoo #Rishi2020 #Rishi4Congress",,,#Rishi2020 #Rishi4Congress,1227431173447548928,https://twitter.com/rishikumar1/status/1227431173447548928
2020-02-10 17:41:53,rishikumar1,,1,0,0,"Our op-ed piece published this morning on our #MegaSiliconValley vision plan ""21 minutes, 21 counties,"" quadruples our economy while addressing our challenges with traffic jams and housing/homelessness http://www.sanjoseinside.com/2020/02/10/op-ed-21-minutes-or-less-between-21-counties/",,,#MegaSiliconValley,1226924259219369984,https://twitter.com/rishikumar1/status/1226924259219369984
2020-02-08 22:28:44,rishikumar1,,1,0,1,"A commute time of 21 minutes or less between 21 counties around Silicon Valley with @elonmusk's #Hyperloop providing affordable housing options and expanding our economy #MegaSiliconValley #Rishi2020 #RISHI4CONGRESS https://rishikumar.com/Mega-Silicon-Valley-Vision-Plan-addressing-housing-transportation-homelessness-of-Democrat-Rishi-Kumar-running-for-United-States-Congress-against-Congresswoman-Anna-Eshoo",,@elonmusk,#Hyperloop #MegaSiliconValley #Rishi2020 #RISHI4CONGRESS,1226271674456084480,https://twitter.com/rishikumar1/status/1226271674456084480
2020-02-08 22:16:52,rishikumar1,,1,1,2,"Stark contrast between San Francisco and London. We have a plan https://rishikumar.com/Mega-Silicon-Valley-Vision-Plan-addressing-housing-transportation-homelessness-of-Democrat-Rishi-Kumar-running-for-United-States-Congress-against-Congresswoman-Anna-Eshoo",,,,1226268684596854784,https://twitter.com/rishikumar1/status/1226268684596854784
2020-02-08 01:57:33,rishikumar1,,1,0,2,"#ClimateChange nope not a hoax",,,#ClimateChange,1225961835620290563,https://twitter.com/rishikumar1/status/1225961835620290563
2020-02-06 00:07:58,rishikumar1,,1,0,1,"Championing economic expansion",,,,1225209481467846656,https://twitter.com/rishikumar1/status/1225209481467846656
