date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-02 22:20:10,seanfeucht,,4,17,82,"Tomorrow we #RaiseOurVoice and send a message to my opponent who’s a spent over 45 years as a self-serving, career politician! The people that got us into this mess, cant get us out! #SuperTuesday",,,#RaiseOurVoice #SuperTuesday,1234604437387108352,https://twitter.com/seanfeucht/status/1234604437387108352
2020-03-02 15:55:18,seanfeucht,DonaldJTrumpJr,2,14,42,"This is exactly why we need to flip this seat and send this 45 year career politician home. Bring us across the finish line: https://seanforus.com",,,,1234507583685160960,https://twitter.com/seanfeucht/status/1234507583685160960
2020-03-02 15:54:17,seanfeucht,DonaldJTrumpJr,5,9,33,"Help me send this 45-year career politician back home where he belongs and restore sanity to California!!! We need your support! https://seanforus.com",,,,1234507326293299202,https://twitter.com/seanfeucht/status/1234507326293299202
2020-03-02 03:51:20,seanfeucht,thomaschattwill,18,35,240,"The intolerance of the left for Christianity and prayer is now outright blatant.",,,,1234325392225263616,https://twitter.com/seanfeucht/status/1234325392225263616
2020-03-02 00:12:56,seanfeucht,,0,10,131,"From the legend @PatrickMahomes - Love you bro!!!! ",,@PatrickMahomes,,1234270427662278656,https://twitter.com/seanfeucht/status/1234270427662278656
2020-03-01 21:21:03,seanfeucht,March_for_Life,2,6,32,"Not in the least bit surprised ",,,,1234227171377287168,https://twitter.com/seanfeucht/status/1234227171377287168
2020-03-01 18:59:40,seanfeucht,,6,36,223,"The world’s rejects are God’s elects.",,,,1234191590911926272,https://twitter.com/seanfeucht/status/1234191590911926272
2020-03-01 18:54:10,seanfeucht,charliekirk11,2,2,67,"because they 100% are trying to spin this into hysteria!",,,,1234190208108679168,https://twitter.com/seanfeucht/status/1234190208108679168
2020-03-01 16:57:54,seanfeucht,,10,31,166,"My response to my opponents outrageous threats to First family! ",,,,1234160949637967873,https://twitter.com/seanfeucht/status/1234160949637967873
2020-03-01 00:37:08,seanfeucht,,1,3,38,"TONIGHT IN WOODLAND, CA!!!! ",,,,1233914130047754240,https://twitter.com/seanfeucht/status/1233914130047754240
2020-02-29 03:25:43,seanfeucht,DailyCaller,3,12,81,"This is the crazy 45-year-career politician we need to put out of office in November! I’m running against him and need your support! Let’s bring common sense and dignity back to California!!!",,,,1233594169735680002,https://twitter.com/seanfeucht/status/1233594169735680002
2020-02-28 18:53:56,seanfeucht,theblaze,3,13,48,"Meet my very classy 45-year-long career politician opponent.",,,,1233465374894628872,https://twitter.com/seanfeucht/status/1233465374894628872
2020-02-28 18:50:11,seanfeucht,TrumpWarRoom,4,7,58,"Help me get this 45-year career politician out of office and restore sanity to California!!! ",,,,1233464431419547648,https://twitter.com/seanfeucht/status/1233464431419547648
2020-02-28 18:40:36,seanfeucht,charliekirk11,22,122,958,"I am running to put this 45-year career politician out of office and return common sense and sanity back to California. Join us!!!",,,,1233462019778588672,https://twitter.com/seanfeucht/status/1233462019778588672
2020-02-28 14:54:19,seanfeucht,RepGaramendi,7,11,37,"Why do old school politicians always play the blame game? This isn’t the time for partisan politics. Why not work WITH the federal government to find solutions and not AGAINST it?",,,,1233405072849219584,https://twitter.com/seanfeucht/status/1233405072849219584
