date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-02 19:28:25,skmasur,,1,3,14,"One of our youngest supporters who knows I’ll fight for family friendly policies couldn’t canvass today but you still can. Join us to win in #SD13 #2020election. DM me or go to our website for info.",,,#SD13 #2020election,1234561216963416064,https://twitter.com/skmasur/status/1234561216963416064
2020-03-01 02:02:50,skmasur,LarsonMP,0,1,9,"Still time to canvass & call tomorrow. Join us all day Sunday! #Election2020",,,#Election2020,1233935698517848067,https://twitter.com/skmasur/status/1233935698517848067
2020-02-29 00:15:23,skmasur,shfo,0,0,1,"Thank you for crushing it on the doors today!",,,,1233546269982773248,https://twitter.com/skmasur/status/1233546269982773248
2020-02-29 00:10:49,skmasur,ida_skibenes,1,0,4,"What else is there to say? Wash those hands!",,,,1233545121775284225,https://twitter.com/skmasur/status/1233545121775284225
2020-02-28 00:02:01,skmasur,,0,1,8,"Thank you @InnovateSchools for a great conversation about #education &amp; #housing &amp; for your advocacy on behalf of our kids.",,@InnovateSchools,#education #housing,1233180519463960576,https://twitter.com/skmasur/status/1233180519463960576
2020-02-27 00:30:54,skmasur,rcsmcchamber,0,0,7,"Proud to be part of this effort as an Advisory Task Force member!",,,,1232825398775304193,https://twitter.com/skmasur/status/1232825398775304193
2020-02-25 23:17:43,skmasur,AsmMarcBerman,0,0,5,"In Redwood City the Census Bureau is still looking to hire workers. It pays well and is a very important public service. #2020Census",,,#2020Census,1232444594240946176,https://twitter.com/skmasur/status/1232444594240946176
2020-02-25 23:07:43,skmasur,fionama,0,0,7,"Thank you @fionama following in your footsteps!",,@fionama,,1232442075909476354,https://twitter.com/skmasur/status/1232442075909476354
2020-02-24 23:14:38,skmasur,rf_mehlinger,0,0,1,"Thank you!",,,,1232081429124616193,https://twitter.com/skmasur/status/1232081429124616193
2020-02-24 22:32:36,skmasur,,0,5,38,"Filled in for mayor today for discussions w/ @JackieSpeier. Proud to share our priorities: housing , transportation , &amp; issues affecting children . Gr8 local engagement from an amazing congresswoman! @gisellemarie @CStoneBmont @kevinmullin @Marc_Berman @fionama @mmparden",,@JackieSpeier @gisellemarie @CStoneBmont @kevinmullin @Marc_Berman @fionama @mmparden,,1232070851828178944,https://twitter.com/skmasur/status/1232070851828178944
2020-02-24 01:18:46,skmasur,GinaDalma,0,0,3,"Thank you!!",,,,1231750279848087553,https://twitter.com/skmasur/status/1231750279848087553
2020-02-23 00:54:50,skmasur,davina_belmont,0,0,6,"We know how to have fun while campaigning in downtown Redwood City!",,,,1231381868945129472,https://twitter.com/skmasur/status/1231381868945129472
2020-02-22 20:59:03,skmasur,,0,5,20,"A great panel of council women in their first terms talking problem solving, challenges & how #women get things done. Thanks @PeninsulaDems &amp; @pydems! @gisellemarie @mtnviewellen #electwomen @fundher",,@PeninsulaDems @pydems @gisellemarie @mtnviewellen @FundHer,#women #electwomen,1231322534861082624,https://twitter.com/skmasur/status/1231322534861082624
2020-02-21 23:07:29,skmasur,cayimby,1,9,43,"Thank you @cayimby! I appreciate the support! @pydems @gisellemarie @leoraorlee @adrianfine @nchsmith",,@cayimby @pydems @gisellemarie @leoraorlee @adrianfine @nchsmith,,1230992466871902208,https://twitter.com/skmasur/status/1230992466871902208
2020-02-20 21:25:47,skmasur,,0,2,12,"This article is a stark reminder of why I’ve been working to increase access to high quality #affordable child care in Redwood City&amp; across the county. @BuildUpSMC .",,@BuildUpSMC,#affordable,1230604486235656193,https://twitter.com/skmasur/status/1230604486235656193
2020-02-20 18:39:53,skmasur,AlisaMacAvoy,0,0,0,"Thank you!",,,,1230562735131226112,https://twitter.com/skmasur/status/1230562735131226112
2020-02-20 02:21:36,skmasur,racsterls,0,0,1,"Thank you!",,,,1230316540471300096,https://twitter.com/skmasur/status/1230316540471300096
2020-02-19 06:11:24,skmasur,rebeccafoutch,0,0,1,"Thank you!",,,,1230011986546548736,https://twitter.com/skmasur/status/1230011986546548736
2020-02-18 20:37:06,skmasur,mercnews,0,3,17,"Thank you @SusanEllenberg for your support &amp; for recognizing the work I’ve been doing for almost 15 yrs has value &amp; reflects how I approach complex policy issues. #SD13 @FundHer",,@SusanEllenberg @FundHer,#SD13,1229867458858668032,https://twitter.com/skmasur/status/1229867458858668032
2020-02-17 06:39:17,skmasur,SCRCali68,0,0,1,"Thank you!",,,,1229294228217290752,https://twitter.com/skmasur/status/1229294228217290752
2020-02-16 16:00:33,skmasur,ACMelendrez,0,0,4,"I it too! Thank you @pydems!",,@pydems,,1229073085279526912,https://twitter.com/skmasur/status/1229073085279526912
2020-02-15 19:59:32,skmasur,MatesJulia,0,0,2,"Thanks both!",,,,1228770839933247489,https://twitter.com/skmasur/status/1228770839933247489
