date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-01 08:32:42,tandon4congress,,1,7,11,"Democrats/Ro Khanna Thank you for stealing my idea and applying it Nationally, I am not sad our idea is taken, but happy to see it is implemented. If you have not done, we might have done it #CAGOP @realDonaldTrump https://www.facebook.com/110806357012916/posts/184333542993530/?d=n",,@realDonaldTrump,,1234033812545273856,https://twitter.com/tandon4congress/status/1234033812545273856
2020-03-01 08:00:35,tandon4congress,,2,10,13,"Good Luck Silicon Valley, Bernie Sanders need your hard-earned $$to fund his socialist agenda #CAGOP #realDonaldTrump",,,#CAGOP #realDonaldTrump,1234025728200433664,https://twitter.com/tandon4congress/status/1234025728200433664
2020-02-28 19:31:59,tandon4congress,,0,0,1,"#TandonForCongress #CongressionalElections #FridayThoughts #FridaysForFuture",,,#TandonForCongress #CongressionalElections #FridayThoughts #FridaysForFuture,1233474949110779905,https://twitter.com/tandon4congress/status/1233474949110779905
2020-02-28 19:30:27,tandon4congress,,0,3,5,"Advocating equal, fair education.- Preaching ‘equal-for-all’ agendas while completely overlooking the rights of all American students, my opponent Ro Khanna has silently stood in support of a selection parameter that prioritizes racial bias over merit. #USElections #US",,,#USElections #US,1233474564304363522,https://twitter.com/tandon4congress/status/1233474564304363522
2020-02-28 19:30:26,tandon4congress,,4,6,10,"As a true believer in fairness and equality, I staunchly oppose such regressive policies and will work towards ensuring prop 209 remains intact and promote competitive access to admissions no matter the country, gender or color. Support me and my campaign: http://www.tandonforcongress.com",,,,1233474561405943808,https://twitter.com/tandon4congress/status/1233474561405943808
2020-02-28 05:53:20,tandon4congress,,2,1,3,"BREAKING: Ukriane Launches CRIMINAL Proceedings Against Joe Biden Over Firing of Prosecutor Viktor Shokin | David Harris Jr #CAGOP #Trump2020Landslide #realDonaldTrump",,,#CAGOP #Trump2020Landslide #realDonaldTrump,1233268928664596480,https://twitter.com/tandon4congress/status/1233268928664596480
2020-02-28 01:53:30,tandon4congress,,2,6,15,"I strongly condemned Bernie Sanders/advisory team - Ro Khanna for slamming President Trump for the US/India Export Deal. India is not only exporting to creating jobs in the US. #GOP #TrumpInIndia #NamasteyTrump #realDonaldTrump",,,#GOP #TrumpInIndia #NamasteyTrump #realDonaldTrump,1233208572340625409,https://twitter.com/tandon4congress/status/1233208572340625409
2020-02-27 20:39:58,tandon4congress,,0,0,1,"",,,,1233129671773966337,https://twitter.com/tandon4congress/status/1233129671773966337
2020-02-26 07:49:46,tandon4congress,,3,9,15,"Instead of focusing on critical issues like homelessness, traffic congestion, my opponent Rohit Khanna (Campaign Co-Chair of ultra socialist Bernie Sanders) is busy adding the third gender in the passport. #CAGOP,#DemDebate2020 #Election2020 #Trump2020",,,#CAGOP #DemDebate2020 #Election2020 #Trump2020,1232573455855341568,https://twitter.com/tandon4congress/status/1232573455855341568
2020-02-25 10:21:51,tandon4congress,,0,2,3,"I, Ritesh Tandon, a Republican representative of California district-17, will always keep my public’s interests above my own. My aim is to work for the welfare of ‘all’ rather than fund socially radical policies only for ‘select few’. #USElections #CongressionalElections",,,#USElections #CongressionalElections,1232249339717672961,https://twitter.com/tandon4congress/status/1232249339717672961
2020-02-25 10:21:46,tandon4congress,,2,1,4,"I will champion for issues central to the ‘growth’ and ‘progress’ of my constituency and country - lower corporate taxes, less government regulations, a fair immigration policy and equal educational opportunities...while striking down social menaces like homelessness,...",,,,1232249318536404992,https://twitter.com/tandon4congress/status/1232249318536404992
2020-02-25 10:21:45,tandon4congress,,2,1,2,"...P&G blackouts and bottleneck traffic in the Bay Area. Support me and my campaign, by donating - https://secure.anedot.com/tandon-for-congress/donate #Califronia #TandonForCongress #TuesdayMorning #TuesdayMotivation #TuesdayThoughts #Homelessness",,,#Califronia #TandonForCongress #TuesdayMorning #TuesdayMotivation #TuesdayThoughts #Homelessness,1232249316657397760,https://twitter.com/tandon4congress/status/1232249316657397760
2020-02-25 06:09:48,tandon4congress,,0,2,4,"I was immensely honored to be invited to speak at the Foundation For India And Indian Diaspora Studies (FIIDS). It was truly delightful to put forth my views for the progress of California while interacting with the socially woke and political change makers.",,,,1232185910206197761,https://twitter.com/tandon4congress/status/1232185910206197761
2020-02-25 06:09:43,tandon4congress,,1,1,2,"Thank you for letting me be a part of this insightful evening. Support my campaign: http://www.tandonforcongress.com #USElections #CongressionalElections #TandonForCongress #California #TuesdayThoughts #TuesdayMotivation",,,#USElections #CongressionalElections #TandonForCongress #California #TuesdayThoughts #TuesdayMotivation,1232185889872171008,https://twitter.com/tandon4congress/status/1232185889872171008
2020-02-25 00:54:53,tandon4congress,,0,1,1,"CNN News Real Face #CAGOP",,,#CAGOP,1232106659754868737,https://twitter.com/tandon4congress/status/1232106659754868737
2020-02-25 00:38:38,tandon4congress,,0,1,1,"Know how democrat leaders lie openly and get away with same https://www.facebook.com/110806357012916/posts/182077089885842/?d=n #CAGOP #DemocratsHateAmerica #DemocratsAreCorrupt #DemocratsAreADisgrace #Demokratie #realDonaldTrump",,,#CAGOP #DemocratsHateAmerica #DemocratsAreCorrupt #DemocratsAreADisgrace #Demokratie #realDonaldTrump,1232102568098091008,https://twitter.com/tandon4congress/status/1232102568098091008
