date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-16 00:34:50,vicki4senate,ShannonGroveCA,0,2,2,"I couldn’t agree more!",,,,1228840122763759617,https://twitter.com/vicki4senate/status/1228840122763759617
2020-02-14 03:58:16,vicki4senate,atensnut,0,0,0,"Senator Sanders so many politicians say this and my question is are you a millionaire or billionaire and do you give your money away? Hard working middle class citizens want answers not more government control and free stuff!",,,,1228166542749102080,https://twitter.com/vicki4senate/status/1228166542749102080
2020-02-05 05:43:23,vicki4senate,ShannonGroveCA,1,1,3,"Many independent contractors who need/choose flexible schedules have been impacted by this less than thought through bill. I support the need to change AB5.",,,,1224931503093608449,https://twitter.com/vicki4senate/status/1224931503093608449
2020-01-20 17:38:29,vicki4senate,,0,1,3,"Thank you Mr. President. Right to Pray in Public Schools President Trump announcement: full video https://youtu.be/FvS1ShJrs6o via @YouTube",,@YouTube,,1219313261146820609,https://twitter.com/vicki4senate/status/1219313261146820609
2020-01-19 16:43:04,vicki4senate,ShannonGroveCA,0,1,1,"AB5 has not brought solutions, but it has created new problems for many independent contractors in CA.#FixAB5 #AB5#Vicki4Senate",,,#FixAB5,1218936927065231360,https://twitter.com/vicki4senate/status/1218936927065231360
2020-01-19 16:37:26,vicki4senate,ShannonGroveCA,0,0,0,"Congratulations to the beautiful bride, to you, and your family.",,,,1218935506425110528,https://twitter.com/vicki4senate/status/1218935506425110528
2020-01-14 05:46:28,vicki4senate,ShannonGroveCA,0,0,1,"I fully agree.",,,,1216959749188505600,https://twitter.com/vicki4senate/status/1216959749188505600
2019-12-23 16:32:10,vicki4senate,TheRealJohnHCox,0,0,0,"Gavins solution..attack Trump admin because they won’t pay for the mess he enabled! CA we can do better.",,,,1209149708918243329,https://twitter.com/vicki4senate/status/1209149708918243329
2019-12-23 16:26:00,vicki4senate,,0,0,0,"https://twitter.com/R3Thorns/status/1208373752398012418",,,,1209148157453455362,https://twitter.com/vicki4senate/status/1209148157453455362
2019-12-23 16:23:57,vicki4senate,,0,0,0,"Neighborly love and service at its best. #CAChristmasSpirit",,,#CAChristmasSpirit,1209147641155608576,https://twitter.com/vicki4senate/status/1209147641155608576
2019-12-20 18:28:47,vicki4senate,,0,0,0,"Amazing precision and oneness of movement! Unified. 2016 VIT HD TOP SECRET DRUM CORPS https://youtu.be/kd8UXijXtqM via @YouTube",,@YouTube,,1208091892132352001,https://twitter.com/vicki4senate/status/1208091892132352001
2019-12-20 18:20:44,vicki4senate,JoelNBCLA,0,0,1,"As we acknowledge the crisis let’s engage and put lasting solutions to work. Mental health and public safety are priority.",,,,1208089870372986880,https://twitter.com/vicki4senate/status/1208089870372986880
2019-12-19 14:32:52,vicki4senate,,0,0,0,"Enjoy the sounds of Christmas! Hear the new beat. Christmas! for KING & COUNTRY - ""Little Drummer Boy"" | Live from CMA Country Christmas https://youtu.be/fPcA4bQjWFw via @YouTube",,@YouTube,,1207670136083079168,https://twitter.com/vicki4senate/status/1207670136083079168
2019-12-06 01:10:55,vicki4senate,,0,0,1,"Today's the day! I filed for candidacy in #MontereyCounty. Proud to swear an oath to uphold our Constitution and honored to work towards representing our region. Are you ready for change in California? Get involved and donate here: http://www.vicki4senate.com/donate #CASenateDistrict17",,,#MontereyCounty #CASenateDistrict17,1202757274810273792,https://twitter.com/vicki4senate/status/1202757274810273792
2019-11-29 07:30:22,vicki4senate,senatormelendez,1,1,1,"Bloomberg regarding more taxes... Tax the poor that’s how they can be controlled and conform... NO I don’t think that’s what the people want #Nonsense",,,#Nonsense,1200316054125174784,https://twitter.com/vicki4senate/status/1200316054125174784
2019-11-29 07:24:37,vicki4senate,,0,1,1,"President Trump issues proclamation honoring God on Thanksgiving Day https://metrovoicenews.com/president-trump-issues-proclamation-honoring-god-on-thanksgiving-day/ via @metrovoice#thankful",,@MetroVoice,,1200314606444376065,https://twitter.com/vicki4senate/status/1200314606444376065
2019-11-26 22:20:59,vicki4senate,,0,1,1,"How do you like the direction California is headed? Looking to send a message to Sacramento? Vote for Vicki Nohrden!#SenateDistrict17 #Vicki4Senate #Vickiwillfight4you!",,,#SenateDistrict17 #Vicki4Senate #Vickiwillfight4you,1199453020934660097,https://twitter.com/vicki4senate/status/1199453020934660097
2019-11-24 17:28:54,vicki4senate,GregGutfeldShow,0,0,0,"A little humor....",,,,1198654738633388032,https://twitter.com/vicki4senate/status/1198654738633388032
2019-11-21 07:17:36,vicki4senate,ShannonGroveCA,1,2,5,"Governor Newsome what’s your plan? Power outages not going over too well ..30 some counties without power. Not to mention the redirecting of the gas tax. People are madd, are you listening? Time to do something! I’m willing to work with you. #CASenate District 17#Vicki Nohrden",,,#CASenate,1197413735838519298,https://twitter.com/vicki4senate/status/1197413735838519298
2019-11-21 07:08:20,vicki4senate,joncoupal,0,2,3,"So very sad,but unfortunately true. Time for real change in California. #vicki4senate#CASenateDistrict17#VickiNohrden",,,,1197411405009281025,https://twitter.com/vicki4senate/status/1197411405009281025
2019-11-11 00:51:33,vicki4senate,charliekirk11,0,0,2," ",,,,1193692705588596741,https://twitter.com/vicki4senate/status/1193692705588596741
2019-11-11 00:50:26,vicki4senate,DineshDSouza,0,0,2,"Exactly!",,,,1193692425891434497,https://twitter.com/vicki4senate/status/1193692425891434497
2019-11-11 00:49:59,vicki4senate,charliekirk11,0,0,3,"Sad. She wasn’t there for us when she was the CA Attorney General either.",,,,1193692310107590658,https://twitter.com/vicki4senate/status/1193692310107590658
2019-11-11 00:46:29,vicki4senate,charliekirk11,0,0,1,"Looks like assault to me!",,,,1193691431640059904,https://twitter.com/vicki4senate/status/1193691431640059904
2019-11-06 17:29:30,vicki4senate,,0,1,0,"It’s filing day! I’m excited to be running for change in California and for all the people in #CASenateDistrict17 who are standing behind me. Let’s make some change!",,,#CASenateDistrict17,1192131908768944128,https://twitter.com/vicki4senate/status/1192131908768944128
2019-11-02 04:21:30,vicki4senate,,0,0,1,"Help Senator Mike Morrell Support Parent's Rights to be involved in their Children's Education --Support SB 673 which amends AB 329 (CHYA) - Sign the Petition! http://chng.it/FPXyRWKy via @Change#vicki4senate",,@Change,,1190484050408026113,https://twitter.com/vicki4senate/status/1190484050408026113
2019-10-24 14:56:13,vicki4senate,DujelindaMz,0,0,1,"Only problem they keep shutting off the power!!",,,,1187382290181025797,https://twitter.com/vicki4senate/status/1187382290181025797
2019-10-24 14:51:13,vicki4senate,,0,1,1,"Is this becoming the new normal? Not good. California-Reno fuel pipeline shut down again due to power outage https://foxreno.com/news/local/california-reno-fuel-pipeline-shut-down-again-due-to-power-outage #CAshutdown#Vicki4senate#reformca",,,,1187381035085881350,https://twitter.com/vicki4senate/status/1187381035085881350
2019-10-23 16:13:56,vicki4senate,ABC7,0,0,0,"Hint, take a look at CA policies and the newest gas tax you imposed! #Vicki4senate",,,#Vicki4senate,1187039461743321089,https://twitter.com/vicki4senate/status/1187039461743321089
2019-10-23 02:17:34,vicki4senate,,0,1,3,"Did you read @carmelpinecone this week? You might have seen a familiar face on Pg 8... I'm excited to share why I'm running for Senate District 17, excited to change the direction our state is going. Will you join me? http://pineconearchive.fileburstcdn.com/191018PCA.pdf #Vicki4Senate #Change4CA #CASenate",,@carmelpinecone,#Vicki4Senate #Change4CA #CASenate,1186828984169844736,https://twitter.com/vicki4senate/status/1186828984169844736
2019-10-17 15:27:03,vicki4senate,joncoupal,0,0,1,"California is facing a crisis from homelessness to mental health from skyrocketing living costs, rising crime to failing education. Time for real solutions. #CAtruth",,,#CAtruth,1184853337591562240,https://twitter.com/vicki4senate/status/1184853337591562240
2019-10-17 15:13:02,vicki4senate,HJTA,0,1,1,"#ProptectProp13",,,#ProptectProp13,1184849807652732931,https://twitter.com/vicki4senate/status/1184849807652732931
2019-10-17 15:11:27,vicki4senate,millanpatterson,0,0,0,"California is waking up. The one party rule is failing the state. #CAtruth",,,#CAtruth,1184849410481483776,https://twitter.com/vicki4senate/status/1184849410481483776
2019-09-30 16:21:42,vicki4senate,RudyGiuliani,1,0,2,"We have to learn, at least be willing to listen to the real story not media narratives!",,,,1178706497280196613,https://twitter.com/vicki4senate/status/1178706497280196613
2019-09-30 16:14:25,vicki4senate,charliekirk11,0,0,0,"Disgraceful!",,,,1178704661257129984,https://twitter.com/vicki4senate/status/1178704661257129984
2019-09-09 19:54:19,vicki4senate,,0,1,1,"Californians more Gas Tax? #taxtaxtax https://www.sacbee.com/news/nation-world/national/article234762262.html?",,,#taxtaxtax,1171149856188112896,https://twitter.com/vicki4senate/status/1171149856188112896
2019-09-01 00:21:43,vicki4senate,gjandrews,0,1,2,"The people are chanting, ""You are not representing California for all."" Suppose their tired of no representation that they have to come all the way to Sacramento to have their voice heard? The other question is are they representing you and your values?#FreedomOfSpeech",,,#FreedomOfSpeech,1167955660564090888,https://twitter.com/vicki4senate/status/1167955660564090888
2019-08-28 01:23:10,vicki4senate,,1,1,1,"California Assembly approves measure to lower voting age to 17. The question is, ""Where oh where has the common sense gone? Should California lower the voting age to 17? Why or why not?http://www.abc10.com/article/news/politics/california-assembly-approves-measure-to-lower-voting-age-to-17/103-928489a7-0407-4c31-a712-9bd367db05de via @ABC10",,@ABC10,,1166521572003201024,https://twitter.com/vicki4senate/status/1166521572003201024
2019-08-27 08:40:20,vicki4senate,,0,1,1,"New group launches to warn young people about socialism#stopsocialism",,,,1166269202346307584,https://twitter.com/vicki4senate/status/1166269202346307584
2019-08-21 07:23:14,vicki4senate,,0,0,1,"Famed San Francisco Truffle Shop Owner Attacked By Homeless Man, Saved By Son",,,,1164075470842765312,https://twitter.com/vicki4senate/status/1164075470842765312
2019-08-19 22:58:15,vicki4senate,,0,2,2,"I'm running for CA Senate District 17. This Senate race will have major consequences for the future especially the way the Democratic Party is creeping towards socialism from housing to roads, healthcare to energy and education policies. Partner w/me.https://secure.anedot.com/nohrden-for-senate-2020/donate?fbclid=IwAR1PbgHIuNYWm0266y_5JCkTci7oqPumg_VAMUVsNkTsMlpMoB45hW0v_88",,,,1163586000922140672,https://twitter.com/vicki4senate/status/1163586000922140672
