date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-02 16:52:58,votebrownrigg,,0,1,2,"Just one more day until Election Day! If you haven't mailed in your ballot yet, it has to be postmarked by Tuesday, March 3 in order for it to count. You can also go to a Vote Center to vote or to turn in your ballot. And don't forget to vote for Mike!",,,,1234522094005735425,https://twitter.com/votebrownrigg/status/1234522094005735425
2020-02-28 16:05:54,votebrownrigg,,0,0,0,"Thank you, Florence Fang, vice chairwoman of the US-China Coronavirus Action Network, and to the many, many volunteers who assembled boxes and donations to send to Wuhan yesterday. Former Millbrae Mayor Wayne Lee and I were more than happy to help out with the labels.",,,,1233423086571016193,https://twitter.com/votebrownrigg/status/1233423086571016193
2020-02-27 16:52:46,votebrownrigg,,0,2,5,"Five days until Election Day and Team Brownrigg is busy hitting the streets. Have you voted yet? If you haven't voted yet, we encourage you to mail your ballot as soon as possible. Ballots must be postmarked by March 3 in order to be counted.",,,,1233072493616758785,https://twitter.com/votebrownrigg/status/1233072493616758785
2020-02-23 22:14:25,votebrownrigg,,1,2,11,"IT'S A CLEAN SWEEP! I am excited to have endorsements from every major, Peninsula-based newspaper. The San Mateo Daily Journal, the Palo Alto Daily Post, the Palo Alto Weekly, the Mountain View Voice and the Menlo Park Almanac have all endorsed me, as has KHMB Coastside Radio.",,,,1231703888706719746,https://twitter.com/votebrownrigg/status/1231703888706719746
2020-02-21 03:49:37,votebrownrigg,,0,0,1,"I am excited and thankful to have received the endorsement of the Daily Post...https://padailypost.com/2020/02/20/opinion-post-endorses-brownrigg-for-state-senate/",,,,1230701082055036931,https://twitter.com/votebrownrigg/status/1230701082055036931
2020-02-14 20:06:50,votebrownrigg,paloaltoweekly,0,3,3,"I am proud to have received this endorsement...",,,,1228410289323794432,https://twitter.com/votebrownrigg/status/1228410289323794432
2020-02-12 04:14:34,votebrownrigg,,0,1,2,"Three more weeks until Election Day and the house parties keep on happening. We are now up to 109!",,,,1227445867961032704,https://twitter.com/votebrownrigg/status/1227445867961032704
2020-02-02 16:27:09,votebrownrigg,,0,0,3,"Yesterday was a great day: Had coffee with the Latino Council of Half Moon Bay, canvassed in sunny Pacifica and beautiful Millbrae, and then finished up the day with a house party in San Bruno. Thank you everyone - residents and volunteers - for your energy, ideas and support.",,,,1224006349849128960,https://twitter.com/votebrownrigg/status/1224006349849128960
2020-01-30 16:58:36,votebrownrigg,mercnews,1,1,5,"My opinion piece in today's @mercnews...",,@mercnews,,1222927099960254465,https://twitter.com/votebrownrigg/status/1222927099960254465
2020-01-26 17:01:46,votebrownrigg,,0,1,8,"What started as a crazy idea became a reality yesterday as we had our 100th house party! Thank you to the Cannons, the Roots, the Kinsellas, and the Israelits for being such gracious hosts, and to all those who attended. We aren't done, still have more house parties scheduled.",,,,1221478347504402432,https://twitter.com/votebrownrigg/status/1221478347504402432
2020-01-25 21:34:06,votebrownrigg,,0,0,2,"Happy Year of the Rat! Wishing you and your family wealth, health, and peace of mind in 2020.",,,,1221184493278515200,https://twitter.com/votebrownrigg/status/1221184493278515200
2020-01-22 01:54:32,votebrownrigg,,0,0,0,"Read Mike's take on some of the important issues we face in this interview with the Palo Alto Daily Post...https://padailypost.com/2020/01/21/state-senate-candidate-michael-brownrigg-gives-views-on-issues-first-in-a-series-of-candidate-profiles/",,,,1219800484224962560,https://twitter.com/votebrownrigg/status/1219800484224962560
2020-01-21 01:41:40,votebrownrigg,,0,0,3,"Thank you to the Peninsula Multifaith Coalition for another amazing MLK Jr. Mulltifaith Day of Service. It is wonderful to see so many volunteers dedicating their day to a variety of projects - putting together soup mixes, assembling toys, singing to seniors, and so much more.",,,,1219434855072579585,https://twitter.com/votebrownrigg/status/1219434855072579585
2020-01-14 04:49:05,votebrownrigg,,0,0,3,"I am proud and humbled to receive the endorsement of the International Brotherhood of Electrical Workers Local Union 617. I look forward to building a stronger, greener, more efficient California with IBEW Local Union 617 and its members over the decade ahead.",,,,1216945307587465217,https://twitter.com/votebrownrigg/status/1216945307587465217
2020-01-13 04:40:43,votebrownrigg,,0,0,4,"Another week, another four house parties. That brings us to 89 to date; well on our way to our once seemingly unattainable goal of 100 before the primary election on March 3rd. Thank you to all of the hosts and to everybody who attends. Onward!",,,,1216580813963157506,https://twitter.com/votebrownrigg/status/1216580813963157506
2020-01-08 05:00:30,votebrownrigg,,0,0,5,"I am very appreciative of these words of support...",,,,1214773851172700161,https://twitter.com/votebrownrigg/status/1214773851172700161
2020-01-04 18:03:54,votebrownrigg,,0,0,3,"Ballots will be mailed in less than a month and Team Brownrigg is fired up and ready to play. Wanna play with us? If so, go to https://www.votebrownrigg.com/volunteer and fill out the form, or send an email to our field director, Brieanna Nicker, at brieanna@votebrownrigg.com. Let's go!",,,,1213521450801364992,https://twitter.com/votebrownrigg/status/1213521450801364992
2020-01-02 22:54:13,votebrownrigg,,0,0,1,"The beginning of a new year is often a time for resolutions. Instead, I thought I would share “ten values” I hold as a public servant and will use to operate as your State Senator. You can find the values here...",,,,1212869733545955328,https://twitter.com/votebrownrigg/status/1212869733545955328
